Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,
Silvicultural Best Management,,,,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,,
,,,,,2011
,,Response Counts,Response Counts,,
Audit Questions by Category,,,,,"% Yes
*"
,N/A,No,Yes,Total,
Are new roads located and constructed to allow for proper,166,15,59,240,80
drainage?,,,,,
"Are new roads located to avoid erodible, wet and sensitive ground?",163,4,73,240,95
Are riprap and/or brush dams used where needed to slow water,205,16,19,240,54
and trap sediment?,,,,,
Are roads built outside of SMZs where possible?,78,4,158,240,98
Are roads daylighted where needed and feasible?,59,17,164,240,91
Are roads in SMZs as far from the channel as possible and built to,190,5,45,240,90
prevent stream sedimentation?,,,,,
Are roads on the contour where practical?,72,10,158,240,94
Are roads outsloped where needed and conditions allow?,130,25,85,240,77
Are temporary roads retired with properly constructed water bars,193,21,26,240,55
or tank traps?,,,,,
Are turnouts directing water and/or sediment away from riparian,168,17,55,240,76
areas?,,,,,
"Are under road culverts installed, spaced and maintained properly?",206,4,30,240,88
Is access being controlled with a functional gate or barrier?,40,93,107,240,54
"Is construction of dips, bars, turnouts and traps adequate to",157,35,48,240,58
maintain function?,,,,,
Is gravel or vegetation present to protect water bars from erosion?,137,43,60,240,58
Is there rock or vegetation on slopes where needed to prevent,78,54,108,240,67
erosion?,,,,,
Is water being “turned out” into surrounding landscape with,115,46,79,240,63
appropriate structures?,,,,,
Is water diverted from the road surface at specified intervals using,108,59,73,240,55
"dips, bars or traps?",,,,,
Was road construction and use minimized?,35,2,203,240,99
Skidding,"1,306",301,"1,513","3,120",83
Are all skid trails free from channelized flow that is likely to cause,9,16,215,240,93
sedimentation?,,,,,
Are all skid trails located outside the SMZ?,51,8,181,240,96
Are appropriate cross drainages installed where springs or seeps,232,4,4,240,50
crossed the trails?,,,,,
Are bladed skid trails limited to less than 26% grade unless,169,12,59,240,83
absolutely necessary?,,,,,
Are bladed skid trails limited to sideslopes less than 60%?,173,9,58,240,87
Are un-bladed trails limited to sideslopes less than 36% in general?,78,–,162,240,100
Page 8,,,,,
