Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”,Name: “Table 1 of 1 on page 74 of 92”
Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74
,,,,,,,,,,,,,,,,
,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,,,,,,,,
"Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007","Table C.8—Number of live trees on forest land by species group and diameter class, Virginia, 2007",,,,,,
,,,,,,Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),,,,,
,All,1.0–,3.0–,5.0–,7.0–,9.0–,11.0–,13.0–,15.0–,17.0–,19.0–,21.0–,25.0–,29.0–,33.0–,
Species group,classes,2.9,4.9,6.9,8.9,10.9,12.9,14.9,16.9,18.9,20.9,24.9,28.9,32.9,36.9,37.0+
,,,,,,,million trees,million trees,,,,,,,,
Softwood,,,,,,,,,,,,,,,,
Longleaf and,,,,,,,,,,,,,,,,
slash pines,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loblolly and,,,,,,,,,,,,,,,,
shortleaf pines,"1,096.9",377.8,241.9,179.0,150.6,79.2,37.7,15.3,8.6,3.7,1.5,1.4,0.2,0.0,0.0,0.0
Other yellow pines,527.3,239.0,120.8,58.6,45.6,32.5,18.0,8.4,3.2,0.9,0.2,0.1,0.0,0.0,0.0,0.0
Eastern white and,,,,,,,,,,,,,,,,
red pines,171.1,83.5,30.5,20.0,13.3,8.1,5.7,3.8,2.2,1.7,0.8,0.8,0.5,0.1,0.0,0.0
