Name: “Table 1 of 1 on page 75 of 92”,Name: “Table 1 of 1 on page 75 of 92”,Name: “Table 1 of 1 on page 75 of 92”,Name: “Table 1 of 1 on page 75 of 92”,Name: “Table 1 of 1 on page 75 of 92”,Name: “Table 1 of 1 on page 75 of 92”,Name: “Table 1 of 1 on page 75 of 92”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,,,
Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,,,,,
"Table C.9—Volume of live trees on forest land by species group and ownership class, Virginia, 2007","Table C.9—Volume of live trees on forest land by species group and ownership class, Virginia, 2007","Table C.9—Volume of live trees on forest land by species group and ownership class, Virginia, 2007","Table C.9—Volume of live trees on forest land by species group and ownership class, Virginia, 2007","Table C.9—Volume of live trees on forest land by species group and ownership class, Virginia, 2007","Table C.9—Volume of live trees on forest land by species group and ownership class, Virginia, 2007",
,,,,Ownership class,,
,,,,State,,
,All,Forest,Other,and local,Forest,Nonindustrial
Species group,ownerships,Service,Federal,government,industry,private
,,,million cubic feet,million cubic feet,,
Softwood,,,,,,
Longleaf and slash pines,0.7,0.0,0.0,0.0,0.0,0.7
Loblolly and shortleaf pines,"4,494.4",5.5,198.4,127.3,364.1,"3,799.0"
Other yellow pines,"1,767.1",220.2,92.8,62.2,34.8,"1,357.1"
Eastern white and red pines,777.9,222.5,17.2,9.4,19.9,508.9
Spruce and fir,45.3,22.2,0.0,12.9,0.0,10.2
Eastern hemlock,189.4,51.4,1.1,7.3,1.9,127.7
Cypress,54.4,0.0,3.4,0.1,2.7,48.2
Other eastern softwoods,201.1,0.0,15.0,10.6,0.9,174.7
Total softwoods,"7,530.2",521.8,327.9,229.8,424.3,"6,026.4"
Hardwood,,,,,,
Select white oaks,"3,099.4",248.5,81.2,121.9,34.2,"2,613.5"
Select red oaks,"1,685.5",466.3,118.7,62.2,25.2,"1,013.0"
Other white oaks,"3,159.9","1,111.9",94.3,90.0,53.2,"1,810.5"
Other red oaks,"2,849.2",415.7,106.9,82.0,54.9,"2,189.7"
Hickory,"1,528.8",115.7,53.2,57.1,17.8,"1,284.9"
Yellow birch,36.4,21.0,0.0,1.9,4.5,9.0
Hard maple,390.6,88.7,4.5,18.5,11.6,267.3
Soft maple,"2,253.8",240.3,187.7,101.9,41.8,"1,682.0"
Beech,570.4,10.4,9.5,33.5,12.9,504.0
Sweetgum,"1,115.0",0.0,109.5,32.5,25.2,947.8
Tupelo and blackgum,600.1,46.3,44.9,36.0,25.4,447.5
Ash,566.0,26.7,34.4,36.5,8.4,460.0
Cottonwood and aspen,27.8,0.0,1.0,0.0,0.0,26.8
Basswood,199.5,53.9,19.6,22.8,4.4,98.7
Yellow-poplar,"5,018.2",276.8,197.4,165.8,77.1,"4,301.1"
Black walnut,133.3,0.7,0.1,4.6,1.6,126.3
Other eastern soft hardwoods,"1,087.4",72.5,37.6,56.2,33.0,888.2
Other eastern hard hardwoods,629.1,82.0,27.5,21.5,7.6,490.5
Eastern noncommercial hardwoods,331.6,39.9,5.4,10.1,10.2,265.9
Total hardwoods,"25,281.9","3,317.4","1,133.4",955.3,449.0,"19,426.8"
All species,"32,812.1","3,839.2","1,461.3","1,185.1",873.3,"25,453.3"
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,
"0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ",,,,,
,,,,,,63
