Name: “Table 1 of 1 on page 15 of 92”,Name: “Table 1 of 1 on page 15 of 92”,Name: “Table 1 of 1 on page 15 of 92”,Name: “Table 1 of 1 on page 15 of 92”,Name: “Table 1 of 1 on page 15 of 92”,Name: “Table 1 of 1 on page 15 of 92”,Name: “Table 1 of 1 on page 15 of 92”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,
Forest Area,,,,,,
Forest Area,,,,,,
,"Table 1—Area of forest land by survey year, unit, and ownership class, Virginia","Table 1—Area of forest land by survey year, unit, and ownership class, Virginia","Table 1—Area of forest land by survey year, unit, and ownership class, Virginia","Table 1—Area of forest land by survey year, unit, and ownership class, Virginia","Table 1—Area of forest land by survey year, unit, and ownership class, Virginia",
Trends in Forest Area,,,,Ownership class,Ownership class,
,,All,National,Other,Forest,Nonindustrial
"In 2007, about 15.7 million",Survey year and unit,classes,forests,public,industry,private
"acres, or 62 percent, of",,,,thousand acres,thousand acres,
Virginia’s land area was,,,,,,
forested (table 1). Of this,2001,,,,,
"total, 15.2 million acres were",Coastal Plain,"3,817.7",—,293.0,418.0,"3,106.6"
classified as timberland.,Southern Piedmont,"3,784.1",18.3,195.5,302.0,"3,268.3"
"About 406,100 acres",Northern Piedmont,"2,405.1",85.7,267.2,110.5,"1,941.7"
were classified as reserved,Northern Mountains,"2,744.3","1,102.3",181.4,71.9,"1,388.7"
timberland; this includes such,Southern Mountains,"3,092.9",486.0,88.6,121.8,"2,396.6"
"areas as wilderness, parks,",All units,"15,844.0","1,692.2","1,025.7","1,024.2","12,101.9"
and historic sites—where,,,,,,
commercial timber harvesting,2007,,,,,
is prohibited by statute. The,Coastal Plain,"3,701.0",—,317.3,240.5,"3,143.3"
"remaining 75,500 acres were",Southern Piedmont,"3,741.7",22.0,188.4,146.2,"3,385.1"
"classified as other forest land,",Northern Piedmont,"2,502.9",71.4,255.5,58.4,"2,117.5"
"land that, because of adverse",Northern Mountains,"2,713.5","1,124.3",186.3,23.4,"1,379.5"
"site conditions, cannot",Southern Mountains,"3,065.6",531.7,101.4,82.6,"2,349.8"
produce at least 20 cubic feet,All units,"15,724.8","1,749.5","1,048.9",551.2,"12,375.3"
of wood per acre per year.,,,,,,
,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,
Natural forest reversion near,— = no sample for the cell.,,,,,
"Galax, VA, a common scene on the",,,,,,
Piedmont. (photo by Anita K. Rose),,,,,,
,,,,,,3
