Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”,Name: “Table 1 of 1 on page 72 of 92”
Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72
,,,,,,,,
Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,,,
"Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007","Table C.6—Area of forest land disturbed annually by forest-type group and disturbance class, Virginia, 2007",
,,,,Disturbance class,Disturbance class,,,
,,,,,Domestic,Wild,,Other
Forest-type group,Insects,Disease,Weather,Fire,animals,animals,Human,natural
,,,,thousand acres,thousand acres,,,
Softwood types,,,,,,,,
White-red-jack pine,10.5,0.0,0.3,0.0,0.0,1.2,1.7,0.0
Spruce-fir,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loblolly-shortleaf pine,9.8,0.0,11.0,3.4,2.6,7.2,3.9,2.4
Pinyon-juniper a,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
Total softwoods,21.8,0.0,11.3,3.4,2.6,8.5,7.1,2.4
Hardwood types,,,,,,,,
Oak-pine,7.7,0.0,5.6,7.2,3.1,1.5,6.4,0.0
Oak-hickory,64.2,7.5,62.7,14.7,47.9,34.9,68.6,14.2
Oak-gum-cypress,0.0,0.0,8.7,0.0,0.0,3.4,0.0,0.0
Elm-ash-cottonwood,0.0,1.3,13.5,0.0,1.4,11.6,0.0,0.9
Maple-beech-birch,7.0,0.0,1.2,0.0,2.7,0.6,2.3,3.0
Aspen-birch,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
Exotic hardwood,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Total hardwoods,78.9,8.9,91.7,23.2,55.1,52.6,77.2,18.1
Nonstocked,0.0,0.0,1.5,0.0,0.6,2.2,0.3,0.0
All groups,100.7,8.9,104.5,26.7,58.3,63.3,84.6,20.6
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,,,,,,
"0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ",,,,,,
a Pinyon-juniper includes eastern redcedar forest type.,a Pinyon-juniper includes eastern redcedar forest type.,a Pinyon-juniper includes eastern redcedar forest type.,,,,,,
60,,,,,,,,
