Name: “Table 1 of 1 on page 78 of 92”,Name: “Table 1 of 1 on page 78 of 92”,Name: “Table 1 of 1 on page 78 of 92”
Table: 78,Table: 78,Table: 78
,,
Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,
Table C.12—Average annual net growth of live trees by,Table C.12—Average annual net growth of live trees by,Table C.12—Average annual net growth of live trees by
"ownership class and land status, Virginia, 2002 to 2007","ownership class and land status, Virginia, 2002 to 2007","ownership class and land status, Virginia, 2002 to 2007"
Ownership class,Timberland,Forest land
,million cubic feet,million cubic feet
Forest Service,,
National forest,43.5,40.6
Total,43.5,40.6
Other Federal,,
National Park Service,-0.1,2.7
U.S. Fish and Wildlife Service,-0.1,2.4
Dept. of Defense/Dept. of Energy,7.3,7.6
Other Federal,9.9,9.9
Total,17.1,22.6
State and local government,,
State,11.1,12.3
Local,17.1,17.1
Total,28.2,29.4
Forest industry,,
Corporate,50.8,50.8
Individual,0.1,0.1
Total,50.9,50.9
Nonindustrial private,,
Corporate,189.0,189.0
Unincorporated partnership/,,
association/club,5.6,5.6
Individual,692.1,692.1
Conservation/natural,,
resources organization,3.9,3.9
Total,890.7,890.7
All classes,"1,030.4","1,034.2"
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,
66,,
