Name: “Table 1 of 1 on page 70 of 92”,Name: “Table 1 of 1 on page 70 of 92”,Name: “Table 1 of 1 on page 70 of 92”,Name: “Table 1 of 1 on page 70 of 92”,Name: “Table 1 of 1 on page 70 of 92”,Name: “Table 1 of 1 on page 70 of 92”
Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70
,,,,,
Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,,,
"Table C.4—Area of forest land by forest-type group and stand-size class, Virginia, 2007","Table C.4—Area of forest land by forest-type group and stand-size class, Virginia, 2007","Table C.4—Area of forest land by forest-type group and stand-size class, Virginia, 2007","Table C.4—Area of forest land by forest-type group and stand-size class, Virginia, 2007","Table C.4—Area of forest land by forest-type group and stand-size class, Virginia, 2007","Table C.4—Area of forest land by forest-type group and stand-size class, Virginia, 2007"
,,,Stand-size class,,
,All size,Large,Medium,Small,
Forest-type group,classes,diameter,diameter,diameter,Nonstocked
,,,thousand acres,,
Softwood types,,,,,
White-red-jack pine,159.9,114.7,39.5,5.7,0.0
Spruce-fir,12.3,12.3,0.0,0.0,0.0
Loblolly-shortleaf pine,"2,875.4","1,169.1","1,108.8",597.5,0.0
Pinyon-juniper a,108.8,19.8,42.3,46.6,0.0
Total softwoods,"3,156.4","1,315.9","1,190.6",649.8,0.0
Hardwood types,,,,,
Oak-pine,"1,606.8",849.1,400.9,356.8,0.0
Oak-hickory,"9,807.5","6,668.7","1,884.4","1,254.4",0.0
Oak-gum-cypress,324.8,246.0,47.1,31.7,0.0
Elm-ash-cottonwood,358.3,240.1,64.7,53.5,0.0
Maple-beech-birch,336.3,271.0,34.1,31.2,0.0
Aspen-birch,8.0,0.0,1.6,6.4,0.0
Exotic hardwood,32.0,0.0,10.0,22.0,0.0
Total hardwoods,"12,473.7","8,274.8","2,442.9","1,756.0",0.0
Nonstocked,94.8,0.0,0.0,0.0,94.8
All groups,"15,724.8","9,590.8","3,633.5","2,405.8",94.8
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,
"0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ",,,
a Pinyon-juniper includes eastern redcedar forest type.,a Pinyon-juniper includes eastern redcedar forest type.,a Pinyon-juniper includes eastern redcedar forest type.,,,
58,,,,,
