Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”,Name: “Table 1 of 1 on page 77 of 92”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,
Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,,,,,,
"Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a","Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a","Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a","Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a","Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a","Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a","Table C.11—Total carbon of live trees on forest land by ownership class and land status, Virginia, 2007 a",
,,,Unreserved,,,Reserved,
,All,,,,,,
,forest,,Timber-,Unpro-,,Pro-,Unpro-
Ownership class,land,Total,land,ductive,Total,ductive,ductive
,,,,thousand tons,,,
Forest Service,,,,,,,
National forest,"53,467.0","51,572.7","50,184.8","1,388.0","1,894.3","1,894.3",0.0
Total,"53,467.0","51,572.7","50,184.8","1,388.0","1,894.3","1,894.3",0.0
Other Federal,,,,,,,
National Park Service,"6,723.0",0.0,0.0,0.0,"6,723.0","6,723.0",0.0
U.S. Fish and Wildlife Service,"2,918.5",171.5,171.5,0.0,"2,747.0","2,747.0",0.0
Dept. of Defense/Dept. of Energy,"5,684.5","5,383.8","5,383.8",0.0,300.7,300.7,0.0
Other Federal,"3,547.1","3,547.1","3,547.1",0.0,0.0,0.0,0.0
Total,"18,873.0","9,102.4","9,102.4",0.0,"9,770.6","9,770.6",0.0
State and local government,,,,,,,
State,"9,903.3","8,818.6","8,818.6",0.0,"1,084.7","1,084.7",0.0
Local,"5,910.1","5,263.4","5,263.4",0.0,646.6,574.7,72.0
Total,"15,813.4","14,082.0","14,082.0",0.0,"1,731.4","1,659.4",72.0
Forest industry,,,,,,,
Corporate,"11,945.4","11,945.4","11,945.4",0.0,0.0,0.0,0.0
Individual,7.2,7.2,7.2,0.0,0.0,0.0,0.0
Total,"11,952.6","11,952.6","11,952.6",0.0,0.0,0.0,0.0
Nonindustrial private,,,,,,,
Corporate,"62,811.1","62,811.1","62,810.3",0.7,0.0,0.0,0.0
Conservation/organization,,,,,,,
natural resources,"2,342.3","2,342.3","2,182.2",160.2,0.0,0.0,0.0
Unincorporated local,,,,,,,
partnership/association/club,"2,932.1","2,932.1","2,932.1",0.0,0.0,0.0,0.0
Individual,"276,636.7","276,636.7","276,541.1",95.6,0.0,0.0,0.0
Total,"344,722.3","344,722.3","344,465.7",256.5,0.0,0.0,0.0
All classes,"444,828.2","431,431.9","429,787.4","1,644.5","13,396.3","13,324.3",72.0
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,,
"0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ",,,,,,
a Estimates of carbon calculated by multiplying aboveground dry tree biomass by 0.5.,a Estimates of carbon calculated by multiplying aboveground dry tree biomass by 0.5.,a Estimates of carbon calculated by multiplying aboveground dry tree biomass by 0.5.,a Estimates of carbon calculated by multiplying aboveground dry tree biomass by 0.5.,,,,
,,,,,,,65
