Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”,Name: “Table 1 of 1 on page 39 of 49”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,,,,,,,,,,
"Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999","Table 20—Roundwood timber products output by county, product, and species group, Northern Piedmont of Virginia, 1999"
,,,All products,All products,Saw logs,Saw logs,Veneer logs,Veneer logs,Pulpwooda,Pulpwooda,Composite panels,Composite panels,Other industrial,Other industrial
,,,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-
County,County,County,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood
,,,,,,,,Thousand cubic feet,Thousand cubic feet,,,,,
Albemarle,Albemarle,Albemarle,"3,756","2,894","2,318","2,116",0,8,"1,378",756,0,0,60,14
Amherst,Amherst,Amherst,"3,415","3,529",621,"2,268",0,0,"1,020","1,261","1,722",0,52,0
Culpeper,Culpeper,Culpeper,929,"2,082",150,"1,151",0,9,730,827,0,0,49,95
Fairfax,Fairfax,Fairfax,265,222,0,80,0,5,265,137,0,0,0,0
Fauquier,Fauquier,Fauquier,469,863,176,601,0,7,293,255,0,0,0,0
Fluvanna,Fluvanna,Fluvanna,"1,114",714,788,55,0,56,311,603,0,0,15,0
Goochland,Goochland,Goochland,"1,842",896,411,359,0,16,"1,431",521,0,0,0,0
Greene,Greene,Greene,151,494,5,452,0,0,42,42,0,0,104,0
Loudoun,Loudoun,Loudoun,31,"2,349",7,916,0,530,24,903,0,0,0,0
Louisa,Louisa,Louisa,"4,234","2,908","2,135","1,851",0,12,"1,641",999,0,0,458,46
Madison,Madison,Madison,311,930,120,865,0,8,85,48,0,0,106,9
Nelson,Nelson,Nelson,"1,676","3,609",258,"2,344",0,37,"1,418","1,159",0,69,0,0
Orange,Orange,Orange,"1,763","1,331",903,844,0,52,767,397,0,0,93,38
Prince William,Prince William,Prince William,217,245,65,146,0,4,152,95,0,0,0,0
Rappahannock,Rappahannock,Rappahannock,110,495,0,468,0,13,110,14,0,0,0,0
Spotsylvania,Spotsylvania,Spotsylvania,"2,993","1,790","1,321",809,0,16,"1,672",933,0,0,0,32
Stafford,Stafford,Stafford,779,"1,016",338,791,0,29,441,196,0,0,0,0
,All,counties,"24,055","26,367","9,616","16,116",0,802,"11,780","9,146","1,722",69,937,234
a,"Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (246,000 cubic feet in 1999).",,,,
,,,,,,,33,33,,,,,,
