Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”,Name: “Table 1 of 1 on page 26 of 49”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,
"Table 5—Roundwood receipts by species and type of mill, Virginia, 1999","Table 5—Roundwood receipts by species and type of mill, Virginia, 1999","Table 5—Roundwood receipts by species and type of mill, Virginia, 1999","Table 5—Roundwood receipts by species and type of mill, Virginia, 1999","Table 5—Roundwood receipts by species and type of mill, Virginia, 1999","Table 5—Roundwood receipts by species and type of mill, Virginia, 1999",,,,
,,,,,Type of mill,Type of mill,,,
,,All,,Veneer mills,Veneer mills,OSB a,and,,
Species,Species,mills,Sawmills,Pine plywood,Other veneer,panels,panels,Pulpmillsb,Other mills
,,,,,Thousand cubic feet,,,,
Softwood,Softwood,,,,,,,,
,Yellow pine,"155,248","102,635","17,079",212,"32,382","32,382",NA,"2,940"
,White pine,"9,105","8,918",0,0,187,187,NA,0
,Cedar,3,0,0,3,,0,NA,0
,Cypress,405,405,0,0,,0,NA,0
,Other softwood,"3,534","3,534",0,0,,0,NA,0
,Unclassified,"86,628",0,0,0,,0,"86,628",0
,Total softwoods,"254,923","115,492","17,079",215,"32,569","32,569","86,628","2,940"
Hardwood,Hardwood,,,,,,,,
,Blackgum and tupelo,855,670,0,3,182,182,NA,0
,Soft maple,"4,191","3,420",0,3,768,768,NA,0
,Sweetgum,"3,233","3,077",0,0,156,156,NA,0
,Yellow-poplar,"40,606","35,189",0,668,"4,749","4,749",NA,0
,Other soft hardwood,"19,400","11,177",0,0,"8,223","8,223",NA,0
,Hickory,"3,095","3,080",0,14,,0,NA,1
,Red oak,"35,722","35,373",0,303,,0,NA,46
,White oak,"21,508","21,152",0,316,,0,NA,40
,Other hard hardwood,"18,876","15,695",0,747,,0,NA,"2,434"
,Unclassified,"87,311",0,0,0,,0,"87,311",0
,Total hardwoods,"234,797","128,833",0,"2,054","14,078","14,078","87,311","2,521"
All species,All species,"489,720","244,325","17,079","2,269","46,647","46,647","173,939","5,461"
NA = not applicable.,NA = not applicable.,,,,,,,,
a,OSB = oriented strand board.,,,,,,,,
b,Collected only by softwood and hardwood and includes roundwood chipped.,Collected only by softwood and hardwood and includes roundwood chipped.,Collected only by softwood and hardwood and includes roundwood chipped.,Collected only by softwood and hardwood and includes roundwood chipped.,,,,,
,"Table 6—Industrial roundwood movement by year and species group,","Table 6—Industrial roundwood movement by year and species group,","Table 6—Industrial roundwood movement by year and species group,","Table 6—Industrial roundwood movement by year and species group,","Table 6—Industrial roundwood movement by year and species group,","Table 6—Industrial roundwood movement by year and species group,","Table 6—Industrial roundwood movement by year and species group,",,
,"Virginia, 1995 and 1999","Virginia, 1995 and 1999",,,,,,,
,,,Exported to,,Imported from,Imported from,,,
,Year,Production,other States,Retained,other States,other States,,Receipts,
,,,,Thousand cubic feet,,,,,
,,,,Softwood,,,,,
,1995,"231,962","31,340","200,622","36,292","36,292",,"236,914",
,1999,"260,427","34,992","225,435","29,488","29,488",,"254,923",
,,,,Hardwood,,,,,
,1995,"223,658","26,963","196,695","50,948","50,948",,"247,643",
,1999,"231,134","29,210","201,924","32,873","32,873",,"234,797",
,,,,All species,,,,,
,1995,"455,620","58,303","397,317","87,240","87,240",,"484,557",
,1999,"491,561","64,202","427,359","62,361","62,361",,"489,720",
,,,,20,,,,,
