Name: “Table 1 of 1 on page 23 of 49”,Name: “Table 1 of 1 on page 23 of 49”,Name: “Table 1 of 1 on page 23 of 49”,Name: “Table 1 of 1 on page 23 of 49”,Name: “Table 1 of 1 on page 23 of 49”,Name: “Table 1 of 1 on page 23 of 49”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,
Table 1—Output of industrial products by product and,Table 1—Output of industrial products by product and,Table 1—Output of industrial products by product and,Table 1—Output of industrial products by product and,Table 1—Output of industrial products by product and,
"species group, Virginia, 1995 and 1999","species group, Virginia, 1995 and 1999","species group, Virginia, 1995 and 1999","species group, Virginia, 1995 and 1999",,
Product and,Product and,,Year,,Percent
species group,species group,1995,1999,Change,change
,,,Thousand cubic feet,,
Saw logs,Saw logs,,,,
,Softwood,"93,769","115,299","21,530",23.0
,Hardwood,"119,000","130,578","11,578",9.7
,Total,"212,769","245,877","33,108",15.6
Veneer logs,Veneer logs,,,,
,Softwood,"13,134","13,947",813,6.2
,Hardwood,"3,163","5,947","2,784",88.0
,Total,"16,297","19,894","3,597",22.1
Pulpwood a,Pulpwood a,,,,
,Softwood,"113,741","97,664","-16,077",-14.1
,Hardwood,"87,624","77,536","-10,088",-11.5
,Total,"201,365","175,200","-26,165",-13.0
Composite panels,Composite panels,,,,
,Softwood,"10,089","31,106","21,017",208.3
,Hardwood,"11,373","14,552","3,179",28.0
,Total,"21,462","45,658","24,196",112.7
Other industrial,Other industrial,,,,
,Softwood,"1,229","2,411","1,182",96.2
,Hardwood,"2,498","2,521",23,0.9
,Total,"3,727","4,932","1,205",32.3
All industrial,All industrial,,,,
,Softwood,"231,962","260,427","28,465",12.3
,Hardwood,"223,658","231,134","7,476",3.3
,Total,"455,620","491,561","35,941",7.9
Byproduct output,Byproduct output,,,,
,Softwood,"79,284","83,392","4,108",5.2
,Hardwood,"87,420","83,132","-4,288",-4.9
,Total,"166,704","166,524",-180,-0.1
Total output,Total output,,,,
,Softwood,"311,246","343,819","32,573",10.5
,Hardwood,"311,078","314,266","3,188",1.0
,Total,"622,324","658,085","35,761",5.7
a,"Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills"
"(4,476,000 cubic feet in 1995 and 3,693,000 cubic feet in 1999).","(4,476,000 cubic feet in 1995 and 3,693,000 cubic feet in 1999).","(4,476,000 cubic feet in 1995 and 3,693,000 cubic feet in 1999).","(4,476,000 cubic feet in 1995 and 3,693,000 cubic feet in 1999).","(4,476,000 cubic feet in 1995 and 3,693,000 cubic feet in 1999).",
,,,17,,
