Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”,Name: “Table 1 of 1 on page 41 of 49”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,,,,
"Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of","Table 22—Roundwood timber products output by county, product, and species group, Northern Mountains of",
"Virginia, 1999","Virginia, 1999","Virginia, 1999",,,,,,,,,,,,
,,,All products,All products,Saw logs,Saw logs,Veneer logs,Veneer logs,Pulpwood a,Pulpwood a,Composite panels,Composite panels,Other industrial,Other industrial
,,,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-
County,County,County,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood
,,,,,,,,Thousand cubic feet,Thousand cubic feet,,,,,
Alleghany,Alleghany,Alleghany,740,"3,128",379,"1,746",0,57,361,"1,325",0,0,0,0
Augusta,Augusta,Augusta,657,"2,757",362,"2,009",0,0,295,729,0,0,0,19
Bath,Bath,,221,"1,801",72,915,0,54,114,832,0,0,35,0
Botetourt,Botetourt,Botetourt,544,"2,606",92,"1,121",0,56,452,"1,429",0,0,0,0
Clarke,Clarke,Clarke,26,677,3,667,0,8,23,2,0,0,0,0
Craig,Craig,,355,895,100,115,0,54,255,726,0,0,0,0
Frederick,Frederick,Frederick,250,"1,064",9,993,0,14,241,57,0,0,0,0
Highland,Highland,Highland,46,"1,714",7,828,0,54,39,832,0,0,0,0
Page,Page,,31,241,6,172,0,0,25,69,0,0,0,0
Roanoke,Roanoke,Roanoke,55,267,14,150,0,0,41,117,0,0,0,0
Rockbridge,Rockbridge,Rockbridge,652,"4,415",131,"3,053",0,16,442,"1,327",0,0,79,19
Rockingham,Rockingham,Rockingham,213,"2,152",66,"1,447",0,0,147,686,0,0,0,19
Shenandoah,Shenandoah,Shenandoah,153,"1,068",18,929,0,6,135,133,0,0,0,0
Warren,Warren,Warren,27,"1,025",2,997,0,8,25,20,0,0,0,0
,All,counties,"3,970","23,810","1,261","15,142",0,327,"2,595","8,284",0,0,114,57
a,"Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (13,000 cubic feet in 1999).",,,,
,,,,,,,35,35,,,,,,
