Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”,Name: “Table 1 of 1 on page 33 of 49”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,
"Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue,",,
"Virginia, 1995 and 1999",,,,,,,,,,
Product and,All types,All types,,Bark,,Coarse,Sawdust,Sawdust,Shavings,Shavings
species group,1995,1999,1995,1999,1995,1999,1995,1999,1995,1999
,,,,,Thousand cubic feet,Thousand cubic feet,,,,
Fiber products,,,,,,,,,,
Softwood,"29,240","31,532",0,0,"29,228","31,028",12,12,0,492
Hardwood,"27,887","28,460",0,0,"27,162","27,810",725,650,0,0
Total,"57,127","59,992",0,0,"56,390","58,838",737,662,0,492
Particleboard,,,,,,,,,,
Softwood,"8,759","9,523",0,0,747,442,"4,487","5,154","3,525","3,927"
Hardwood,"2,688","4,376",0,0,"1,593","3,284","1,016","1,036",79,56
Total,"11,447","13,899",0,0,"2,340","3,726","5,503","6,190","3,604","3,983"
Charcoal/chemical wood,,,,,,,,,,
Softwood,141,70,0,0,41,0,94,70,6,0
Hardwood,618,722,27,27,534,396,49,299,8,0
Total,759,792,27,27,575,396,143,369,14,0
Sawn products,,,,,,,,,,
Softwood,0,0,0,0,0,0,0,0,0,0
Hardwood,4,0,0,0,4,0,0,0,0,0
Total,4,0,0,0,4,0,0,0,0,0
Fuel,,,,,,,,,,
Softwood,"29,529","31,375","13,005","13,179","2,200","1,949","13,318","14,726","1,006","1,521"
Hardwood,"39,645","31,768","16,976","9,497","4,632","2,506","17,815","19,525",222,240
Total,"69,174","63,143","29,981","22,676","6,832","4,455","31,133","34,251","1,228","1,761"
Miscellaneous,,,,,,,,,,
Softwood,"11,615","10,892","8,527","6,322",72,381,"1,420","2,326","1,596","1,863"
Hardwood,"16,578","17,806","11,986","11,915","1,247","2,474","3,217","3,293",128,124
Total,"28,193","28,698","20,513","18,237","1,319","2,855","4,637","5,619","1,724","1,987"
Not used,,,,,,,,,,
Softwood,"1,108","1,506",387,972,326,308,326,226,69,0
Hardwood,"3,704","3,740",854,"1,261",948,815,"1,873","1,664",29,0
Total,"4,812","5,246","1,241","2,233","1,274","1,123","2,199","1,890",98,0
All products,,,,,,,,,,
Softwood,"80,392","84,898","21,919","20,473","32,614","34,108","19,657","22,514","6,202","7,803"
Hardwood,"91,124","86,872","29,843","22,700","36,120","37,285","24,695","26,467",466,420
Total,"171,516","171,770","51,762","43,173","68,734","71,393","44,352","48,981","6,668","8,223"
,,,,27,,,,,,
