Name: “Table 1 of 1 on page 31 of 49”,Name: “Table 1 of 1 on page 31 of 49”,Name: “Table 1 of 1 on page 31 of 49”,Name: “Table 1 of 1 on page 31 of 49”,Name: “Table 1 of 1 on page 31 of 49”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,
"Table 11—Composite panel volume by destination,","Table 11—Composite panel volume by destination,","Table 11—Composite panel volume by destination,","Table 11—Composite panel volume by destination,",
"source, and species group, Virginia, 1999","source, and species group, Virginia, 1999","source, and species group, Virginia, 1999","source, and species group, Virginia, 1999",
,,,Species group,Species group
Destination,Destination,All,,
and source,and source,species,Softwood,Hardwood
,,,Thousand cubic feet,
Virginia (retained),Virginia (retained),"40,413","28,374","12,039"
Exports to:,Exports to:,,,
North Carolina,North Carolina,"5,245","2,732","2,513"
,Total,"5,245","2,732","2,513"
Imports from:,Imports from:,,,
Kentucky,Kentucky,"1,043",71,972
North Carolina,North Carolina,"4,604","4,084",520
Tennessee,Tennessee,587,40,547
,Total,"6,234","4,195","2,039"
"Table 12—Other industrial volume by destination,","Table 12—Other industrial volume by destination,","Table 12—Other industrial volume by destination,","Table 12—Other industrial volume by destination,",
"source, and species group, Virginia, 1999a","source, and species group, Virginia, 1999a","source, and species group, Virginia, 1999a","source, and species group, Virginia, 1999a",
,,,Species group,
Destination,Destination,All,,
and source,and source,species,Softwood,Hardwood
,,,Thousand cubic feet,
Virginia (retained),Virginia (retained),"4,810","2,289","2,521"
Exports to:,Exports to:,,,
,Kentucky,87,87,0
,West Virginia,35,35,0
,Total,122,122,0
Imports from:,Imports from:,,,
,Alabama,144,144,0
,Georgia,72,72,0
,North Carolina,435,435,0
,Total,651,651,0
a,"Includes poles, posts, mulch, firewood, log homes, charcoal,","Includes poles, posts, mulch, firewood, log homes, charcoal,","Includes poles, posts, mulch, firewood, log homes, charcoal,",
and all other industrial mills.,and all other industrial mills.,,,
,,25,,
