Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”,Name: “Table 1 of 1 on page 35 of 49”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,,,
"Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999","Table 16—Roundwood timber products output by county, product, and species group, Coastal Plain of Virginia, 1999"
,,All products,All products,Saw logs,Saw logs,Veneer logs,Veneer logs,Pulpwood a,Pulpwood a,Composite panels,Composite panels,Other industrial,Other industrial
,,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-
County,County,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood
,,,,,,,,Thousand cubic feet,Thousand cubic feet,,,,
Accomack,Accomack,"2,614",475,"1,447",144,0,0,"1,042",331,0,0,125,0
Brunswick,Brunswick,"20,656","5,975","6,906","3,051","1,366",136,"11,523","1,964",832,507,29,317
Caroline,Caroline,"5,741","4,110","4,081","2,687",0,20,"1,632","1,385",0,0,28,18
Charles City,Charles City,"3,004","1,678",940,567,1,0,"2,021","1,090",0,0,42,21
Chesapeake,Chesapeake,498,687,386,123,0,0,112,564,0,0,0,0
Chesterfield,Chesterfield,"4,362","1,824","1,656","1,167",853,16,"1,853",641,0,0,0,0
Dinwiddie,Dinwiddie,"8,195","3,862","4,015","2,230",853,4,"2,376",732,951,579,0,317
Essex,Essex,"2,273","1,856","1,324",862,0,0,915,987,0,0,34,7
Gloucester,Gloucester,"1,472","1,326",763,805,0,0,706,514,0,0,3,7
Greensville,Greensville,"7,669","3,912","2,435","1,198","1,366",17,868,885,"2,971","1,812",29,0
Hampton,Hampton,73,0,65,0,0,0,8,0,0,0,0,0
Hanover,Hanover,"2,273","1,315",979,844,0,16,"1,253",447,0,0,41,8
Henrico,Henrico,756,584,256,214,0,4,500,364,0,0,0,2
Isle Of Wight,Isle Of Wight,"3,980","3,142","1,483","1,065",853,0,207,"1,208","1,426",869,11,0
James City,James City,"1,222",612,612,211,0,16,610,383,0,0,0,2
King and Queen,King and Queen,"3,997","2,501","1,890","1,448",0,62,"2,029",991,0,0,78,0
King George,King George,907,808,699,716,0,4,208,88,0,0,0,0
King William,King William,"1,982","3,766",901,"2,722",0,29,997,"1,015",0,0,84,0
Lancaster,Lancaster,"1,753","1,738",829,567,0,0,913,"1,171",0,0,11,0
Mathews,Mathews,950,389,645,228,0,4,305,157,0,0,0,0
Middlesex,Middlesex,"1,135",540,674,247,1,0,410,286,0,0,50,7
New Kent,New Kent,"1,799","1,627",575,"1,125",0,8,"1,186",477,0,0,38,17
Newport News,Newport News,121,100,76,62,0,0,45,38,0,0,0,0
Northampton,Northampton,726,265,482,230,131,13,60,22,0,0,53,0
Northumberland,Northumberland,"1,037",840,851,630,0,0,158,210,0,0,28,0
Prince George,Prince George,"6,589","3,348","2,527","2,247",853,4,"3,180","1,094",0,0,29,3
Richmond,Richmond,"2,010","1,141",651,417,0,0,"1,287",724,0,0,72,0
Southampton,Southampton,"14,554","6,219","7,840","2,455","1,366",0,"3,541","2,677","1,783","1,087",24,0
Suffolk,Suffolk,"7,740","2,723","3,380",331,853,0,881,798,"2,615","1,594",11,0
Surry,Surry,"5,192","1,770","2,502","1,093",853,0,"1,813",677,0,0,24,0
Sussex,Sussex,"11,572","3,908","7,669","1,154","1,029",4,"1,567","1,953","1,307",797,0,0
Virginia Beach,Virginia Beach,124,493,0,13,0,0,124,480,0,0,0,0
Westmoreland,Westmoreland,"3,105","2,291","2,640","2,001",0,0,431,290,0,0,34,0
York,York,98,92,75,36,0,4,23,50,0,0,0,2
,All counties,"130,179","65,917","62,254","32,890","10,378",361,"44,784","24,693","11,885","7,245",878,728
a,"Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,599,000 cubic feet in 1999).",,,,
,,,,,,29,,,,,,,
