Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”,Name: “Table 1 of 1 on page 46 of 49”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,,
"Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999","Table 27—Total roundwood output by species group, detailed species group, and product, Virginia, 1999"
,,,,,Product,,,
Species group and,,,,,Composite,Poles,Other,
detailed species group,Total,Saw log,Veneer,Pulpwood,panel,and posts,miscellaneous,Fuelwood
,,,,Thousand cubic feet,Thousand cubic feet,,,
Softwood,,,,,,,,
Cedar,"1,122",208,30,614,150,9,88,23
White pine,"10,726","7,373",0,"1,013","2,116",5,0,219
Loblolly-shortleaf pine,"180,186","78,411","13,331","65,157","18,117","1,453",35,"3,682"
Other yellow pines,"71,676","27,389",572,"30,825","10,603",821,0,"1,465"
Cypress,150,79,14,36,18,0,0,3
Hemlock,"2,000","1,839",0,19,102,0,0,41
Total softwoods,"265,860","115,299","13,947","97,664","31,106","2,288",123,"5,433"
Hardwood,,,,,,,,
Soft maple,"19,161","8,574",812,"5,054","1,214",4,166,"3,338"
Hard maple,"1,957",939,23,376,273,0,4,340
Other birch,"2,725","1,222",33,950,45,1,0,474
Hickory,"14,817","6,848",505,"4,205",424,4,253,"2,577"
Beech,"3,879","1,723",71,990,411,0,9,675
Ash,"3,431","1,425",175,993,216,0,25,597
Black walnut,"2,114","1,100",37,520,87,0,2,368
Sweetgum,"21,281","8,381",195,"6,950","1,759",10,274,"3,713"
Yellow-poplar,"55,165","25,964","1,130","15,315","2,886",18,261,"9,593"
Blackgum-tupelo,"4,918","1,989",76,"1,569",388,1,35,861
Sycamore,"3,405","1,314",103,"1,081",253,1,61,592
Cottonwood,475,233,6,121,32,0,0,83
Black cherry,716,357,3,228,2,0,1,125
Select white oaks,"45,261","19,696",684,"14,160","2,233",12,576,"7,899"
Other white oaks,"19,422","9,776",339,"5,393",505,0,36,"3,373"
Select red oaks,"18,415","9,018",561,"4,644",917,2,70,"3,201"
Other red oaks,"48,457","24,220",812,"12,351","2,024",15,595,"8,441"
Basswood,"1,566",793,14,360,123,0,4,272
Elm,"1,145",500,8,339,73,0,25,199
Other Eastern,,,,,,,,
hardwoods,"11,557","6,504",361,"1,938",687,1,54,"2,011"
Total hardwoods,"279,865","130,578","5,947","77,536","14,552",69,"2,452","48,731"
All species,"545,725","245,877","19,894","175,200","45,658","2,357","2,575","54,164"
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,,,
,,,40,,,,,
