Name: “Table 1 of 1 on page 29 of 49”,Name: “Table 1 of 1 on page 29 of 49”,Name: “Table 1 of 1 on page 29 of 49”,Name: “Table 1 of 1 on page 29 of 49”
Table: 29,Table: 29,Table: 29,Table: 29
,,,
"Table 9—Veneer volume by destination, source, and","Table 9—Veneer volume by destination, source, and","Table 9—Veneer volume by destination, source, and","Table 9—Veneer volume by destination, source, and"
"species group, Virginia, 1999","species group, Virginia, 1999",,
,,Species group,Species group
Destination,All,,
and source,species,Softwood,Hardwood
,,Thousand cubic feet,
Virginia (retained),"14,452","13,660",792
Exports to:,,,
Georgia,"1,862",84,"1,778"
Kentucky,275,0,275
North Carolina,"3,000",203,"2,797"
South Carolina,34,0,34
West Virginia,271,0,271
Total,"5,442",287,"5,155"
Imports from:,,,
Foreign,2,0,2
Indiana,104,2,102
Kentucky,150,0,150
Maine,48,0,48
Maryland,8,0,8
Michigan,41,0,41
New Hampshire,19,0,19
New York,21,0,21
North Carolina,"3,648","3,626",22
Ohio,83,0,83
Pennsylvania,304,0,304
South Carolina,9,6,3
Tennessee,231,0,231
West Virginia,223,0,223
Wisconsin,5,0,5
Total,"4,896","3,634","1,262"
,23,,
