Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”,Name: “Table 1 of 1 on page 37 of 49”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,,,,
"Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999","Table 18—Roundwood timber products output by county, product, and species group, Southern Piedmont of Virginia, 1999"
,,All products,All products,Saw logs,Saw logs,Veneer logs,Veneer logs,Pulpwood a,Pulpwood a,Composite panels,Composite panels,Other industrial,Other industrial
,,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-,Soft-,Hard-
County,County,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood
,,,,,,,Thousand cubic feet,Thousand cubic feet,,,,,
Amelia,Amelia,"5,747","4,302","2,889","2,260",853,0,"1,984","2,042",0,0,21,0
Appomattox,Appomattox,"5,738","3,452",700,"1,595",0,5,"3,300","1,852","1,722",0,16,0
Bedford,Bedford,"3,330","5,192",781,"3,270",0,3,827,"1,919","1,722",0,0,0
Buckingham,Buckingham,"10,256","3,248","3,907",781,0,0,"6,328","2,467",0,0,21,0
Campbell,Campbell,"10,103","3,072","2,074","1,071",0,40,"6,296","1,961","1,722",0,11,0
Charlotte,Charlotte,"5,512","7,930","1,617","4,154",0,0,"2,022","3,730","1,873",39,0,7
Cumberland,Cumberland,"2,398","1,941",813,653,1,0,"1,320","1,277",0,0,264,11
Franklin,Franklin,"3,810","5,211",819,"4,175",0,16,"1,269","1,020","1,722",0,0,0
Halifax,Halifax,"8,316","4,710","3,986","2,395",0,177,"1,535","1,864","2,779",274,16,0
Henry,Henry,"4,292","4,448","1,635","2,025",0,18,"1,564","1,544","1,093",861,0,0
Lunenburg,Lunenburg,"5,553","4,598","1,684","1,900",853,4,"2,095","2,037",905,235,16,422
Mecklenburg,Mecklenburg,"4,425","4,535","1,539","2,818",853,232,"1,854",813,150,39,29,633
Nottoway,Nottoway,"4,883","2,662","2,711","1,137",853,13,"1,319","1,090",0,0,0,422
Patrick,Patrick,"2,142","5,242",892,"4,112",0,0,47,393,"1,203",737,0,0
Pittsylvania,Pittsylvania,"9,861","6,037","5,271","2,527",71,322,"2,646","3,149","1,873",39,0,0
Powhatan,Powhatan,"1,733","2,019",377,"1,086",1,66,"1,355",860,0,0,0,7
Prince Edward,Prince Edward,"2,809","3,547",267,"1,714",0,4,"2,542","1,829",0,0,0,0
,All counties,"90,908","72,146","31,962","37,673","3,485",900,"38,303","29,847","16,764","2,224",394,"1,502"
a,"Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).","Includes roundwood delivered to nonpulpmills, then chipped and sold to pulpmills (1,768,000 cubic feet in 1999).",,,,
,,,,,,31,,,,,,,
