Name: “Table 1 of 1 on page 32 of 49”,Name: “Table 1 of 1 on page 32 of 49”,Name: “Table 1 of 1 on page 32 of 49”,Name: “Table 1 of 1 on page 32 of 49”,Name: “Table 1 of 1 on page 32 of 49”,Name: “Table 1 of 1 on page 32 of 49”,Name: “Table 1 of 1 on page 32 of 49”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,
"Table 13—Primary mill residue volume by roundwood type, species group,","Table 13—Primary mill residue volume by roundwood type, species group,","Table 13—Primary mill residue volume by roundwood type, species group,","Table 13—Primary mill residue volume by roundwood type, species group,","Table 13—Primary mill residue volume by roundwood type, species group,","Table 13—Primary mill residue volume by roundwood type, species group,","Table 13—Primary mill residue volume by roundwood type, species group,"
"and residue type, Virginia, 1999","and residue type, Virginia, 1999","and residue type, Virginia, 1999",,,,
,,,,Residue type,Residue type,
Roundwood type,Roundwood type,All,,,,
and species group,and species group,types,Bark,Coarse,Sawdust,Shavings
,,,,Thousand cubic feet,Thousand cubic feet,
Saw logs,Saw logs,,,,,
,Softwood,"63,377","7,701","27,530","20,343","7,803"
,Hardwood,"75,927","13,426","36,101","25,980",420
,Total,"139,304","21,127","63,631","46,323","8,223"
Veneer logs,Veneer logs,,,,,
,Softwood,"9,754","1,310","6,273","2,171",0
,Hardwood,755,219,354,182,0
,Total,"10,509","1,529","6,627","2,353",0
Pulpwood,Pulpwood,,,,,
,Softwood,"4,463","4,463",0,0,0
,Hardwood,"5,517","5,517",0,0,0
,Total,"9,980","9,980",0,0,0
Composite panels,Composite panels,,,,,
,Softwood,"5,348","5,348",0,0,0
,Hardwood,"3,162","3,162",0,0,0
,Total,"8,510","8,510",0,0,0
Other industrial a,Other industrial a,,,,,
,Softwood,"1,956","1,651",305,0,0
,Hardwood,"1,511",376,830,305,0
,Total,"3,467","2,027","1,135",305,0
Total,Total,,,,,
,Softwood,"84,898","20,473","34,108","22,514","7,803"
,Hardwood,"86,872","22,700","37,285","26,467",420
,Total,"171,770","43,173","71,393","48,981","8,223"
a,"Includes poles, pilings, posts, and other industrial products.","Includes poles, pilings, posts, and other industrial products.","Includes poles, pilings, posts, and other industrial products.","Includes poles, pilings, posts, and other industrial products.",,
,,,26,,,
