Name: “Table 1 of 1 on page 28 of 49”,Name: “Table 1 of 1 on page 28 of 49”,Name: “Table 1 of 1 on page 28 of 49”,Name: “Table 1 of 1 on page 28 of 49”
Table: 28,Table: 28,Table: 28,Table: 28
,,,
"Table 8—Saw-log volume by destination, source, and","Table 8—Saw-log volume by destination, source, and","Table 8—Saw-log volume by destination, source, and","Table 8—Saw-log volume by destination, source, and"
"species group, Virginia, 1999","species group, Virginia, 1999",,
,,Species group,Species group
Destination,All,,
and source,species,Softwood,Hardwood
,,Thousand cubic feet,
Virginia (retained),"220,230","100,939","119,291"
Exports to:,,,
Kentucky,138,0,138
North Carolina,"19,506","13,482","6,024"
Tennessee,"4,503",779,"3,724"
West Virginia,"1,500",99,"1,401"
Total,"25,647","14,360","11,287"
Imports from:,,,
Kentucky,587,0,587
Maryland,369,13,356
North Carolina,"20,279","14,514","5,765"
Pennsylvania,40,16,24
Tennessee,"1,104",1,"1,103"
West Virginia,"1,716",9,"1,707"
Total,"24,095","14,553","9,542"
,22,,
