Name: “Table 1 of 1 on page 44 of 49”,Name: “Table 1 of 1 on page 44 of 49”,Name: “Table 1 of 1 on page 44 of 49”,Name: “Table 1 of 1 on page 44 of 49”,Name: “Table 1 of 1 on page 44 of 49”,Name: “Table 1 of 1 on page 44 of 49”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,
"Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and",
"source of material, Virginia, 1999","source of material, Virginia, 1999",,,,
Product and,All,,Growing-stock trees,Growing-stock trees,Other
species group,sources,Total,Sawtimber,Poletimber,sources
,,,Thousand cubic feet,,
Saw logs,,,,,
Softwood,"115,299","112,562","108,074","4,488","2,737"
Hardwood,"130,578","122,443","115,990","6,453","8,135"
Total,"245,877","235,005","224,063","10,941","10,872"
Veneer logs and bolts,,,,,
Softwood,"13,947","13,782","13,506",276,165
Hardwood,"5,947","5,896","5,654",242,51
Total,"19,894","19,678","19,160",518,216
Pulpwood,,,,,
Softwood,"97,664","87,664","40,325","47,339","10,000"
Hardwood,"77,536","68,887","30,999","37,888","8,649"
Total,"175,200","156,551","71,324","85,227","18,649"
Composite panels,,,,,
Softwood,"31,106","27,921","12,844","15,077","3,185"
Hardwood,"14,552","12,929","5,818","7,111","1,623"
Total,"45,658","40,850","18,662","22,188","4,808"
Poles and posts,,,,,
Softwood,"2,288","1,879","1,716",162,409
Hardwood,69,58,42,16,11
Total,"2,357","1,937","1,759",178,420
Other miscellaneous,,,,,
Softwood,123,123,88,35,0
Hardwood,"2,452","2,231","1,593",638,221
Total,"2,575","2,354","1,681",673,221
Total industrial products,,,,,
Softwood,"260,427","243,931","176,553","67,378","16,496"
Hardwood,"231,134","212,444","160,096","52,348","18,690"
Total,"491,561","456,375","336,649","119,726","35,186"
Fuelwood,,,,,
Softwood,"5,433","4,944","3,561","1,383",489
Hardwood,"48,731","43,811","31,565","12,246","4,920"
Total,"54,164","48,755","35,126","13,628","5,409"
All products,,,,,
Softwood,"265,860","248,875","180,114","68,761","16,985"
Hardwood,"279,865","256,254","191,661","64,593","23,611"
Total,"545,725","505,129","371,775","133,354","40,596"
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,
,,38,,,
