Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”,Name: “Table 1 of 1 on page 54 of 74”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,,,,,,,,,,,,,,,
Table,27—Merchantable,27—Merchantable,volume,of,live,trees,and,growing,stock,on,"timberland,","timberland,",by,ownership,class,class,and,species,"group,","Virginia,",1992,
,,,,,,,,Live,trees,,,,,,,,,,Growing,stock,,
Ownership,Ownership,class,,,,,,,,,,,,,,,,,,,,
,,,,All,All,,,Other,Other,,soft,,Hard,,All,All,,,Other,,soft,Hard
,,,,,,,Pine,,,,,,,,,,,Pine,,,,
,,,,species,species,,,softwood,softwood,hardwood,hardwood,hardwood,hardwood,,species,species,,,softwood,softwood,hardwood,hardwood
,,,,,,,,,,,,,Thousand,Thousand,cubic,feet,feet,,,,,
National,forest,,,"2,974,967","2,974,967","229,944","229,944","140,628","140,628","418,469","418,469","2,185,926","2,185,926","2,185,926","2,662,644","2,662,644","2,662,644","224,472","137,974","137,974","380,200","1,919,998"
Other,public,,,"1,414,515","1,414,515","333,555","333,555","28,314","28,314","408,931","408,931",,"643,715","643,715","1,300,254","1,300,254","1,300,254","330,916","27,727","27,727","376,327","565,284"
Forest,industry,,,"2,239,620","2,239,620","1,096,098","1,096,098","46,012","46,012","444,820","444,820",,"652,690","652,690","2,153,793","2,153,793","2,153,793","1,090,292","46,012","46,012","418,723","598,766"
Forest,industry-leased,industry-leased,,"28,232","28,232",,"20,363",,--,,"3,783",,"4,086","4,086","28,232","28,232","28,232","20,363",,--,"3,783","4,086"
Other,private,,"21,955,224","21,955,224","21,955,224","4,050,682","4,050,682","777,894","777,894","6,445,706","6,445,706","10,680,942","10,680,942","10,680,942","20,341,871","20,341,871","20,341,871","4,009,274","761,358","761,358","5,947,116","9,624,123"
All,ownerships,,"28,612,558","28,612,558","28,612,558","5,730,642","5,730,642","992,848","992,848","7,721,709","7,721,709","14,167,359","14,167,359","14,167,359","26,486,794","26,486,794","26,486,794","5,675,317","973,071","973,071","7,126,149","12,712,257"
Table,28--Volume,of,sawtimber,on,,"timberland,",by,ownership,ownership,class,and,species,"group,","Virginia,","Virginia,",1992,1992,,,,,
,,,,,,,,Small,sawtimber,sawtimber,,,,,,,,,Large,sawtimber,,
Ownership,Ownership,class,,,,,,,,,,,,,,,,,,,,
,,,,Al,1,,,,Other,,soft,,Hard,,,All,,,Other,Other,soft,Hard
,,,,,,Pine,,,,,,,,,,,,Pine,,,,
,,,,species,species,,,softwood,softwood,hardwood,hardwood,,hardwood,,species,species,species,,softwood,softwood,hardwood,hardwood
,,,,,,,,,,,,,Thousand,Thousand,board,feet,feet,,,,,
National,forest,,,"3,017,011","3,017,011",,"578,481",,"221,556","395,074","395,074",,"1,821,900","1,821,900","4,785,879","4,785,879","4,785,879","187,827","266,690","266,690","657,195","3,674,167"
Other,public,,,"1,624,921","1,624,921",,"641,622",,"39,165","422,656","422,656",,"521,478","521,478","2,751,928","2,751,928","2,751,928","499,302",,"89,501","846,745","1,316,380"
Forest,industry,,,"2,849,830","2,849,830","1,727,086","1,727,086",,"41,001","471,757","471,757",,"609,986","609,986","2,631,862","2,631,862","2,631,862","649,849","142,677","142,677","733,657","1,105,679"
Forest,industry-leased,industry-leased,,"51,244","51,244",,"41,327",,--,,"3,226",,,"6,691",,"4,035","4,035",--,,--,"4,035",--
Other,private,,,"26,563,606","26,563,606","8,476,983","8,476,983","1,077,485","1,077,485","6,684,847","6,684,847","10,324,291","10,324,291","10,324,291","35,971,205","35,971,205","35,971,205","3,158,869","2,041,166","2,041,166","11,873,404","18,897,766"
All,ownerships,,,"34,106,612","34,106,612","11,465,499","11,465,499","1,379,207","1,379,207","7,977,560","7,977,560","13,284,346","13,284,346","13,284,346","46,144,909","46,144,909","46,144,909","4,495,847","2,540,034","2,540,034","14,115,036","24,993,992"
aVolume,of,sawtimber,trees,less,than,15.0,inches,at,d.b.h.,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,
Volume,of,sawtimber,trees,15.0,inches,and,larger,at,d.b.h.,,,,,,,,,,,,,
