Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”
Brunswick,Brunswick,Brunswick,,"290,950","290,950",,,--,--,,--,"131,809","45,968","97,459","5,238","10,476",
Buchanan,Buchanan,,,"290,585","290,585",,,--,--,,--,--,"9,892","255,962",--,--,"24,731"
Buckingham,Buckingham,Buckingham,,"300,672","300,672",,,--,--,,--,"98,351","37,407","149,121",--,"15,793",--
Campbell,Campbell,,,"205,236","205,236",,,--,--,,--,"57,800","10,725","132,881",--,"3,830",--
Caroline,Caroline,,,"261,702","261,702",,,--,--,,--,"94,944","33,976","113,672","10,561","8,549",--
Carroll,Carroll,,,"182,605","182,605",,"33 ,861","33 ,861",--,,--,"5,308","55,812","87,624",--,--,--
Charles,Charles,City,,"84,737","84,737",,,--,--,,--,"30,710","21,942","24,034","8,051",--,--
Charlotte,Charlotte,Charlotte,,"209,194","209,194",,,--,--,,--,"85,074","39,136","82,384",--,"2,600",--
Chesapeake,Chesapeake,Chesapeake,,"59,974","59,974",,,--,--,,--,"13,205","15,995","14,161","16,613",--,--
Chesterfield,Chesterfield,Chesterfield,,"187,487","187,487",,,--,--,,--,"61,234","35,436","83,990","6,827",--,--
Clarke,Clarke,,,"37,876","37,876",,,--,--,,--,--,--,"37,876",--,--,--
Craig,,,,"162,684","162,684",,"9 ,498","9 ,498",--,,--,"23,875","37,990","91,321",--,--,--
Culpeper,Culpeper,,,"114,304","114,304",,,--,--,,--,"20,106","9,814","78,159","3,113","3,112",--
Cumberland,Cumberland,Cumberland,,"131,624","131,624",,,--,--,,--,"48,457","16,272","61,298",--,"5,597",--
Dickenson,Dickenson,Dickenson,,"171,650","171,650",,,--,--,,--,"4,485","8,969","144,741",--,--,"13,455"
Dinwiddie,Dinwiddie,Dinwiddie,,"244,049","244,049",,,--,--,,--,"86,500","69,487","84,130","3,932",--,--
Essex,,,,"98,013","98,013",,,--,--,,--,"34,230","17,117","40,012","3,519","3,135",--
Fairfax,Fairfax,,,"68,538","68,538",,,--,--,,--,"9,867","1,974","48,859",--,"7,838",--
Fauquier,Fauquier,,,"174,154","174,154",,,--,--,,--,"31,475","18,128","119,950",--,"4,601",--
Floyd,,,,"141,181","141,181",,"29 ,292","29 ,292",--,,--,"15,288","20,392","76,209",--,--,--
Fluvanna,Fluvanna,,,"137,348","137,348",,,--,--,,--,"38,430","38,059","51,198","4,381","5,280",--
Franklin,Franklin,,,"279,964","279,964",,"2 ,748","2 ,748",--,,--,"31,045","15,441","230,730",--,--,--
Frederick,Frederick,Frederick,,"128,921","128,921",,"4 ,000","4 ,000",--,,--,"4,001","24,004","96,916",--,--,--
Giles,,,,"167,121","167,121",,,--,--,,--,"4,929","10,221","141,758",--,--,"10,213"
Gloucester,Gloucester,Gloucester,,"94,613","94,613",,,--,--,,--,"31,888","5,081","50,022","7,622",--,--
Goochland,Goochland,Goochland,,"130,505","130,505",,,--,--,,--,"34,122","24,138","65,339","3,448","3,458",--
Grayson,Grayson,,,"164,742","164,742",,"41 ,278","41 ,278",--,,--,"3,816","5,235","106,780",--,--,"7,633"
Greene,Greene,,,"53,599","53,599",,,--,--,,--,"11,705","3,713","38,181",--,--,--
Greenville,Greenville,Greenville,,"135,286","135,286",,,--,--,,--,"30,469","16,255","48,929","25,642","13,991",--
Halifax,Halifax,,,"351,662","351,662",,,--,--,,--,"117,900","36,918","172,651","9,428","14,765",--
Hampton,Hampton,,,"4,342","4,342",,,--,--,,--,--,--,374,"3,968",--,--
Hanover,Hanover,,,"178,181","178,181",,,--,--,,--,"58,191","34,620","60,765","23,080","1,525",--
Henrico,Henrico,,,"59,429","59,429",,,--,--,,--,"11,592","11,240","30,977","5,620",--,--
Henry,Henry,,,"176,780","176,780",,"7 ,941","7 ,941",--,,--,"55,891","33,251","71,756",--,"7,941",
Highland,Highland,,,"196,003","196,003",,"13 ,536","13 ,536",--,,--,"4,418","35,718","124,379",--,--,"17,952"
Isle,of,Wight,,"114,161","114,161",,,--,--,,--,"21,685","31,092","45,773","12,675","2,936",--
James,City,City,,"60,221","60,221",,,--,--,,--,"14,048","6,708","39,465",--,--,--
King,and,Queen,Queen,"152,722","152,722",,,--,--,,--,"58,740","33,511","45,952","14,519",--,--
King,George,George,,"70,130","70,130",,,--,--,,--,"5,890","2,596","61,421",223,--,--
King,William,William,,"111,822","111,822",,,--,--,,--,"49,849","10,391","43,996","7,586",--,--
,,,,,,,,,,,,,,,,,Continued
