Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,,,,,,,,,,,,,,,
Table,38--Cubic,38--Cubic,volume,volume,in,the,merchantable,merchantable,saw-log,portion,of,sawtimber,trees,on,"timberland,","timberland,",by,species,and,diameter,"class,","class,",
"Virginia,","Virginia,",1992,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Diameter,class,class,(inches,at,breast,height),height),,,,
,,,,,,,Al,1,,,,,,,,,,,,,,,
,,Species,,,,,,,,,,,,,,,,,,,,,
,,,,,,classes,classes,,9.0-,11.0-,,13.0-,15.0-,15.0-,,17.0-,,19.0-,,21.0-,,29.0,and
,,,,,,,,,10.9,12.9,,14.9,16.9,,,18.9,,20.9,,28.9,,larger,larger
,,,,,,,,,,,,Thousand,Thousand,cubic,cubic,feet,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,pine,,,,,,--,--,,--,--,,,--,,--,,--,,--,,--
Slash,pine,pine,,,,,,--,--,,--,--,,,--,,--,,--,,--,,--
Shortleaf,Shortleaf,,pine,,,,"294,524","294,524","94,813","94,734","94,734","58,533","29,710","29,710","29,710","10,459","10,459","6,275","6,275",,--,,--
