Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”,Name: “Table 1 of 1 on page 61 of 74”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,,,,,,,,,,,,,
Table,36--Volume,36--Volume,36--Volume,of,sawtimber,on,"timberland,","timberland,",by,species,and,diameter,"class,","Virginia,","Virginia,",1992,,,,,
,,,,,,,,,,,,Diameter,Diameter,class,(inches,at,breast,height),,,
,,,,,,Al1,,,,,,,,,,,,,,,
,,Species,Species,,,,,,,,,,,,,,,,,,
,,,,,classes,classes,,9.0-,,11.0-,,13.0-,,15.0-,,17.0-,,19.0-,21.0-,29.0,and
,,,,,,,,10.9,,12.9,,14.9,,16.9,,18.9,,20.9,28.9,larger,
,,,,,,,,,,,,,Thousand,Thousand,board,feet,,,,,
softwood,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,pine,pine,,,,--,,--,,--,,--,,--,,--,,--,,--
Slash,pine,pine,,,,,--,,--,,--,,--,,--,,--,--,--,,--
