Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”,Name: “Table 1 of 1 on page 22 of 74”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,,,,,,,,,,,,
,,,,,,,,,Stocking,Stocking,Stocking,Standard,Standard,,,,,
,,,,,,,,Minimum,Minimum,number,number,of,Minimum,Minimum,,basal,area,
,,,,D.b.h.,D.b.h.,D.b.h.,,,,,,,,,,,,
,,,,,,,,trees,trees,per,acre,,,,per,acre,,
,,,,class,class,class,,,,,,,,,,,,
,,,,,,,,for,full,stocking,stocking,stocking,for,full,full,stocking,stocking,
,,,,Seedlings,Seedlings,Seedlings,,,,600,,,,,,--,,
,,,,,2,2,,,,560,,,,,,--,,
,,,,,4,4,,,,460,,,,,,--,,
,,,,,6,6,,,,340,,,,,,67,,
,,,,,8,8,,,,240,,,,,,84,,
,,,,,10,10,,,,155,,,,,,85,,
,,,,,12,12,,,,115,,,,,,90,,
,,,,,14,14,,,,90,,,,,,96,,
,,,,,16,16,,,,72,,,,,,101,,
,,,,,18,18,,,,60,,,,,,106,,
,,,,,20,20,,,,51,,,,,,111,,
Conversion,Conversion,Conversion,Conversion,factors,factors,factors,,,,,,,,,,,,
,,,,,,Cubic,Cubic,feet,of,wood,wood,per,average,,cord,,,
,,,,,,,,,(excluding,(excluding,(excluding,bark),bark),,,,,
,,,,,D.b.h.,D.b.h.,,Al,1,,,,Other,,,,,
,,,,,,,,,,Pine,Pine,,,,Hardwood,Hardwood,Hardwood,
,,,,,class,class,,species,species,,,,softwood,softwood,,,,
,,,,,,6,,60.6,60.6,61.0,61.0,,68.2,,,6000,,
,,,,,,8,,68.5,68.5,68.1,68.1,,76.0,,,68.4,,
,,,,,10,10,,73.5,73.5,73.1,73.1,,81.4,,,73.4,,
,,,,,12,12,,76.7,76.7,76.7,76.7,,85.2,,,76.4,,
,,,,,14,14,,78.8,78.8,79.4,79.4,,88.2,,,78.4,,
,,,,,16,16,,80.4,80.4,81.6,81.6,,90.4,,,79.8,,
,,,,,18,18,,81.4,81.4,83.3,83.3,,92.4,,,80.8,,
,,,,,20,20,,82.3,82.3,84.8,84.8,,93.3,,,81.5,,
,,,,,22,22,,82.8,82.8,86.0,86.0,,95.1,,,82.1,,
,,,,,24+,24+,,83.9,83.9,87.7,87.7,,97.8,,,83.0,,
,,,,Average,Average,Average,,74.9,74.9,72.0,72.0,,85.0,,,75.3,,
,,,,Metric,Metric,Metric,equivalents,equivalents,equivalents,of,units,units,used,in,this,report,report,
1,acre,=,,"4,046.86","4,046.86","4,046.86",square,meters,meters,or,,0.404686,0.404686,hectare,,,,
1,cubic,,foot,=,0.028317,0.028317,0.028317,cubic,cubic,meter,meter,,,,,,,
1,inch,=,,2.54,centimeters,centimeters,centimeters,centimeters,or,0.0254,0.0254,meter,,,,,,
Breast,Breast,height,height,height,(4.5,(4.5,feet),=,1.4,meters,meters,above,above,ground,level,level,,
1,square,square,,foot,=,929.03,929.03,square,square,centimeters,centimeters,centimeters,or,0.0929,0.0929,square,meter,meter
1,square,square,,foot,per,per,acre,basal,basal,area,=,0.229568,0.229568,square,square,meter,per,hectare
1,pound,,=,0.454,0.454,kilogram,kilogram,,,,,,,,,,,
1,ton,=,0.907,0.907,metric,metric,ton,,,,,,,,,,,
16’,,,,,,,,,,,,,,,,,,
