Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,,,,,,,
State,Tables,,,,,,,,,,,,,
Table,10--Area,10--Area,of,"timberland,","timberland,",by,forest,type,and,ownership,"class,","Virginia,","Virginia,",1992
,,,,,,,,,,,Ownership,class,,
,,,,Al,1,,,,,,,,,
,Forest,type,type,,,,,,,,,Fores,t,
,,,,ownerships,ownerships,ownerships,National,National,Other,Other,Forest,,,Other
,,,,,,,,,,,,industry-,industry-,
,,,,,,,forest,forest,public,public,industry,,,private
,,,,,,,,,,,,leased,leased,
,,,,,,,,,,,Acres,,,
Softwood,,types,,,,,,,,,,,,
White,pine-hemlock,pine-hemlock,pine-hemlock,"216,920","216,920","216,920","25,910","25,910","4,181","4,181","5,857",--,--,"180,972"
Spruce-fir,Spruce-fir,,,,,--,,--,,,--,--,--,--
Longleaf,Longleaf,pine,,,,--,,--,,--,--,--,--,--
Slash,pine,,,,,--,,--,,,--,--,--,--
Loblolly,Loblolly,pine,,"1,996,447","1,996,447","1,996,447",,--,"78,869","78,869","767,941","7,922","7,922","1,141,715"
Shortleaf,Shortleaf,pine,,"118,428","118,428","118,428",,--,"4,016","4,016","4,394",--,--,"110,018"
Virginia,Virginia,pine,,"802,645","802,645","802,645","13,170","13,170","51,087","51,087","52,823",--,--,"685,565"
Sand,pine,,,,,--,,--,,--,--,--,--,--
Eastern,Eastern,redcedar,redcedar,"87,498","87,498","87,498",,--,,--,--,--,--,"87,498"
Pond,pine,,,,"1,753","1,753",,--,,--,--,--,--,"1,753"
Spruce,,pine,,,,--,,--,,--,--,--,--,--
Pitch,pine,,,"66,119","66,119","66,119","30,591","30,591",,--,--,--,--,"35,528"
Table,Mountain,Mountain,pine,"62,941","62,941","62,941","37,551","37,551",,--,"1,256",--,--,"24,134"
,Total,,,"3,352,751","3,352,751","3,352,751","107,222","107,222","138,153","138,153","832,271","7,922","7,922","2,267,183"
Hardwood,,types,,,,,,,,,,,,
Oak-pine,Oak-pine,,,"1,941,207","1,941,207","1,941,207","149,686","149,686","54,939","54,939","215,709",--,--,"1,520,873"
Oak-hickory,Oak-hickory,Oak-hickory,,"8,276,236","8,276,236","8,276,236","825,534","825,534","255,580","255,580","382,608","9,444","9,444","6,803,070"
Chestnut,Chestnut,oak,,"1,095,830","1,095,830","1,095,830","369,476","369,476","39,374","39,374","33,927",--,--,"653,053"
Southern,Southern,scrub,oak,,"5,002","5,002",,--,,--,--,--,--,"5,002"
Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,,"392,257","392,257","392,257",,--,"9,896","9,896","49,147",--,--,"333,214"
Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,"242,764","242,764","242,764",,--,"16,865","16,865","23,735",--,--,"202,164"
Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,"141,503","141,503","141,503","16,208","16,208",,353,--,--,--,"124,942"
,Total,,,"12,094,799","12,094,799","12,094,799","1,360,904","1,360,904","377,007","377,007","705,126","9,444","9,444","9,642,318"
All,types,,,"15,447,550","15,447,550","15,447,550","1,468,126","1,468,126","515,160","515,160","1,537,397","17,366","17,366","11,909,501"
36,,,,,,,,,,,,,,
