Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”,Name: “Table 1 of 1 on page 58 of 74”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,,,,,,,,,,,,,,,
Table,33--Number,33--Number,33--Number,of,growing-stock,trees,on,"timberland,","timberland,",by,species,and,diameter,"class,",Virginia j,Virginia j,1992,,,,,,
,,,,,,,,,,,,,Diameter,class,(inches,at,breast,height),,,,,
,,,,,Al1,,,,,,,,,,,,,,,,,,
,,Species,Species,,,,,,,,,,,,,,,,,,,,
,,,,,classes,,1.0-,,3.0-,,5.0-,7.0-,7.0-,9.0-,11.0-,13.0-,13.0-,15.0-,17.0-,19.0-,21.0-,29.0,and
,,,,,,,2.9,,4.9,,6.9,8.9,,10.9,12.9,14.9,,16.9,18.9,20.9,28.9,larger,larger
,,,,,,,,,,,,,,Thousand,trees,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,pine,pine,,--,,,--,,--,--,,--,--,--,,--,--,--,,--,--,--
Slash,pine,pine,,,--,,,--,,--,--,,--,--,--,,--,--,--,--,--,--,--
Shortleaf,Shortleaf,,pine,,"77,415",,"14,421","14,421","16,656","16,656","16,815","12,773","12,773","8,777","4,971","2,027","2,027",698,191,86,--,--,--
Loblolly,Loblolly,pine,pine,,"943,035","304,528","304,528","304,528","255,300","255,300","183,127","110,809","110,809","47,103","21,653","10,085","10,085","5,363","2,793","1,341",926,,7
Pond,pine,,,,503,,,--,,--,--,,76,167,93,,36,33,60,29,6,,3
Virginia,Virginia,pine,pine,,"569,172","217,308","217,308","217,308","138,810","138,810","94,661","61,707","61,707","34,347","15,482","5,188","5,188","1,326",304,29,10,--,--
Pitch,pine,pine,,,"31,527",,"8,603","8,603","4,691","4,691","2,984","4,946","4,946","3,906","3,318","1,925","1,925",745,282,109,18,--,--
Table,Mountain,Mountain,Mountain,pine,"19,663",,"3,224","3,224","3,435","3,435","4,185","3,779","3,779","2,494","1,469",,765,276,21,15,--,--,--
Spruce,,pine,,,--,,,--,,--,--,,--,--,--,,--,--,--,--,--,--,--
Sand,pine,,,,--,,,--,,--,--,,--,--,--,,--,--,--,--,--,--,--
Eastern,Eastern,white,white,pine,"163,761",,"79,919","79,919","35,302","35,302","15,471","11,035","11,035","8,099","4,749","2,991","2,991","2,647","1,537","1,099",878,34,34
Eastern,Eastern,hemlock,hemlock,hemlock,"49,319",,"21,526","21,526","12,792","12,792","6,293","3,662","3,662","1,705","1,390",,574,567,266,178,280,86,86
Spruce,,and,fir,,"1,574",,"1,302","1,302",--,--,--,106,106,--,137,,29,--,--,--,--,--,--
Baldcypress,Baldcypress,Baldcypress,,,931,,,--,,--,143,,--,100,70,,169,112,91,90,109,47,47
Pondcypress,Pondcypress,Pondcypress,,,176,,,--,,--,--,,32,--,26,,--,31,12,19,32,24,24
Cedars,,,,,"196,744","129,914","129,914","129,914","44,517","44,517","15,520","4,397","4,397","1,580",490,,197,129,--,--,--,--,--
,Total,softwoods,softwoods,softwoods,"2,053,820","780,745","780,745","780,745","511,503","511,503","339,199","213,322","213,322","108,278","53,848","23,986","23,986","11,927","5,557","2,995","2,259",201,201
Hardwood,,,,,,,,,,,,,,,,,,,,,,,
Select,,white,oaks,oaks,"453,399","178,096","178,096","178,096","85,971","85,971","60,082","39,421","39,421","32,322","22,170","14,656","14,656","9,465","5,179","2,846","2,993",198,198
Select,,red,oaks,,"150,187",,"57,937","57,937","26,081","26,081","16,859","10,463","10,463","10,167","8,508","6,463","6,463","4,746","3,181","2,270","3,145",367,367
Chestnut,Chestnut,oak,,,"288,906",,"55,428","55,428","50,968","50,968","52,175","46,866","46,866","31,528","20,143","12,826","12,826","7,159","5,413","2,810","3,319",271,271
Other,white,white,oaks,oaks,"39,929",,"23,909","23,909","7,104","7,104","1,968","3,037","3,037","1,608","1,035",,599,340,168,87,63,11,11
Other,red,oaks,oaks,,"526,587","248,680","248,680","248,680","83,436","83,436","59,454","46,459","46,459","33,448","20,872","14,762","14,762","8,908","5,197","2,569","2,679",123,123
Hickory,Hickory,,,,"338,745","162,318","162,318","162,318","72,681","72,681","37,311","25,427","25,427","16,516","10,743","6,436","6,436","3,681","1,814",998,790,30,30
Yellow,,birch,,,"2,870",,"1,372","1,372",542,542,551,,79,115,--,,68,25,40,35,43,--,--
Hard,maple,maple,,,"73,433",,"31,036","31,036","21,898","21,898","8,438","5,146","5,146","2,584","1,508","1,306","1,306",721,313,226,237,20,20
Soft,maple,maple,,,"899,045","567,513","567,513","567,513","168,776","168,776","73,524","40,949","40,949","20,261","13,179","7,720","7,720","3,345","1,850","1,040",815,73,73
Beech,,,,,"115,235",,"68,418","68,418","18,723","18,723","7,341","5,996","5,996","3,996","3,359","2,554","2,554","1,836","1,437",713,801,61,61
Sweetgum,Sweetgum,,,,"602,610","391,130","391,130","391,130","119,156","119,156","42,195","21,852","21,852","12,985","6,934","4,385","4,385","2,023",863,516,520,51,51
Tupelo,,and,blackgum,blackgum,"258,268","156,032","156,032","156,032","53,240","53,240","21,716","10,649","10,649","7,106","4,719","2,173","2,173","1,355",612,341,282,43,43
Ash,,,,,"91,620",,"41,997","41,997","20,430","20,430","12,455","6,331","6,331","3,874","2,847","1,468","1,468","1,016",492,365,296,49,49
Cottonwood,Cottonwood,Cottonwood,,,242,,,--,160,160,--,,--,70,--,,--,--,--,--,12,--,--
