Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”,Name: “Table 1 of 1 on page 57 of 74”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,,,,,,,,,,,,,,,
Table,32--Number,32--Number,32--Number,of,live,trees,on,"timberland,",by,species,and,diameter,"class,","Virginia,",1992,,,,,,,,
,,,,,,,,,,,,,Diameter,class,(inches,at,breast,height),,,,,
,,,,,,All,All,,,,,,,,,,,,,,,,
,,Species,Species,,,,,,,,,,,,,,,,,,,,
,,,,,,classes,classes,1.0-,,3.0-,,5.0-,7.0-,9.0-,11.0-,13.0-,13.0-,15.0-,17.0-,19.0-,21.0-,29.0,and
,,,,,,,,2.9,,4.9,,6.9,8.9,10.9,12.9,14.9,14.9,16.9,18.9,20.9,28.9,larger,larger
,,,,,,,,,,,,,,Thousand,trees,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,pine,pine,,,,--,,--,--,,,,--,--,,--,--,--,—-,--,--,--
Slash,pine,pine,,,,,--,,--,--,,--,--,--,--,,--,--,--,--,--,--,--
Shortleaf,Shortleaf,,pine,,,"80,489","80,489","16,772","16,772","16,878",,"16,815","12,997","9,009","5,016","2,027","2,027",698,191,86,--,--,--
Loblolly,Loblolly,pine,pine,,,"960,922","960,922","317,206","317,206","258,739","184,128","184,128","111,276","47,249","21,703","10,145","10,145","5,394","2,793","1,350",932,,7
Pond,pine,,,,,,518,,--,--,,--,76,167,108,,36,33,60,29,6,,3
Virginia,Virginia,pine,pine,,,"613,167","613,167","248,344","248,344","146,939",,"97,272","62,957","34,798","15,898","5,250","5,250","1,348",322,29,10,--,--
Pitch,pine,pine,,,,"35,108","35,108","11,006","11,006","5,202",,"3,294","4,946","4,168","3,366","1,972","1,972",745,282,109,18,--,--
Table,Mountain,Mountain,Mountain,pine,pine,"25,048","25,048","5,745","5,745","4,847",,"4,364","4,664","2,749","1,508",859,859,276,21,15,--,--,--
Spruce,,pine,,,,,--,,--,--,,--,--,--,--,,--,--,--,--,--,--,--
Sand,pine,,,,,,--,,--,—-,,--,--,--,--,,--,--,--,--,--,--,--
Eastern,Eastern,white,white,pine,pine,"173,068","173,068","86,860","86,860","36,881",,"15,610","11,210","8,316","4,927","2,991","2,991","2,665","1,557","1,099",918,34,34
Eastern,Eastern,hemlock,hemlock,hemlock,,"52,726","52,726","24,400","24,400","13,091",,"6,293","3,754","1,821","1,390",574,574,567,266,192,280,98,98
Spruce,,and,fir,,,"1,574","1,574","1,302","1,302",--,,--,106,--,137,,29,--,--,--,--,--,--
Baldcypress,Baldcypress,Baldcypress,,,,,937,,--,--,,143,--,100,70,169,169,112,91,90,109,53,53
Pondcypress,Pondcypress,Pondcypress,,,,,176,,--,--,,--,32,--,26,,--,31,12,19,32,24,24
Cedars,,,,,,"231,894","231,894","155,250","155,250","51,970",,"17,579","4,576","1,580",564,246,246,129,--,--,--,--,--
