Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”,Name: “Table 1 of 1 on page 27 of 74”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,,,,,,,,,,,,
Table,Table,2--Area,2--Area,of,"timberland,","timberland,",by,county,and,ownership,"class,","Virginia,",1992--Continued,1992--Continued,1992--Continued,,,,,,
,,,,,,,,,,,,,,,Ownership,class,,,,,
,,,,,,All,,,,,,,,,,,,,,,
,,,,,ownerships,ownerships,ownerships,National,National,,Miscellaneous,Miscellaneous,,County,and,Forest,,Other,private,,
,,,,,,,,,,,,,State,,,,,,,,
,,,,,,,,forest,forest,,Federal,,,municipal,municipal,"a
industry",Farmer,Corporate,Corporate,Individual,Individual
,,,,,,,,,,,,,,Acres,Acres,,,,,,
Lancaster,Lancaster,Lancaster,,,,"52,501","52,501",,--,,--,,--,461,461,"7,695","8,869","8,869","8,869","26,607","26,607"
Lee,,,,,,"150,024","150,024","11,229","11,229",,--,,200,,30,"1,380","45,728","18,291","18,291","73,",166
Loudoun,Loudoun,,,,,"117,248","117,248",,--,,"5,979",,83,"1,785","1,785",--,"12,623","33,662","33,662","63,116","63,116"
Louisa,Louisa,,,,,"228,537","228,537",,--,,--,,244,551,551,"21,054","46,975","23,487","23,487","136,226","136,226"
Lunenburg,Lunenburg,Lunenburg,,,,"209,807","209,807",,--,,--,,--,600,600,"52,726","60,676","6,387","6,387","89,418","89,418"
Mad,is,on,,,,"88,259","88,259",,--,,--,,"7,485",200,200,345,"48,137","4,011","4,011","28,081","28,081"
Mathews,Mathews,,,,,"34,787","34,787",,--,,--,,--,,15,"7,122","2,765","2,765","2,765","22,120","22,120"
Mecklenburg,Mecklenburg,Mecklenburg,Mecklenburg,,,"263,242","263,242",,--,,"23,680",,237,337,337,"17,249","106,435","17,739","17,739","97,565","97,565"
Middlesex,Middlesex,Middlesex,,,,"49,882","49,882",,--,,--,,—-,,35,"4,774","12,019",,--,"33,054","33,054"
Montgomery,Montgomery,Montgomery,Montgomery,,,"145,281","145,281","18,865","18,865",,800,,"2,358",459,459,"3,766","20,701","10,351","10,351","87,981","87,981"
Nelson,Nelson,,,,,"231,868","231,868","15,507","15,507",,--,,976,111,111,"24,873","48,613","16,204","16,204","125,584","125,584"
New,Kent,Kent,,,,"98,183","98,183",,--,,--,,611,210,210,"24,112","18,313","7,848","7,848","47,089","47,089"
Newport,Newport,,News,,,"7,934","7,934",,--,,"3,467",,5,"2,228","2,228",--,--,"2,234","2,234",,--
Northampton,Northampton,Northampton,Northampton,,,"30,351","30,351",,--,,10,,125,,60,150,"5,001","2,501","2,501","22,504","22,504"
Northumberland,Northumberland,Northumberland,Northumberland,,,"67,886","67,886",,--,,--,,--,210,210,"11,069","26,956","8,087","8,087","21,564","21,564"
Nottoway,Nottoway,Nottoway,,,,"137,331","137,331",,--,,"14,683",,297,421,421,"24,959","50,594","8,432","8,432","37,945","37,945"
Orange,Orange,,,,,"125,448","125,448",,--,,--,,20,194,194,"12,523","45,789","10,567","10,567","56,355","56,355"
Page,Page,,,,,"81,722","81,722","26,803","26,803",,--,,90,246,246,348,"23,728",,--,"30,507","30,507"
Patrick,Patrick,,,,,"212,148","212,148",,--,,"1,948",,"5,279","4,254","4,254","18,664","52,001","7,429","7,429","122,573","122,573"
Pittsylvania,Pittsylvania,Pittsylvania,Pittsylvania,,,"405,446","405,446",,--,,--,,"1,715","1,382","1,382","47,457","230,302","26,428","26,428","98,162","98,162"
Powhatan,Powhatan,Powhatan,,,,"132,471","132,471",,--,,--,,"6,853",,70,"14,642","15,297",,--,"95,609","95,609"
Prince,Prince,Edward,Edward,,,"165,647","165,647",,--,,--,,"8,692",945,945,"15,182","56,331","12,071","12,071","72,426","72,426"
Prince,Prince,George,George,,,"117,291","117,291",,--,,"3,166",,176,185,185,"29,606","33,153","10,201","10,201","40,804","40,804"
Prince,Prince,William,William,,,"94,125","94,125",,--,,"12,674",,801,"4,291","4,291",--,"8,038","24,113","24,113","44,208","44,208"
Pulaski,Pulaski,,,,,"118,624","118,624","19,039","19,039",,"1,404",,10,"2,405","2,405","1,049","5,920","29,599","29,599","59,198","59,198"
Rappahannock,Rappahannock,Rappahannock,Rappahannock,,,"71,760","71,760",,--,,--,,--,,--,150,"30,690","3,410","3,410","37,510","37,510"
Richmond,Richmond,Richmond,,,,"76,279","76,279",,--,,--,,80,,30,"15,581","25,966","2,885","2,885","31,737","31,737"
Roanoke,Roanoke,,,,,"107,085","107,085","3,069","3,069",,53,,"7,628","5,882","5,882","1,892","24,600","9,840","9,840","54,121","54,121"
Rockbridge,Rockbridge,Rockbridge,Rockbridge,,,"241,345","241,345","54,576","54,576",,--,,"23,086","1,732","1,732","6,804","31,942","13,689","13,689","109,516","109,516"
Rockingham,Rockingham,Rockingham,Rockingham,,,"253,579","253,579","124,722","124,722",,--,,212,223,223,509,"18,950","28,425","28,425","80,538","80,538"
Russell,Russell,,,,,"174,359","174,359",,--,,,,"5,718",265,265,155,"62,482","48,063","48,063","57,676","57,676"
Scott,Scott,,,,,"235,375","235,375","32,580","32,580",,--,,--,174,174,510,"95,737","5,319","5,319","101,055","101,055"
Shenandoah,Shenandoah,Shenandoah,Shenandoah,,,"184,362","184,362","67,209","67,209",,--,,53,273,273,167,"17,948","17,948","17,948","80,764","80,764"
Smyth,Smyth,,,,,"172,279","172,279","67,941","67,941",,--,,"10,000",269,269,528,"51,448",,--,"42,093","42,093"
Southampton,Southampton,Southampton,Southampton,,,"240,492","240,492",,,,19,,"1,700",150,150,"62,012","113,141","11,038","11,038","52,432","52,432"
Spotsylvania,Spotsylvania,Spotsylvania,Spotsylvania,,,"169,148","169,148",,--,,--,,--,"2,522","2,522","28,381","25,135","12,568","12,568","100,542","100,542"
Stafford,Stafford,Stafford,,,,"118,956","118,956",,--,,"21,973",,120,"1,303","1,303",307,"6,569","26,277","26,277","62,407","62,407"
Suffolk,Suffolk,,,,,"111,147","111,147",,,,189,,167,"2,557","2,557","32,664","45,342","8,637","8,637","21,591","21,591"
Surry,Surry,,,,,"122,880","122,880",,,,--,,"1,697",,90,"35,292","51,481",,--,"34,320","34,320"
Sussex,Sussex,,,,,"250,649","250,649",,--,,,,133,190,190,"94,760","65,501","5,458","5,458","84,607","84,607"
Tazewell,Tazewell,Tazewell,,,,"207,871","207,871","3,191","3,191",,,,"4,641",176,176,"1,661","39,640","73,618","73,618","84,944","84,944"
Virginia,Virginia,Virginia,Beach,,,"36,581","36,581",,,,"1,877",,650,743,743,--,"3,506","7,013","7,013","22,792","22,792"
Warren,Warren,,,,,"64,311","64,311","5,117","5,117",,"1,738",,285,677,677,550,"18,648","9,324","9,324","27,972","27,972"
Washington,Washington,Washington,Washington,,,"189,398","189,398","19,481","19,481",,74,,"9,283",104,104,--,"51,760","5,176","5,176","103,520","103,520"
Westmoreland,Westmoreland,Westmoreland,Westmoreland,,,"74,248","74,248",,--,,--,,--,125,125,"5,163","15,324","5,108","5,108","48,528","48,528"
Wise,Wise,,,,,"178,114","178,114","42,830","42,830",,843,,15,"3,814","3,814",150,"8,997","71,979","71,979","49,486","49,486"
Wythe,Wythe,,,,,"140,921","140,921","50,449","50,449",,109,,150,"1,924","1,924","6,994","45,164",,--,"36,131","36,131"
York,York,,,,,"28,849","28,849",,--,,"14,173",,305,"6,612","6,612",--,--,"1,108","1,108","6,651","6,651"
,Total,,,,"15,447,550","15,447,550","15,447,550","1,468,126","1,468,126",,"221,279",,"211,364","82,517","82,517","1,554,763","3,870,366","1,549,535","1,549,535","6,489,600","6,489,600"
a,,,,,,,,,,,,,,,,,,,,,
,Includes,Includes,"17,366","17,366",acres,of,other,private,land,under,long-term,lease.,,,,,,,,,
