Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”,Name: “Table 1 of 1 on page 52 of 74”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,,,,,,,,,
Table,24—Area,of,of,timberland,regenerated,regenerated,regenerated,regenerated,"annually,",by,type,of,regeneration,regeneration,and,broad,broad
management,management,"class,","class,","Virginia,",1986,to,,1992,,,,,,,,,
,,,,,,,,,,,Broad,,management,management,class a,,
,Type,,,,,,,,,,,,,,,,
,,,,,,Al,1,,,,,,,,,,
,of,,,,,,,,,,,,,,,,
,,,,,classes,classes,classes,classes,Pine,,Natural,,Oak-,,Upland,,Lowland
,regeneration,regeneration,regeneration,,,,,,,,,,,,,,
,,,,,,,,,plantation,,pine,,pine,,hardwood,hardwood,hardwood
,,,,,,,,,,,,Acres,,,,,
Artificial,Artificial,regeneration,regeneration,regeneration,,,,,,,,,,,,,
following,following,harvest,harvest,harvest,"46,659","46,659","46,659","46,659","28,649",,--,,"14,126","14,126","3,884","3,884",--
Natural,regeneration,regeneration,regeneration,regeneration,,,,,,,,,,,,,
following,following,harvest,harvest,harvest,"76,703","76,703","76,703","76,703",--,,"5,258",,"16,395","16,395","52,567",,"2,483"
Other,artificial,artificial,,regener-,,,,,,,,,,,,,
ation,on,forest,forest,land,"24,771","24,771","24,771","24,771","17,006",,--,,"6,543","6,543","1,222","1,222",--
Other,natural,regener-,regener-,regener-,,,,,,,,,,,,,
ation,on,forest,forest,land,"26,475","26,475","26,475","26,475",--,,"5,737",,"4,222","4,222","14,882","14,882","1,634"
Artificial,Artificial,regeneration,regeneration,regeneration,,,,,,,,,,,,,
on,nonforest,,land,land,,"6,267","6,267","6,267","5,748",,--,,519,519,,--,--
Natural,reversion,reversion,reversion,of,,,,,,,,,,,,,
nonforest,nonforest,land,,,"20,308","20,308","20,308","20,308",--,,"6,042",,"5,257","5,257","8,563","8,563",446
Total,,,,,"201,183","201,183","201,183","201,183","51,403",,"17,037",,"47,062","47,062","81,118",,"4,563"
a,,,,,,,,,,,,,,,,,
Classification,Classification,Classification,after,after,regeneration.,regeneration.,,,,,,,,,,,
Table,25—Area,,of,"timberland,",by,treatment,treatment,treatment,opportunity,opportunity,and,broad,management,management,management,"classes,","classes,"
"Virginia,","Virginia,",1992,,,,,,,,,,,,,,,
,,,,,,,,,,Broad,Broad,management,management,class,class,,
,Treatment,Treatment,Treatment,,,,,,,,,,,,,,
,,,,,All,,,,,,,,,,,,
,opportunity,opportunity,opportunity,,,,,,,,,,,,,,
,,,,,classes,,,Pine,,Natural,,,Oak-,,Upland,,Lowland
,class,class,,,,,,,,,,,,,,,
,,,,,,,plantation,plantation,plantation,pine,,,pine,,hardwood,,hardwood
,,,,,,,,,,,Acres,,,,,,
Salvage,,,,,"78,761","78,761",,"2,884","2,884","22,459","22,459",,"9,733",,"39,304",,"4,381"
Harvest,,,,,"1,386,618","1,386,618",,,--,"128,733","128,733","178,163","178,163",,"976,988",,"102,734"
Commercial,Commercial,thinning,thinning,thinning,"718,075","718,075",,"373,706","373,706","275,227","275,227",,"28,023",,"41,119",,--
Other’,stand,improvement,improvement,improvement,"1,135,254","1,135,254",,"130,268","130,268","137,500","137,500","197,407","197,407",,"630,536",,"39,543"
Stand,conversion,conversion,conversion,,"62,489","62,489",,,--,"11,192","11,192",,"7,018",,"44,279",,--
Regeneration,Regeneration,,,,"1,264,965","1,264,965",,"7,131","7,131","69,651","69,651","140,625","140,625",,"893,306",,"154,252"
Stands,in,relatively,relatively,relatively,,,,,,,,,,,,,
good,condition,condition,condition,,"7,938,499","7,938,499",,"953,255","953,255","1,105,953","1,105,953","1,162,630","1,162,630","4,506,323","4,506,323",,"210,338"
Adverse,sites,,,,"2,862,889","2,862,889",,"5,080","5,080","129,712","129,712","217,608","217,608",,"2,386,716",,"123,773"
All,classes,,,,"15,447,550","15,447,550","1,472,324","1,472,324","1,472,324","1,880,427","1,880,427","1,941,207","1,941,207","9,518,571","9,518,571",,"635,021"
aAreas,where,management,management,management,opportunities,opportunities,opportunities,are,severely,limited,limited,because,because,of,steep,slopes,or
poor,drainage.,drainage.,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
