Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”,Name: “Table 1 of 1 on page 35 of 74”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,,,
Table,6--Area,6--Area,of,"timberland,",by,county,and,stocking,class,class,of,growing-stock,
"trees,","Virginia,","Virginia,","Virginia,",1992--Continued,1992--Continued,,,,,,,,
,,,,,,,Stocking,Stocking,class,(percent) a,(percent) a,(percent) a,
,,,,All,,,,,,,,,
,County,County,,,,,,,,,,,
,,,,classes,,,,,,,,,
,,,,,>130,>130,100-130,,60-99,,,16.7-59,"
    "
,,,,,,,,Acres,,,,,
Lancaster,Lancaster,Lancaster,,"52,501","7,000","7,000","14,460",,"22,172","22,172",,"8,869",--
Lee,,,,"150,024","9,145","9,145","19,671",,"80,052","80,052",,"41,156",--
Loudoun,,,,"117,248",,--,"27,029",,"64,973","64,973",,"25,246",--
Louisa,,,,"228,537","3,828","3,828","115,698",,"104,070","104,070",,"4,941",--
Lunenburg,Lunenburg,Lunenburg,,"209,807","18,369","18,369","81,443",,"82,043","82,043",,"20,364","7,588"
Madison,Madison,,,"88,259","2,495","2,495","32,438",,"41,292","41,292",,"12,034",--
Mathews,,,,"34,787","6,326","6,326","11,856",,"8,295","8,295",,"8,310",--
Mecklenburg,Mecklenburg,Mecklenburg,,"263,242","14,293","14,293","131,422",,"90,918","90,918",,"17,740","8,869"
Middlesex,Middlesex,Middlesex,,"49,882","1,591","1,591","27,258",,"21,033","21,033",,-—,--
Montgomery,Montgomery,Montgomery,,"145,281","5,634","5,634","56,782",,"43,626","43,626",,"39,239",--
Nelson,,,,"231,868","3,109","3,109","64,353",,"125,731","125,731",,"34,624","4,051"
New,Kent,,,"98,183","9,616","9,616","40,161",,"37,941","37,941",,"10,465",--
Newport,,News,,"7,934","3,961","3,961","1,117",,,5,,"2,851",--
Northampton,Northampton,Northampton,,"30,351","2,511","2,511","12,652",,"15,128","15,128",,60,--
Northumberland,Northumberland,Northumberland,,"67,886",,--,"20,072",,"39,727","39,727",,"5,392","2,695"
Nottoway,Nottoway,,,"137,331","10,530","10,530","59,009",,"38,279","38,279",,"25,297","4,216"
Orange,,,,"125,448","3,522","3,522","33,004",,"64,268","64,268",,"24,654",--
Page,,,,"81,722",,--,"32,568",,"21,237","21,237",,"27,917",--
Patrick,,,,"212,148","12,735","12,735","40,349",,"125,735","125,735",,"33,329",--
Pittsylvania,Pittsylvania,Pittsylvania,,"405,446","31,973","31,973","211,367",,"135,678","135,678",,"26,428",--
Powhatan,Powhatan,,,"132,471",,--,"72,249",,"53,056","53,056",,"7,166",--
Prince,Edward,Edward,,"165,647","8,048","8,048","75,617",,"65,888","65,888",,"12,071","4,023"
Prince,George,George,,"117,291","7,792","7,792","60,403",,"49,096","49,096",,--,--
Prince,William,William,William,"94,125",,--,"29,600",,"52,468","52,468",,"12,057",--
Pulaski,,,,"118,624",,--,"20,164",,"69,766","69,766",,"22,774","5,920"
Rappahannock,Rappahannock,Rappahannock,,"71,760","3,410","3,410","3,560",,"44,330","44,330",,"13,640","6,820"
Richmond,Richmond,,,"76,279","12,118","12,118","17,887",,"38,773","38,773",,"7,501",--
Roanoke,Roanoke,,,"107,085",,--,"19,681",,"70,752","70,752",,"16,652",--
Rockbridge,Rockbridge,Rockbridge,,"241,345","4,548","4,548","38,769",,"150,557","150,557",,"47,471",--
Rockingham,Rockingham,Rockingham,,"253,579","4,157","4,157","39,737",,"138,886","138,886",,"66,062","4,737"
Russell,,,,"174,359","4,806","4,806","24,187",,"116,529","116,529",,"19,225","9,612"
Scott,,,,"235,375",,--,"81,362",,"111,463","111,463",,"42,550",--
Shenandoah,Shenandoah,Shenandoah,,"184,362","12,927","12,927","41,723",,"90,123","90,123",,"39,589",--
Smyth,,,,"172,279","4,677","4,677","45,297",,"89,121","89,121",,"23,654","9,530"
Southampton,Southampton,Southampton,,"240,492","21,171","21,171","120,307",,"90,585","90,585",,"5,519","2,910"
Spotsylvania,Spotsylvania,Spotsylvania,,"169,148","23,064","23,064","94,327",,"47,568","47,568",,"4,189",--
Stafford,Stafford,,,"118,956","18,631","18,631","56,202",,"40,839","40,839",,"3,284",--
Suffolk,,,,"111,147","4,507","4,507","43,726",,"40,924","40,924",,"19,433","2,557"
Surry,,,,"122,880","10,278","10,278","45,716",,"44,790","44,790",,"17,160","4,936"
Sussex,,,,"250,649","16,334","16,334","128,183",,"89,845","89,845",,"8,165","8,122"
Tazewell,Tazewell,,,"207,871","16,989","16,989","59,820",,"97,084","97,084",,"33,978",--
Virginia,Virginia,Beach,Beach,"36,581","4,156","4,156","15,779",,"14,892","14,892",,"1,754",--
Warren,,,,"64,311",,--,"15,276",,"25,048","25,048",,"19,325","4,662"
Washington,Washington,Washington,,"189,398","13,447","13,447","47,138",,"92,477","92,477",,"36,336",--
Westmoreland,Westmoreland,Westmoreland,,"74,248","5,108","5,108","36,644",,"27,388","27,388",,"5,108",--
Wise,,,,"178,114",,--,"31,209",,"101,076","101,076",,"36,831","8,998"
Wythe,,,,"140,921","4,204","4,204","31,305",,"72,390","72,390",,"33,022",--
York,,,,"28,849","6,849","6,849","13,954",,"4,740","4,740",,"3,306",-—
Total,,,,"15,447,550","849,365","849,365","5,396,605","6,930,673","6,930,673","6,930,673","2,037,749","2,037,749","233,158"
aSee,stocking,stocking,standards,on,page,16.,,,,,,,
,,,,,,,,,,,,,29
