Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”,Name: “Table 1 of 1 on page 26 of 74”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,,,,,,,,
Table,2--Area,2--Area,of,"timberland,",by,county,and,ownership,"class,","Virginia,",1992,,,,,,,
,,,,,,,,,,,,,Ownership,class,,,,
,,,,All,,,,,,,,,,,,,,
,,,,ownerships,ownerships,National,National,National,Miscellaneous,,,County,and,Forest,,Other,private,
,,,,,,,,,,State,State,,,a,,,,
,,,,,,fores,fores,t,Federal,,,municipal,municipal,industry,Farmer,Corporate,Corporate,Individual
,,,,,,,,,,,,Acres,Acres,,,,,
Accomack,Accomack,,,"94,507","94,507",,--,--,"1,412",,185,236,236,"9,315","26,890","13,445","13,445","43,024"
Albemarle,Albemarle,Albemarle,,"278,205","278,205",,--,--,35,,849,"2,152","2,152","10,127","83,299","49,222","49,222","132,521"
Alleghany,Alleghany,Alleghany,,"249,199","249,199","140,535","140,535","140,535","2,000",,125,215,215,"13,427","13,271","17,695","17,695","61,931"
Amelia,Amelia,,,"169,355","169,355",,--,--,--,"1,270","1,270",518,518,"42,332","45,540","3,795","3,795","75,900"
Amherst,Amherst,,,"224,549","224,549","57,589","57,589","57,589",--,,50,"1,075","1,075","16,326","47,571","16,990","16,990","84,948"
Appomattox,Appomattox,Appomattox,,"151,559","151,559",,--,--,--,"8,768","8,768",318,318,"37,709","29,334","8,381","8,381","67,049"
Arlington,Arlington,Arlington,,--,--,,.-,.-,--,,--,,--,--,--,,--,--
Augusta,Augusta,,,"291,118","291,118","148,670","148,670","148,670",--,"11,969","11,969",420,420,--,"35,016","20,009","20,009","75,034"
Bath,,,,"287,742","287,742","156,860","156,860","156,860",--,"9,735","9,735",,94,440,"38,907","31,126","31,126","50,580"
Bedford,Bedford,,,"276,133","276,133","13,298","13,298","13,298",--,"1,540","1,540","2,104","2,104","22,989","97,069","25,885","25,885","113,248"
Bland,,,,"173,503","173,503","65,730","65,730","65,730",--,,660,,--,"4,473","66,414","6,038","6,038","30,188"
Botetourt,Botetourt,Botetourt,,"250,882","250,882","76,065","76,065","76,065",--,,10,"6,899","6,899","39,216","39,939","22,188","22,188","66,565"
Brunswick,Brunswick,Brunswick,,"290,950","290,950",,--,--,"5,326",,644,380,380,"80,335","52,376","13,094","13,094","138,795"
Buchanan,Buchanan,,,"290,585","290,585",,--,--,--,,46,204,204,"3,452","14,839","79,140","79,140","192,904"
Buckingham,Buckingham,Buckingham,,"300,672","300,672",,--,--,--,"12,493","12,493",126,126,"79,168","30,383","18,990","18,990","159,512"
Campbell,Campbell,,,"205,236","205,236",,--,--,--,,25,691,691,"24,523","57,446","15,319","15,319","107,232"
Caroline,Caroline,,,"261,702","261,702",,--,--,"55,565",,879,276,276,"20,144","52,811","15,843","15,843","116,184"
Carroll,Carroll,,,"182,605","182,605",,"4,038","4,038",--,"1,346","1,346",470,470,"7,437","96,751","4,838","4,838","67,725"
Charles,Charles,City,,"84,737","84,737",,--,--,--,"4,750","4,750",261,261,"15,438","5,844","5,844","5,844","52,600"
