Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,,,,,
Table,3--Area,3--Area,of,"timberland,","timberland,",by,county,and,forest-type,"group,","Virginia,",1992--Continued,,,,,
,,,,,,,,,,,,Forest-type,group,,,,
,,,,All,type,,,,,,,,,,,,
,County,County,,groups,groups,,White,pine-,Spruce-,Longleaf-,Longleaf-,Loblolly-,Oak-,Oak-,Oak-gum-,Elm-ash-,Maple-beech-
,,,,,,,hemlock,hemlock,fir,slash,slash,shortleaf,pine,hickory,cypress,cottonwood,birch
,,,,,,,,,,,,Acres,,,,,
Lancaster,Lancaster,Lancaster,,"52,501","52,501",,,--,--,,--,"13,999","7,000","31,041",461,--,--
Lee,,,,"150,024","150,024",,,--,--,,--,"9,145",--,"140,879",--,--,--
Loudoun,,,,"117,248","117,248",,,--,--,,--,"16,832","5,993","90,216",--,"4,207",--
Louisa,,,,"228,537","228,537",,,,--,,--,"49,066","16,558","157,972",--,"4,941",--
Lunenburg,Lunenburg,Lunenburg,,"209,807","209,807",,,,--,,--,"101,612","10,781","80,246","10,780","6,388",--
Madison,,,,"88,259","88,259",,,--,--,,--,"8,368","16,246","63,645",--,--,--
Mathews,,,,"34,787","34,787",,,--,--,,--,"20,947","5,545","5,530","2,765",--,--
Mecklenburg,Mecklenburg,Mecklenburg,,"263,242","263,242",,,--,--,,--,"66,038","29,572","163,197",--,"4,435",--
Middlesex,Middlesex,Middlesex,,"49,882","49,882",,,--,--,,--,"13,788","18,030","18,029",35,--,--
Montgomery,Montgomery,Montgomery,,"145,281","145,281",,"10,809","10,809",--,,--,"25,730","7,533","100,409",--,800,--
Nelson,,,,"231,868","231,868",,,--,--,,--,"31,895","12,153","183,769",--,"4,051",--
New,Kent,,,"98,183","98,183",,,--,--,,--,"31,040","20,290","42,045","4,808",--,--
Newport,,News,,,"7,934",,,--,--,,--,"2,228","1,117","4,589",--,--,--
Northampton,Northampton,Northampton,,"30,351","30,351",,,--,--,,--,"12,502","7,712","7,626","2,511",--,--
Northumberland,Northumberland,Northumberland,,"67,886","67,886",,,--,--,,--,"15,467","5,391","41,428","5,600",--,--
Nottoway,Nottoway,,,"137,331","137,331",,,--,--,,--,"54,813","24,477","45,393","8,432","4,216",--
Orange,,,,"125,448","125,448",,,--,--,,--,"25,961","21,134","71,309",--,"7,044",--
Page,,,,"81,722","81,722",,,,--,,--,"10,170","3,390","68,162",--,--,--
Patrick,,,,"212,148","212,148",,,974,--,,--,"16,450","20,191","170,818",--,"3,715",--
Pittsylvania,Pittsylvania,Pittsylvania,,"405,446","405,446",,,--,--,,--,"96,610","45,303","244,655","3,775","15,103",--
Powhatan,Powhatan,,,"132,471","132,471",,,--,--,,--,"26,770","9,935","88,118","7,648",--,--
Prince,Edward,Edward,,"165,647","165,647",,,--,--,,--,"53,990","41,275","57,837","4,024","8,521",--
Prince,George,George,,"117,291","117,291",,,--,--,,--,"47,649","17,852","44,139","5,101","2,550",--
Prince,William,William,William,"94,125","94,125",,,--,--,,--,"19,244","4,019","66,843","4,019",--,--
Pulaski,,,,"118,624","118,624",,,--,--,,--,"5,920","12,898","98,402",--,"1,404",--
Rappahannock,Rappahannock,Rappahannock,,"71,760","71,760",,,--,--,,--,150,"6,820","64,790",--,--,--
Richmond,Richmond,,,"76,279","76,279",,,--,--,,--,"23,112","2,885","44,512","2,885","2,885",--
Roanoke,,,,"107,085","107,085",,,--,--,,--,"19,681","25,603","61,801",--,--,--
Rockbridge,Rockbridge,Rockbridge,,"241,345","241,345",,,--,--,,--,"18,222","36,531","177,466",--,"4,563","4,563"
Rockingham,Rockingham,Rockingham,,"253,579","253,579",,"4,157","4,157",--,,--,"14,212","32,002","189,576",--,"9,475","4,157"
Russell,,,,"174,359","174,359",,,--,--,,--,"14,419",--,"145,521",--,"4,807","9,612"
Scott,,,,"235,375","235,375",,,--,--,,--,"5,319","11,148","218,908",- -,--,--
Shenandoah,Shenandoah,Shenandoah,,"184,362","184,362",,"8,440","8,440",--,,--,"4,487","22,434","144,514",--,"4,487",--
Smyth,,,,"172,279","172,279",,,--,--,,--,"7,177","17,235","143,190",--,--,"4,677"
Southampton,Southampton,Southampton,,"240,492","240,492",,,--,--,,--,"107,723","34,024","43,690","47,239","7,816",--
Spotsylvania,Spotsylvania,Spotsylvania,,"169,148","169,148",,,--,--,,--,"54,554","20,947","72,701","16,757","4,189",--
Stafford,Stafford,,,"118,956","118,956",,,--,--,,--,"17,862","13,138","87,956",--,--,--
Suffolk,,,,"111,147","111,147",,,--,--,,--,"43,585","14,576","33,365","15,302","4,319",--
Surry,,,,"122,880","122,880",,,--,--,,--,"44,554","13,516","52,078","12,732",--,--
Sussex,,,,"250,649","250,649",,,--,--,,--,"133,425","40,850","43,622","30,045","2,707",--
Tazewell,Tazewell,,,"207,871","207,871",,,--,--,,--,--,--,"190,882",--,--,"16,989"
Virginia,Virginia,Beach,Beach,"36,581","36,581",,,--,--,,--,"11,292","5,632","8,766","10,891",--,--
Warren,,,,"64,311","64,311",,,--,--,,--,--,"4,662","50,325",--,"9,324",--
Washington,Washington,Washington,,"189,398","189,398","189,398",,--,--,,--,--,"15,528","168,694",--,--,"5,176"
Westmoreland,Westmoreland,Westmoreland,,"74,248","74,248","74,248",,--,--,,--,"23,874","7,662","42,712",--,--,--
Wise,,,,"178,114","178,114","178,114","4,499","4,499",--,,--,--,--,"159,275",--,843,"13,497"
Wythe,,,,"140,921","140,921",,"4,517","4,517",--,,--,"4,204","22,154","109,937",--,109,--
York,,,,"28,849","28,849","28,849",,--,--,,--,"7,086","5,524","15,934",305,--,--
Total,,,,"15,447,550","15,447,550","15,447,550","216,920","216,920",--,,--,"3,135,831","1,941,207","9,377,068","392,257","242,764","141,503"
