Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,,,,,
Table,Table,,6--Area,of,"timberland,",by,county,and,stocking,class,of,growing-stock,growing-stock
"trees,","trees,","trees,","Virginia,","Virginia,",1992,,,,,,,,
,,,,,,,,Stocking,Stocking,class,(percent) a,(percent) a,
,,,,,All,,,,,,,,
,,County,County,,,,,,,,,,
,,,,,classes,,,,,,,,
,,,,,,>130,>130,100-130,100-130,60-99,,16.7-59,"
    "
,,,,,,,,,Acres,,,,
Accomack,Accomack,Accomack,,,"94,507","13,445","13,445","46,730","46,730","26,265",,"8,067",--
Albemarle,Albemarle,Albemarle,Albemarle,,"278,205","8,885","8,885","81,639","81,639","132,521",,"47,587","7,573"
Alleghany,Alleghany,Alleghany,Alleghany,,"249,199",,--,"54,551","54,551","158,842",,"32,449","3,357"
Amelia,Amelia,Amelia,,,"169,355","12,474","12,474","73,295","73,295","66,440",,"9,556","7,590"
Amherst,Amherst,Amherst,,,"224,549","4,081","4,081","77,438","77,438","97,237",,"31,518","14,275"
Appomattox,Appomattox,Appomattox,Appomattox,,"151,559","4,191","4,191","62,098","62,098","69,271",,"15,999",--
Arlington,Arlington,Arlington,Arlington,,--,,--,,--,--,,--,--
Augusta,Augusta,Augusta,,,"291,118","3,626","3,626","59,896","59,896","133,640",,"78,949","15,007"
Bath,Bath,,,,"287,742","8,372","8,372","63,325","63,325","179,754",,"36,291",--
Bedford,Bedford,Bedford,,,"276,133","16,180","16,180","81,241","81,241","142,525",,"36,187",--
B,1,and,,,"173,503","6,038","6,038","28,507","28,507","112,571",,"26,387",--
Botetourt,Botetourt,Botetourt,Botetourt,,"250,882","8,911","8,911","63,742","63,742","120,954",,"57,275",--
Brunswick,Brunswick,Brunswick,Brunswick,,"290,950","38,802","38,802","143,521","143,521","81,344",,"24,664","2,619"
Buchanan,Buchanan,Buchanan,,,"290,585","9,893","9,893","92,484","92,484","128,648",,"54,614","4,946"
Buckingham,Buckingham,Buckingham,Buckingham,,"300,672","15,792","15,792","131,230","131,230","136,656",,"13,196","3,798"
Campbell,Campbell,Campbell,,,"205,236","16,856","16,856","70,080","70,080","95,321",,"22,979",--
Caroline,Caroline,Caroline,,,"261,702","13,831","13,831","106,885","106,885","122,852",,"15,494","2,640"
