Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,,,,,,,,
Table,11--Area,of,"timberland,","timberland,","timberland,",by,ownership,ownership,and,stocking,classes,classes,of,growing-stock,growing-stock,"trees,"
"Virginia,",1992,,,,,,,,,,,,,,,
,,,,,,,,,,,Stocking,Stocking,class,(percent) a,(percent) a,
,Ownership,class,class,class,,All,,,,,,,,,,
,,,,,,classes,,,,,,,,,,
,,,,,,,,>130,,100-130,,,60-99,16.7-59,16.7-59,"
    "
,,,,,,,,,,,Acres,Acres,,,,
National,forest,forest,,,"1,468,126","1,468,126","1,468,126","57,802","57,802","390,162","390,162",,"832,250","183,059","183,059","4,853"
Other,public,,,,,"515,160","515,160","43,798","43,798","180,229","180,229",,"233,685","53,638","53,638","3,810"
Forest,industry,industry,,,"1,537,397","1,537,397","1,537,397","152,715","152,715","779,260","779,260",,"471,118","98,092","98,092","36,212"
Forest,industry-leased,industry-leased,industry-leased,industry-leased,,"17,366","17,366","2,003","2,003",,"15,363",,--,,--,--
Other,private,,,,"11,909,501","11,909,501","11,909,501","593,047","593,047","4,031,591","4,031,591","5,393,620","5,393,620","1,702,960","1,702,960","188,283"
All,ownerships,ownerships,,,"15,447,550","15,447,550","15,447,550","849,365","849,365","5,396,605","5,396,605","6,930,673","6,930,673","2,037,749","2,037,749","233,158"
aSee,stocking,standards,standards,standards,on,page,16.,,,,,,,,,
Table,12--Area,12--Area,of,"timberland,","timberland,","timberland,",by,forest,type,and,stand-size,stand-size,"class,","Virginia,","Virginia,",1992
,,,,,,,,,Stand-size,Stand-size,class,class,,,,
,,,,,,All,,,,,,,,,Nonstocked,
,Forest,type,,,,,,,,,,,,,,
,,,,,,stands,stands,,,,,,Sapling-,Sapling-,areas,
,,,,,,,,Sawtimber,Sawtimber,,Poletimber,Poletimber,,,,
,,,,,,,,,,,,,seedling,seedling,,
,,,,,,,,,,,Acres,Acres,,,,
Softwood,,types,,,,,,,,,,,,,,
White,pine-hemlock,pine-hemlock,pine-hemlock,pine-hemlock,,"216,920","216,920","149,168","149,168",,"27,200","27,200","36,040","36,040","4,512",
Spruce-fir,Spruce-fir,,,,,,--,,--,,,--,,--,,--
