Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,Table,37—Volume,37—Volume,37—Volume,of,sawtimber,sawtimber,"on timberland,","on timberland,","on timberland,",by,"species,","species,",size,size,"class,","class,",and,tree,,"grade,","grade,","Virginia,","Virginia,",1992,,,,,,,,,,
,,,,,,,,,,,,All,size,,classes,classes,,,,,,,,,Trees,15.0,15.0,inches,d.b.h.,d.b.h.,and,,larger,,
,,Species,Species,,,,,,,,,,,,Tree,grade,,,,,,,,,,,,,Tree,grade,grade,,,,
,,,,,,,,All,,,,,,,,,,,,,,,,Al1,,,,,,,,,,,
,,,,,,,,grades,grades,,,,,,,,,,,,,,grades,grades,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,,,,1,,,2,,,3,,4,
,,,,,,,,,,,,,,,,,,,Thousand,Thousand,,board,feet,feet,,,,,,,,,,,
Softwood,Softwood,Softwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yellow,Yellow,pines,pines,,,"15,961,346","15,961,346","15,961,346","2,987,085","2,987,085","2,987,085","4,047,310","4,047,310","4,047,310","8,926,951","8,926,951",,,,--,,"4,495,847","4,495,847",,"1,816,380","1,816,380","1,188,888","1,188,888","1,188,888","1,490,579","1,490,579","1,490,579",,--
,Eastern,Eastern,white,white,pine b,pine b,"2,814,877","2,814,877","2,814,877","282,589","282,589","282,589",,"840,041","840,041","1,673,375","1,673,375",,"18,872","18,872",,,"1,794,416","1,794,416",,"252,879","252,879","612,580","612,580","612,580","924,235","924,235","924,235","4,722","4,722"
,Spruce,Spruce,and,fir b,,,,"14,254","14,254",,,--,,,--,"14,254","14,254",,,,--,,,--,,,—,,,--,,,--,,--
,Cypress,Cypress,c,,,,,"268,387","268,387",,"98,099","98,099",,"88,080","88,080","64,452","64,452",,"17,756","17,756",,,"236,056","236,056",,"98,099","98,099","73,995","73,995","73,995","48,146","48,146","48,146","15,816","15,816"
,Other,Other,eastern,eastern,softwoods,softwoods,,"821,723","821,723",,"42,067","42,067",,"160,888","160,888",5599444,5599444,,"59,324","59,324","59,324",,"509,562","509,562",,"42,067","42,067","150,778","150,778","150,778","286,664","286,664","286,664","30,053","30,053"
,Total,Total,,,,,"19,880,587","19,880,587","19,880,587","3,409,840","3,409,840","3,409,840","5,136,319","5,136,319","5,136,319","11,238,476","11,238,476",,"95,952","95,952",,,"7,035,881","7,035,881",,"2,209,425","2,209,425","2,026,241","2,026,241","2,026,241","2,749,624","2,749,624","2,749,624","50,591","50,591"
Hardwood c,Hardwood c,Hardwood c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Select,Select,white,and,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
