Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”,Name: “Table 1 of 1 on page 38 of 74”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,,,,,,,,,,,,,,
Table,8--Average,8--Average,net,annual,growth,Of,growing,stock,and,sawtimber,on,"timberland,",by,county,and,species,"group,","Virginia,",1986-1991,
,,,,,,,,Growing,stock,,,,,,,,,Sawtimber,,
,County,County,,,,,,,,,,,,,,,,,,
,,,,All,,,,Other,,soft,,Hard,,All,,,,Other,soft,Hard
,,,,species,,,,softwood,,hardwood,,hardwood,,species,species,,,softwood,hardwood,hardwood
,,,,,,,Thousand,cubic,feet,,,,,,,,Thousand,board,feet,
Accomack,Accomack,,,"5,698",,"3,343","3,343",--,,"1,564",,791,,"25,821","25,821","17,667",,--,"4,832","3,322"
Albemarle,Albemarle,Albemarle,,"15,462",,"4,321","4,321",604,,"3,866",,"6,671",,"75,809","75,809","18,386",,"2,612","20,069","34,742"
Alleghany,Alleghany,Alleghany,,"7,563",,887,887,581,,961,,"5,134",,"25,779","25,779","3,724",,"2,429","2,500","17,126"
Amelia,Amelia,,,"12,870",,"7,712","7,712",62,,"2,005",,"3,091",,"51,647","51,647","29,135",,114,"8,620","13,778"
Amherst,Amherst,,,"11,170",,"2,420","2,420",780,,"3,555",,"4,415",,"52,944","52,944","12,415",,"3,689","17,443","19,397"
Appomattox,Appomattox,Appomattox,,"9,325",,"5,026","5,026",99,,"1,172",,"3,028",,"38,545","38,545","17,952",,--,"7,598","12,995"
Arlington,Arlington,Arlington,,___,,,- -,--,,--,,--,,--,--,--,,--,--,--
Augusta,Augusta,,,"7,948",,651,651,805,,826,,"5,666",,"33,630","33,630","3,892",,"3,544","2,210","23,984"
Bath,,,,"9,596",,544,544,596,,"1,528",,"6,928",,"37,229","37,229","2,718",,"4,420","3,568","26,523"
Bedford,Bedford,,,"16,781",,"3,921","3,921",333,,"5,463",,"7,064",,"71,452","71,452","13,920",,"1,499","27,909","28,124"
Bland,,,,"7,196",,116,116,"1,025",,"2,599",,"3,456",,"27,684","27,684",771,,"5,609","6,712","14,592"
Botetourt,Botetourt,Botetourt,,"8,655",,534,534,485,,"2,836",,"4,800",,"41,372","41,372","3,730",,"3,511","12,411","21,720"
Brunswick,Brunswick,Brunswick,,"22,068",,"14,136","14,136",316,,"3,210",,"4,406",,"75,238","75,238","50,891",,94,"7,507","16,746"
Buchanan,Buchanan,,,"10,814",,,--,409,,"4,444",,"5,961",,"47,322","47,322",--,,"2,781","18,916","25,625"
Buckingham,Buckingham,Buckingham,,"19,793",,"10,259","10,259",74,,"2,924",,"6,536",,"52,057","52,057","24,681",,163,"10,698","16,515"
Campbell,Campbell,,,"13,863",,"6,234","6,234",--,,"2,900",,"4,729",,"48,840","48,840","19,383",,--,"11,951","17,506"
Caroline,Caroline,,,"17,535",,"8,255","8,255",6,,"5,101",,"4,173",,"61,496","61,496","24,642",,--,"20,931","15,923"
Carroll,Carroll,,,"7,377",,342,342,"3,980",,"1,047",,"2,008",,"48,453","48,453","3,906",,"26,961","3,901","13,685"
Charles,Charles,City,,"6,676",,"3,486","3,486",166,,"1,266",,"1,758",,"26,630","26,630","14,767",,995,"4,830","6,038"
Charlotte,Charlotte,Charlotte,,"14,394",,"8,817","8,817",122,,"2,510",,"2,945",,"42,450","42,450","21,469",,278,"9,008","11,695"
Chesapeake,Chesapeake,Chesapeake,,"3,797",,930,930,14,,"2,011",,842,,"17,625","17,625","5,283",,88,"7,997","4,257"
Chesterfield,Chesterfield,Chesterfield,,"13,567",,"6,310","6,310",16,,"2,464",,"4,777",,"50,530","50,530","25,305",,--,"7,722","17,503"
Clarke,Clarke,,,"1,990",,,--,--,,"1,087",,903,,"9,272","9,272",--,,--,"5,477","3,795"
Craig,,,,"5,604",,702,702,447,,314,,"4,141",,"22,594","22,594","5,409",,"3,523",432,"13,230"
Culpeper,Culpeper,,,"4,981",,"1,071","1,071",45,,"1,864",,"2,001",,"24,820","24,820","6,183",,28,"7,200","11,409"
Cumberland,Cumberland,Cumberland,,"10,217",,"5,380","5,380",5,,"1,974",,"2,858",,"23,624","23,624","9,521",,--,"7,025","7,078"
Dickenson,Dickenson,Dickenson,,"5,165",,306,306,299,,"1,855",,"2,705",,"25,411","25,411","1,690",,"1,265","8,787","13,669"
Dinwiddie,Dinwiddie,Dinwiddie,,"17,388",,"10,029","10,029",42,,"2,749",,"4,568",,"57,664","57,664","32,453",,68,"8,509","16,634"
Essex,,,,"6,046",,"2,175","2,175",83,,"1,704",,"2,084",,"28,570","28,570","9,403",,--,"8,168","10,999"
