Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”,Name: “Table 1 of 1 on page 30 of 74”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,,,
Table,4--Area,4--Area,of,"timberland,",by,county,and,stand-size,"class,",
"Virginia,","Virginia,",1992,,,,,,,,
,,,,,,Stand-size,Stand-size,class,,
,,,,All,,,,,,Nonstocked
,County,County,,,,,,,,
,,,,stands,,,,,Sapling-,areas
,,,,,Sawtimber,Sawtimber,Poletimber,Poletimber,,
,,,,,,,,,seedling,
,,,,,,,Acres,,,
Accomack,Accomack,,,"94,507","53,339","53,339",,"23,065","18,103",--
Albemarle,Albemarle,,,"278,205","171,264","171,264",,"74,496","32,445",--
Alleghany,Alleghany,,,"249,199","138,726","138,726",,"90,274","20,199",--
Amelia,Amelia,,,"169,355","58,892","58,892",,"56,144","46,729","7,590"
Amherst,Amherst,,,"224,549","139,892","139,892",,"38,714","42,545","3,398"
Appomattox,Appomattox,Appomattox,,"151,559","43,558","43,558",,"52,191","55,810",--
Arlington,Arlington,,,--,,--,,--,--,--
Augusta,Augusta,,,"291,118","131,763","131,763","100,788","100,788","58,567",--
Bath,,,,"287,742","170,791","170,791",,"92,331","24,620",--
Bedford,Bedford,,,"276,133","155,161","155,161",,"70,650","50,322",--
Bland,,,,"173,503","86,953","86,953",,"80,512","6,038",--
Botetourt,Botetourt,,,"250,882","130,356","130,356",,"62,226","58,300",--
Brunswick,Brunswick,,,"290,950","83,786","83,786","117,178","117,178","89,986",--
Buchanan,Buchanan,,,"290,585","171,624","171,624",,"69,247","49,714",--
Buckingham,Buckingham,Buckingham,,"300,672","77,188","77,188",,"96,549","126,935",--
Campbell,Campbell,,,"205,236","74,226","74,226",,"85,816","45,194",--
Caroline,Caroline,,,"261,702","112,808","112,808",,"78,086","70,808",--
Carrel,1,,,"182,605","98,099","98,099",,"28,694","50,974","4,838"
Charles,Charles,City,,"84,737","44,606","44,606",,"21,566","13,437","5,128"
Charlotte,Charlotte,,,"209,194","65,056","65,056",,"75,157","68,981",--
Chesapeake,Chesapeake,Chesapeake,,"59,974","35,249","35,249",,"14,161","10,564",--
Chesterfield,Chesterfield,Chesterfield,,"187,487","79,985","79,985",,"63,465","44,037",--
Clarke,Clarke,,,"37,876","32,979","32,979",,"4,699",198,--
Craig,,,,"162,684","85,507","85,507",,"67,680","9,497",--
Culpeper,Culpeper,,,"114,304","62,737","62,737",,"25,243","26,324",--
Cumberland,Cumberland,Cumberland,,"131,624","36,992","36,992",,"46,813","43,751","4,068"
Dickenson,Dickenson,,,"171,650","108,866","108,866",,"31,393","26,906","4,485"
Dinwiddie,Dinwiddie,,,"244,049","83,654","83,654",,"73,190","87,205",--
Essex,,,,"98,013","40,994","40,994",,"24,231","32,788",--
Fairfax,Fairfax,,,"68,538","50,119","50,119",,"15,130","3,289",--
Fauquier,Fauquier,,,"174,154","106,731","106,731",,"51,067","16,356",--
Floyd,,,,"141,181","96,600","96,600",,"29,340","15,241",--
Fluvanna,Fluvanna,,,"137,348","42,529","42,529",,"50,733","44,086",--
Franklin,Franklin,,,"279,964","154,140","154,140",,"93,131","32,693",--
Frederick,Frederick,,,"128,921","76,351","76,351",,"40,342","12,228",--
Giles,,,,"167,121","72,824","72,824",,"74,267","20,030",--
Gloucester,Gloucester,,,"94,613","43,536","43,536",,"33,025","18,052",--
Goochland,Goochland,,,"130,505","72,055","72,055",,"41,390","17,060",--
Grayson,Grayson,,,"164,742","109,820","109,820",,"28,386","26,536",--
Greene,,,,"53,599","41,970","41,970",,"7,426","4,203",--
Greenville,Greenville,Greenville,,"135,286","42,281","42,281",,"35,019","53,377","4,609"
Halifax,Halifax,,,"351,662","122,223","122,223","123,966","123,966","101,782","3,691"
Hampton,Hampton,,,"4,342",,"4,298",,44,--,--
Hanover,Hanover,,,"178,181","78,221","78,221",,"68,318","27,654","3,988"
Henrico,Henrico,,,"59,429","22,363","22,363",,"25,289","11,777",--
Henry,,,,"176,780","61,526","61,526",,"51,730","59,553","3,971"
Highland,Highland,,,"196,003","120,732","120,732",,"61,809","8,950","4,512"
Isle,of,Wight,,"114,161","46,765","46,765",,"21,086","46,310",--
James,City,City,,"60,221","45,598","45,598",,"7,341","7,282",--
King,and,Queen,,"152,722","68,765","68,765",,"45,250","38,707",--
King,George,George,,"70,130","51,259","51,259",,"12,981","5,890",--
King,William,William,,"111,822","30,999","30,999",,"46,523","29,014","5,286"
,,,,,,,,,,Continued
24,,,,,,,,,,
