Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”,Name: “Table 1 of 1 on page 59 of 74”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,,,,,,,,,,,,,,,,,
Table,34--Merchantable,34--Merchantable,34--Merchantable,34--Merchantable,volume,of,live,trees,on,"timberland,",by,species,and,diameter,"class,","Virginia,","Virginia,","Virginia,",1992,,,,,
,,,,,,,,,,,,,Diameter,Diameter,class,(inches,(inches,at,breast,height),,,,
,,,,,,Al1,Al1,,,,,,,,,,,,,,,,,
,,Species,Species,,,,,,,,,,,,,,,,,,,,,
,,,,,classes,classes,classes,5.0-,,7.0-,,9.0-,11.0-,11.0-,13.0-,,,15.0-,,17.0-,19.0-,21.0-,29.0,and
,,,,,,,,6.9,,8.9,,10.9,12.9,12.9,14.9,,,16.9,,18.9,20.9,28.9,larger,larger
,,,,,,,,,,,,,,Thousand,cubic,cubic,feet,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,pine,pine,,,,--,,--,--,,--,,--,,--,,,--,--,--,--,,--
Slash,pine,pine,,,,,--,,--,--,,--,,--,,--,,,--,--,--,--,,--
Shortleaf,Shortleaf,,pine,,"482,815","482,815","482,815","51,882","51,882","96,521",,"120,512","104,960","104,960","61,499","61,499",,"30,498","30,498","10,604","6,339",--,,--
Loblolly,Loblolly,pine,pine,,"3,002,066","3,002,066","3,002,066","454,107","454,107","679,314",,"551,646","431,458","431,458","305,409","305,409",,"229,869","229,869","158,323","95,761","94,930","1,249","1,249"
Pond,pine,,,,,"12,522","12,522",,--,436,,"1,868",,"1,959","1,128","1,128",,"1,065","1,065","2,974","1,758",625,709,709
Virginia,Virginia,pine,pine,,"1,852,690","1,852,690","1,852,690","342,380","342,380","493,122",,"467,725","324,649","324,649","152,539","152,539",,"52,356","52,356","17,266","1,793",860,,--
Pitch,pine,pine,,,"246,295","246,295","246,295","9,987","9,987","29,924",,"45,700",,"62,067","52,378","52,378",,"25,379","25,379","12,800","6,453","1,607",,--
Table,Mountain,Mountain,Mountain,pine,"134,254","134,254","134,254","12,566","12,566","29,663",,"31,756",,"27,701","21,863","21,863",,"8,796","8,796","1,008",901,--,,--
Spruce,,pine,,,,,--,,--,--,,--,,--,,--,,,--,--,--,--,,--
Sand,pine,,,,,,--,,--,--,,--,,--,,--,,,--,--,--,--,,--
Eastern,Eastern,white,white,pine,"672,090","672,090","672,090","45,258","45,258","72,020",,"89,168",,"79,939","73,848","73,848",,"91,813","91,813","71,080","64,024","79,022","5,918","5,918"
Eastern,Eastern,hemlock,hemlock,hemlock,"168,405","168,405","168,405","14,313","14,313","18,519",,"16,453",,"20,252","12,440","12,440",,"18,172","18,172","11,793","11,911","25,542","19,010","19,010"
Spruce,,and,fir,,,"3,686","3,686",,--,606,,--,,"2,275",,805,,,--,--,--,--,,--
Baldcypress,Baldcypress,Baldcypress,,,,"40,800","40,800",,573,--,,"1,216",,"1,616","4,529","4,529",,"3,763","3,763","4,367","5,149","10,424","9,163","9,163"
Pondcypress,Pondcypress,Pondcypress,,,,"10,342","10,342",,--,184,,--,,585,,--,,"1,399","1,399",679,"1,363","3,245","2,887","2,887"
Cedars,,,,,,"97,525","97,525","42,968","42,968","23,431",,"14,527",,"8,140","4,456","4,456",,"4,003","4,003",--,--,--,,--
,Total,softwoods,softwoods,softwoods,"6,723,490","6,723,490","6,723,490","974,034","974,034","1,443,740","1,340,571","1,340,571","1,065,601","1,065,601","690,894","690,894",,"467,113","467,113","290,894","195,452","216,255","38,936","38,936"
Hardwood,,,,,,,,,,,,,,,,,,,,,,,,
Select,,white,oaks,oaks,"2,974,122","2,974,122","2,974,122","187,880","187,880","273,956",,"411,413","440,580","440,580","421,799","421,799",,"389,603","389,603","280,919","196,227","311,901","59,844","59,844"
Select,,red,oaks,oaks,"1,552,470","1,552,470","1,552,470","59,780","59,780","81,807",,"128,476","169,908","169,908","186,539","186,539",,"186,706","186,706","169,348","151,003","337,723","81,180","81,180"
Chestnut,Chestnut,oak,,,"2,811,389","2,811,389","2,811,389","173,086","173,086","341,301",,"383,727","394,188","394,188","365,158","365,158",,"288,989","288,989","275,456","184,230","337,009","68,245","68,245"
Other,white,white,oaks,oaks,,"119,019","119,019","6,672","6,672","19,513",,"20,401",,"18,659","15,935","15,935",,"13,433","13,433","8,684","5,688","6,376","3,658","3,658"
Other,red,oaks,oaks,,"2,772,091","2,772,091","2,772,091","182,574","182,574","309,264",,"403,745","396,340","396,340","412,740","412,740",,"337,179","337,179","271,210","168,966","264,751","25,322","25,322"
Hickory,Hickory,,,,"1,304,216","1,304,216","1,304,216","95,487","95,487","164,249",,"209,577","219,335","219,335","193,042","193,042",,"152,402","152,402","103,312","73,183","85,282","8,347","8,347"
Yellow,,birch,,,,"19,776","19,776","2,285","2,285",735,,"4,189",,--,"3,286","3,286",,,797,"1,745","2,365","4,374",,--
Hard,maple,maple,,,"278,290","278,290","278,290","32,375","32,375","36,735",,"35,218",,"33,380","39,267","39,267",,"29,694","29,694","18,902","16,159","29,078","7,482","7,482"
Soft,maple,maple,,,"1,815,334","1,815,334","1,815,334","289,519","289,519","308,427",,"275,505","274,794","274,794","230,160","230,160",,"141,785","141,785","99,312","76,928","100,924","17,980","17,980"
Beech,,,,,"604,106","604,106","604,106","27,988","27,988","44,049",,"53,417",,"71,128","78,639","78,639",,"78,118","78,118","80,822","54,149","101,272","14,524","14,524"
Sweetgum,Sweetgum,,,,"966,743","966,743","966,743","111,551","111,551","150,579",,"173,174","150,500","150,500","136,041","136,041",,"89,154","89,154","49,682","37,510","57,860","10,692","10,692"
Tupelo,,and,blackgum,blackgum,"548,452","548,452","548,452","67,650","67,650","74,885",,"93,633",,"94,370","61,360","61,360",,"54,273","54,273","31,375","21,726","34,530","14,650","14,650"
Ash,,,,,"396,448","396,448","396,448","43,434","43,434","48,075",,"59,317",,"60,396","48,461","48,461",,"41,576","41,576","28,723","27,430","27,802","11,234","11,234"
Cottonwood,Cottonwood,Cottonwood,,,,"3,044","3,044",,--,--,,"1,350",,796,,--,,,--,--,--,898,,--
Basswood,Basswood,,,,,"186,936","186,936","7,576","7,576","14,485",,"20,917",,"26,758","24,899","24,899",,"28,916","28,916","21,269","14,210","18,275","9,631","9,631"
Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,"3,548,929","3,548,929","3,548,929","171,980","171,980","264,911",,"360,495","515,367","515,367","541,234","541,234",,"543,043","543,043","411,854","291,352","389,369","59,324","59,324"
Bay,and,magnolia,magnolia,magnolia,,"51,657","51,657","6,626","6,626","7,627",,"15,889",,"5,341","8,034","8,034",,"3,743","3,743",650,--,"3,747",,--
Black,cherry,cherry,,,,"119,938","119,938","20,492","20,492","18,157",,"14,241",,"20,223","13,966","13,966",,"10,743","10,743","9,272","1,606","8,292","2,946","2,946"
Black,walnut,walnut,,,,"143,895","143,895","7,307","7,307","14,102",,"25,328",,"20,421","27,548","27,548",,"14,568","14,568","9,322","14,067","8,897","2,335","2,335"
Sycamore,Sycamore,,,,,"168,947","168,947","6,761","6,761","16,704",,"14,242",,"19,403","14,706","14,706",,"24,495","24,495","21,300","15,493","28,811","7,032","7,032"
Black,locust,locust,,,"326,326","326,326","326,326","33,999","33,999","33,228",,"65,791",,"64,266","47,774","47,774",,"35,028","35,028","22,801","11,847","11,592",,--
Elm,,,,,"131,112","131,112","131,112","22,906","22,906","20,534",,"21,538",,"21,869","11,895","11,895",,"10,047","10,047","7,694","3,964","9,050","1,615","1,615"
Other,eastern,eastern,eastern,,,,,,,,,,,,,,,,,,,,,
,hardwoods,hardwoods,,,"1,045,828","1,045,828","1,045,828","247,414","247,414","201,971",,"173,374","137,442","137,442","91,483","91,483",,"63,373","63,373","51,256","32,856","37,774","8,885","8,885"
,Total,hardwoods,hardwoods,hardwoods,"21,889,068","21,889,068","21,889,068","1,805,342","1,805,342","2,445,294","2,964,957","2,964,957","3,155,464","3,155,464","2,973,966","2,973,966","2,537,665","2,537,665","2,537,665","1,974,908","1,400,959","2,215,587","414,926","414,926"
All,species,,,,"28,612,558","28,612,558","28,612,558","2,779,376","2,779,376","3,889,034","4,305,528","4,305,528","4,221,065","4,221,065","3,664,860","3,664,860","3,004,778","3,004,778","3,004,778","2,265,802","1,596,411","2,431,842","453,862","453,862"
