Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”,Name: “Table 1 of 1 on page 33 of 74”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,,,,,,
Table,5--Area,5--Area,of,"timberland,","timberland,",by,county,and,site,"class,","Virginia,","Virginia,",1992--Continued,1992--Continued,
,,,,,,,Site,class,class,(cubic,feet,per,acre,per,year)
,,,,Al,1,,,,,,,,,,
,County,County,,,,,,,,,,,,,
,,,,classes,classes,,,,,,,,,,
,,,,,,>164,,120-164,120-164,85-119,85-119,,50-84,,20-49
,,,,,,,,,,Acres,,,,,
Lancaster,Lancaster,Lancaster,,"52,501","52,501",,--,"4,435","4,435",,"8,869",,"38,736",,461
Lee,,,,"150,024","150,024",,--,,--,,"27,438",,"113,441",,"9,145"
Loudoun,Loudoun,,,"117,248","117,248",,--,,--,,"25,329",,"85,926",,"5,993"
Louisa,,,,"228,537","228,537",,--,,--,,"27,316",,"180,516",,"20,705"
Lunenburg,Lunenburg,Lunenburg,,"209,807","209,807",,--,"3,193","3,193",,"31,146",,"169,082",,"6,386"
Madison,Madison,,,"88,259","88,259",,--,"8,022","8,022",,"26,565",,"40,659",,"13,013"
Mathews,,,,"34,787","34,787",,--,,--,,"14,636",,"17,386",,"2,765"
Mecklenburg,Mecklenburg,Mecklenburg,,"263,242","263,242",,--,,--,,"36,218",,"204,850",,"22,174"
Middlesex,Middlesex,Middlesex,,"49,882","49,882",,--,,--,,"21,034",,"28,813",,35
Montgomery,Montgomery,Montgomery,,"145,281","145,281",,--,"10,809","10,809",,"18,684",,"91,459",,"24,329"
Nelson,,,,"231,868","231,868","4,051","4,051","4,051","4,051",,"91,670",,"115,779",,"16,317"
New,Kent,,,"98,183","98,183",,--,,--,,"24,464",,"73,509",,210
Newport,,News,,"7,934","7,934",,--,,--,,"5,078",,"2,856",,--
Northampton,Northampton,Northampton,,"30,351","30,351",,--,,150,,"7,571",,"17,629",,"5,001"
Northumberland,Northumberland,Northumberland,,"67,886","67,886",,--,,--,,"22,560",,"39,725",,"5,601"
Nottoway,Nottoway,,,"137,331","137,331",,--,,421,,"33,706",,"90,555",,"12,649"
Orange,,,,"125,448","125,448",,--,,--,,"24,655",,"97,251",,"3,542"
Page,,,,"81,722","81,722",,--,,--,,"3,390",,"43,241",,"35,091"
Patrick,,,,"212,148","212,148","3,714","3,714","6,381","6,381",,"50,854",,"118,276",,"32,923"
Pittsylvania,Pittsylvania,Pittsylvania,,"405,446","405,446","7,550","7,550","40,213","40,213","121,667","121,667",,"215,369",,"20,647"
Powhatan,Powhatan,,,"132,471","132,471",,--,,--,,"49,232",,"78,358",,"4,881"
Prince,Edward,Edward,,"165,647","165,647",,--,,--,,"34,719",,"118,857",,"12,071"
Prince,George,George,,"117,291","117,291",,--,"2,550","2,550",,"23,278",,"81,261",,"10,202"
Prince,William,William,,"94,125","94,125",,--,"4,019","4,019",,"7,989",,"70,061",,"12,056"
Pulaski,,,,"118,624","118,624",,--,,--,,"7,334",,"78,091",,"33,199"
Rappahannock,Rappahannock,Rappahannock,,"71,760","71,760",,--,"3,410","3,410",,"6,820",,"47,890",,"13,640"
Richmond,Richmond,,,"76,279","76,279","2,885","2,885",,--,,"21,927",,"51,467",,--
Roanoke,,,,"107,085","107,085","4,920","4,920","4,920","4,920",,"6,812",,"58,950",,"31,483"
Rockbridge,Rockbridge,Rockbridge,,"241,345","241,345","4,548","4,548",,--,,"41,053",,"136,391",,"59,353"
Rockingham,Rockingham,Rockingham,,"253,579","253,579",,--,"4,157","4,157",,"18,369",,"91,057",,"139,996"
Russell,,,,"174,359","174,359",,--,,--,,"19,225",,"121,335",,"33,799"
Scott,,,,"235,375","235,375",,510,"15,955","15,955",,"71,968",,"141,623",,"5,319"
Shenandoah,Shenandoah,Shenandoah,,"184,362","184,362",,--,"4,487","4,487",,"8,440",,"94,884",,"76,551"
Smyth,,,,"172,279","172,279",,528,,--,,"33,414",,"114,277",,"24,060"
Southampton,Southampton,Southampton,,"240,492","240,492","2,759","2,759","5,519","5,519",,"93,807",,"132,888",,"5,519"
Spotsylvania,Spotsylvania,Spotsylvania,,"169,148","169,148","8,380","8,380","4,189","4,189",,"39,821",,"109,416",,"7,342"
Stafford,Stafford,,,"118,956","118,956","8,777","8,777","13,139","13,139",,"42,877",,"50,878",,"3,285"
Suffolk,,,,"111,147","111,147",,--,"4,318","4,318",,"24,211",,"80,459",,"2,159"
Surry,,,,"122,880","122,880",,--,,--,,"21,910",,"100,970",,--
Sussex,,,,"250,649","250,649",,--,"8,188","8,188",,"73,384",,"152,724",,"16,353"
