Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”,Name: “Table 1 of 1 on page 64 of 74”
Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64
,,,,,,,,,,,,,,,,,,,,,,,,,
Table,39—Total,39—Total,volume,volume,of,live,trees,on,"timberland,",by,Species,and,diameter,"class,","Virginia,","Virginia,",1992,,,,,,,,
,,,,,,,,,,,,,,Diameter,class,(inches,(inches,at,breast,height),,,,,
,,,,,,,Al1,,,,,,,,,,,,,,,,,,
,,Species,Species,,,,,,,,,,,,,,,,,,,,,,
,,,,,,classes,classes,,1.0-,3.0-,5.0-,,7.0-,9.0-,,11.0-,,13.0-,,15.0-,17.0-,19.0-,21.0-,29.0,and
,,,,,,,,,2.9,4.9,6.9,,8.9,10.9,,12.9,,14.9,,16.9,18.9,20.9,28.9,larger,larger
,,,,,,,,,,,,,,Thousand,Thousand,cubic,feet,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,pine,pine,,,,--,,--,--,,--,--,,--,,--,,--,--,--,--,--,,--
Slash,pine,pine,,,,,--,,--,--,,--,--,,--,,--,,--,--,--,--,,,--
Shortleaf,Shortleaf,,pine,,,"595,103","595,103",,"4,469","20,560","70,881","70,881","116,281","139,856","139,856","119,959","119,959","69,672","69,672","34,386","11,922","7,117",--,,--
Loblolly,Loblolly,pine,pine,,,"3,952,122","3,952,122",,"74,736","266,176","646,454","646,454","829,344","643,646","643,646","493,765","493,765","346,137","346,137","259,119","177,858","107,338","106,157","1,392","1,392"
Pond,pine,,,,,,"14,310",,--,--,,--,517,"2,175","2,175","2,252","2,252","1,285","1,285","1,212","3,375","1,989",706,799,799
