Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,,,,,,,,
Table,9--Average,annual,removals,of,growing,stock,and,sawtimber,on,"timberland,",by,county,and,species,"group,","Virginia,",1986-1991--Continued,1986-1991--Continued
,,,,,,Growing,stock,,,,,,,,,Sawtimber,,
,County,,,,,,,,,,,,,,,,,
,,,All,,,Other,,soft,,Hard,,All,,,,Other,soft,Hard
,,,,,Pine,,,,,,,,,,,,,
,,species,species,,,softwood,,hardwood,,hardwood,,species,species,Pine,,softwood,hardwood,hardwood
,,,,,Thousand,cubic,,feet,,,,,,,Thousand,board,feet,
Lancaster,Lancaster,,"2,917",,"1,922",--,,513,,482,,"4,403","4,403","2,278",,- -,"1,273",852
Lee,,,"3,111",,--,--,,"2,212",,899,,"9,873","9,873",--,,- -,"7,878","1,995"
Loudoun,,,"1,870",,619,- -,,435,,816,,"3,808","3,808","1,195",,- -,"1,135","1,478"
Louisa,,,"5,904",,"2,715",,,339,,"2,850",,"14,446","14,446","5,933",,- -,380,"8,133"
Lunenburg,Lunenburg,"13,523","13,523",,"2,347",--,,"5,880",,"5,296",,"44,108","44,108","6,090",,- -,"19,337","18,681"
Madison,,,"3,690",,"2,067",--,,248,,"1,375",,"11,012","11,012","7,392",,- -,467,"3,153"
Mathews,,,"1,404",,678,--,,152,,574,,"3,231","3,231","2,030",,- -,404,797
