Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”,Name: “Table 1 of 1 on page 42 of 46”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,,,,,,,,,
5.,Other _____________________,Other _____________________,Other _____________________,Other _____________________,Other _____________________,Other _____________________,Other _____________________,High,,Med,Med,Low,None,,,
Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.,Please rate the following trail issues: first importance to you and then conditions you observed today.
Trail Issues:,Trail Issues:,Trail Issues:,,,,,,Importance to you,Importance to you,Importance to you,Importance to you,,,Current conditions,Current conditions,Current conditions
1. Safety/security,1. Safety/security,1. Safety/security,1. Safety/security,1. Safety/security,,,High,Med,Low,,None,None,Excel,Good,Fair,Poor
2. Amount of crowding,2. Amount of crowding,2. Amount of crowding,2. Amount of crowding,2. Amount of crowding,2. Amount of crowding,,High,Med,Low,,None,None,Excel,Good,Fair,Poor
3. Parking,3. Parking,3. Parking,,,,,High,Med,Low,,None,None,Excel,Good,Fair,Poor
4. Natural scenery,4. Natural scenery,4. Natural scenery,4. Natural scenery,4. Natural scenery,,,High,Med,Low,,None,None,Excel,Good,Fair,Poor
5. Restrooms,5. Restrooms,5. Restrooms,,,,,High,Med,Low,,None,None,Excel,Good,Fair,Poor
