Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”,Name: “Table 1 of 1 on page 59 of 115”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,,,
CONVERSION,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,Cubic feet of wood per average cord,,
FACTORS,(excluding bark),(excluding bark),(excluding bark),(excluding bark),,,,,,,
,D.b.h.,,,,All,,,,,Other,
,class,,,,spectes,,,Ptne,,softwood,Hardwood
,-,--,,- --,,-,-,- - -,,,-
,6,,,,60.6,,,61 0,,68.2,60.0
,8,,,,68.5,,,68.1,,76.0,68.4
,10,,,,73.5,,,73.1,,81.4,73.4
,12,,,,76.7,,,76 7,,85.2,76.4
,74,,,,78.8,,,79 4,,88.2,78.4
,16,,,,80.4,,,81.6,,90.4,79.8
,18,,,,81.4,,,83 3,,92.4,80 8
,2 0,,,,82.3,,,84.8,,93.3,81.5
,22,,,,82.8,,,86.0,,95.1,82.1
,24 +,,,,83.9,,,87.7,,97.8,83.0
,,,,,,,,,--,,---
,Averaae,Averaae,,,74.9,,,72.0,,85.0,75.3
,Rough cord per M cubic feet,Rough cord per M cubic feet,Rough cord per M cubic feet,Rough cord per M cubic feet,Rough cord per M cubic feet,Rough cord per M cubic feet,Rough cord per M cubic feet,(without bark),(without bark),=,
,Where,,,Pine,,Other softwoods,Other softwoods,Other softwoods,Other softwoods,Hardwoods,Hardwoods
,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report,Metric equivalents of units used in this report
,1 acre,=,"4,046.86","4,046.86",square meters or 0.404686,square meters or 0.404686,square meters or 0.404686,square meters or 0.404686,square meters or 0.404686,square meters or 0.404686,hectare
,1 cubic f o o t,1 cubic f o o t,1 cubic f o o t,=,0.02831 7 cubic,0.02831 7 cubic,0.02831 7 cubic,meter,meter,,
,1 inch,=,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,2.54 centimeters or 0.0254 meter,
,Breast height (4.5 feet),Breast height (4.5 feet),Breast height (4.5 feet),Breast height (4.5 feet),Breast height (4.5 feet),=,1.4 meters above ground level,1.4 meters above ground level,1.4 meters above ground level,1.4 meters above ground level,1.4 meters above ground level
,1 square f o o t,1 square f o o t,1 square f o o t,=,929.03 square centimeters or 0.0929,929.03 square centimeters or 0.0929,929.03 square centimeters or 0.0929,929.03 square centimeters or 0.0929,929.03 square centimeters or 0.0929,929.03 square centimeters or 0.0929,929.03 square centimeters or 0.0929
,square,square,meter,meter,,,,,,,
,1 square f o o t per acre basal area,1 square f o o t per acre basal area,1 square f o o t per acre basal area,1 square f o o t per acre basal area,1 square f o o t per acre basal area,1 square f o o t per acre basal area,1 square f o o t per acre basal area,1 square f o o t per acre basal area,=,0.229568,square
,meter per hectare,meter per hectare,meter per hectare,meter per hectare,,,,,,,
,1 pound,1 pound,=,0.454 kilogram,0.454 kilogram,0.454 kilogram,0.454 kilogram,,,,
,1 t o n,=,0.907,0.907,metric ton,metric ton,,,,,
