Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”,Name: “Table 1 of 1 on page 83 of 115”
Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76
,,,,,,,,,,,,,,,,,,
Table 28-Volume,"of sawtimber on timberland,","of sawtimber on timberland,","of sawtimber on timberland,","by ownership class, species group, and diameter class, Virginia,","by ownership class, species group, and diameter class, Virginia,","by ownership class, species group, and diameter class, Virginia,","by ownership class, species group, and diameter class, Virginia,","by ownership class, species group, and diameter class, Virginia,","by ownership class, species group, and diameter class, Virginia,","by ownership class, species group, and diameter class, Virginia,",1992,,,,,,,
,,,,,,Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),,,,,,,,,
Ownership class,,All,9.0-,9.0-,11.0-,13.0-,15.0-,17.0-,17.0-,19.0-,,21 .O-,21 .O-,,29.0 and,29.0 and,29.0 and,
and species group,,classes,10.9,10.9,12.9,14.9,16.9,18.9,,20.9,,28.9,28.9,,,larger,,
,,,,,,,,,,,,,--,,--,,,
,,,,,,Thousand board feet,Thousand board feet,,,,,,,,,,,
National forest,,,,,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,
Other public,,,,,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,
Forest industry,,,,,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,,,,,
Total,,"5,481,692","826,120","826,120","1,097,347","926,363","825,714","61 0,946","61 0,946","439,441","439,441","654,537","654,537","654,537",,"101,224","101,224",
,,,,,,,,,,,,- --,,,,,,
Forest industry-leased,,,,,,,,,,,,,,,,,,
Softwood,,"41,327","35,600","35,600","5,727",,--,,--,,--,,,..,,,..,
Hardwood,,"13,952",,--,"9,917",- -,"4,035",,--,-.,.--,,,--,-,-,..,
,,,,,,,,,,,,,,,,,----,-
Total,-,"55,279","35,600","35,600","15,644",--,41035,--,- -,,-.--,-,-,.- -,,,.-,
,,,,,,,,,,,,,- -,,,--,,
Other private,,,,,,,,,,,,,,,,,,
Softwood,"14,754,503","14,754,503","3,430,365","3,430,365","3,576,783","2,547,320","1,847,502","1,231,430","1,231,430","882,244","882,244","1,028,128","1,028,128","1,028,128",,"21 0,731","21 0,731",
Hardwood,"47,780,308","47,780,308",-,--,"7,970,152","9,038,986","8,714,611","7,117,740","7,117,740","5,237,124","5,237,124","8,168,971","8,168,971","8,168,971","-1-,532-,7-2-4","-1-,532-,7-2-4","-1-,532-,7-2-4",-
Total,"-62,534,811","-62,534,811","3,430,365","3,430,365","11,546,935","11,586,30_6","10,562,113","8,349,170","8,349,170","6,119,368","6,119,368","9,197,099","9,197,099","9,197,099","1,743,455-","1,743,455-","1,743,455-","1,743,455-"
,-,-,,,,,,,,,,,,,-,,,
All ownerships,,,,,,,,,,,,,,,,,,
Softwood,"19,880,587","19,880,587","4,778,084","4,778,084","4,638,766","3,427,856","2,548,769","1,692,221","1,692,221","1,187,593","1,187,593","1,367,166","1,367,166","1,367,166",,"240,132","240,132",
Hardwood,"60,370,934","60,370,934",,--,"10,001,316","11,260,590","10,752,079","8,--946,533","8,--946,533","6,681,660","6,681,660","10,806,806","10,806,806","10,806,806","1,921,9-50","1,921,9-50","1,921,9-50",
Total,"80,251,521","80,251,521","4,778,084","4,778,084","14,640,082","14,688,446","13,300,848","10,638,754","10,638,754","7,869,253","7,869,253","12,173,972","12,173,972","12,173,972","2,162,082","2,162,082","2,162,082",
-,,,,,,,,,,,,,,,,--,--,
