Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”,Name: “Table 1 of 1 on page 71 of 115”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,,,,,,,,,,,,,
Table,17-Number,"of live trees on timberland,","of live trees on timberland,","by species and diameter class, Virginia,","by species and diameter class, Virginia,","by species and diameter class, Virginia,","by species and diameter class, Virginia,","by species and diameter class, Virginia,",1992,,,,,,,,,,
,--,,,,,,,,,,,,,,,,- -,- -,- -
,,,,,,,,Diameter,Diameter,class,(inches a t breast height),(inches a t breast height),(inches a t breast height),,,,,,
,,,,,,,,,,,,,,,-,-.,,,
,,,,,,,,,,,,,,,~,,,,
,,,All,1.O-,3.0-,5.0-,,7.0-,,9.0-,,1 1.O-,13.0-,15.0-,17.0-,19.0-,21.0-,29.0 and,29.0 and
Species,,,classes,2.9,4.9,6.9,,8.9,,10.9,,12.9,14.9 16.9.18.9 20.9-28.9 larger,14.9 16.9.18.9 20.9-28.9 larger,14.9 16.9.18.9 20.9-28.9 larger,14.9 16.9.18.9 20.9-28.9 larger,14.9 16.9.18.9 20.9-28.9 larger,14.9 16.9.18.9 20.9-28.9 larger,
,,,,,,,,,,Thousand trees,Thousand trees,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,
Longleaf,p i a l e,,,--,,,,,,,,-.,,,,,,,
Slash pine,Slash pine,,,--,,,,,,,--,.-,,,..,,,,
Shortleaf,pine,,"80,489","16,772","16,878",16.81 5,,"12,997","12,997","9,009","9,009",5.016,"2,027",698,191,86,,,
Loblolly,pine,,"960,922","317,206","258,739","184,128",,"111,276","111,276","47,249","47,249","21,703","10,145","5,394","2,793","1,350",932,7,
Pond pine,,,518,,,--,,76,76,167,167,lo8,3 6,3 3,60,29,6,,3
Virginia,pine,,"613,167","248,344","146,939","97,272",,"62,957","62,957","34,798","34,798","15,898","5,250","1,348",322,2 9,10,,
Pitch pine,,,"35,108","11,006","5,202","3,294",,"4,946","4,946","4,168","4,168","3,366","1,972",745,282,109,18,,
Table M o u n t a i n pine,Table M o u n t a i n pine,Table M o u n t a i n pine,"25,048","5,745","4,847","4,364",,"4,664","4,664","2,749","2,749","1,508",859,276,2 1,15,,,
Spruce,pine,,,--,,,,,--,,--,,,,,,,,
,,,,,,,,,,,--,,,,,,,,
Sand,pine,,,,,,,,,,,,,,,,,,
Eastern w h i t e,Eastern w h i t e,pine,"173,068","86,860","36,881","15,610",,"11,210","11,210","8,316","8,316",4.927,"2,991","2,665","1,557","1,099",918,3 4,
Eastern hemlock,Eastern hemlock,,"52,726","24,400","13,091","6,293",,"3,754","3,754","1,821","1,821","1,390",574,567,266,192,280,98,
Spruce and fir,Spruce and fir,,"1,574","1,302",--,--,,106,106,,,137,29,,,,..,,
Baidcypress,Baidcypress,,937,.-,,143,,,--,100,100,70,169,132,91,90,109,53,
Pondcypress,Pondcypress,,176,,,--,,3 2,3 2,,,26,,3 1,12,19,3 2,24,
Cedars,,,"-- 231,894","155,250","51,970","17,579",,"4,576","4,576","1,580","1,580",564,246,129,..,.,-,,.-
,Total s o f t w o o d s,Total s o f t w o o d s,"2,175,627","866,885","534,547","345,498",-,"216,594","216,594",109.957,109.957,"54,713",24.298,"11,998","5,595","3,018","2,305",219,
,,,,,,,,,,,,,,,,-,,,-.
Hardwood,,,,,,,,,,,,,,,,,,,
