Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”,Name: “Table 1 of 1 on page 62 of 115”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,,,,,,,,,,,,,,
Tables,,,,,,,,,,,,,,,,,,,,
T a b l e,"1 -Area,","1 -Area,","1 -Area,","b y l a n d class,","b y l a n d class,","b y l a n d class,","b y l a n d class,","b y l a n d class,","b y l a n d class,",,,Table,2 - A r e a,2 - A r e a,"o f timberland,","o f timberland,","o f timberland,",,,
"Virginia,",1992,1992,1992,,,,,,,,,by o w n e r s h i p,by o w n e r s h i p,by o w n e r s h i p,"class,",,"Virginia,",1992,,
- --,-,-,-,--,-,-,,--,---,,,,,,,,,,,
Land class,,,,,,,,,Area,Area,,Ownership class,Ownership class,Ownership class,,,,,Area,
,,,,,,,,,Acres,Acres,,,,,,,,,A cres,
Forest land,Forest land,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,National forest,National forest,National forest,,,,,,
Timberland,Timberland,Timberland,,,,,,,,,,,,,,,,,,
Reserved timberland,Reserved timberland,Reserved timberland,Reserved timberland,Reserved timberland,Reserved timberland,Reserved timberland,,,,,,Other Federal,Other Federal,Other Federal,,,,,,
Woodland,Woodland,Woodland,,,,,,,,,,Bureau of,Bureau of,Land Management,Land Management,Land Management,Land Management,,,..
Total,Total,,,,,,,,,,,Indian,Indian,,,,,,425,425
,,,,,,,,,,,,Miscellaneous Federal,Miscellaneous Federal,Miscellaneous Federal,Miscellaneous Federal,Miscellaneous Federal,,,"220,854-","220,854-"
Nonforest land,Nonforest land,Nonforest land,Nonforest land,,,,,,,,,,Total,,,,,,,
Cropland,Cropland,,,,,,,,,,,,,,,,,,,
Pasture and range,Pasture and range,Pasture and range,Pasture and range,Pasture and range,Pasture and range,,,,,,,State,,,,,,,,
Other',,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,County and municipal,County and municipal,County and municipal,County and municipal,,,,"82,517","82,517"
Total,,,,,,,,,,,,,,,,,,-.,,
A l l land2,,,,,,,,,,,,Forest industry,Forest industry,Forest industry,,,,"-- 1,537,397","-- 1,537,397","-- 1,537,397"
"Includes swampland,","Includes swampland,","Includes swampland,","Includes swampland,","Includes swampland,",,"industrial,","industrial,",and urban,and urban,and urban,,Forest industry-leased,Forest industry-leased,Forest industry-leased,Forest industry-leased,,,"-1-7,366","-1-7,366","-1-7,366"
"areas, other nonforest land,","areas, other nonforest land,","areas, other nonforest land,","areas, other nonforest land,","areas, other nonforest land,","areas, other nonforest land,","areas, other nonforest land,","and 137,148","and 137,148","and 137,148","and 137,148",,,,,,,,,,
acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,acres classed as water by Forest Inventory,,Other private,Other private,,,,,,,
and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,and Analysis standards but defined by,,,Farmer,Farmer,,,,,,,
Bureau of,Census as land.,Census as land.,Census as land.,Census as land.,Census as land.,Census as land.,,,,,,Other individual,Other individual,Other individual,,,,,,
From the U.S.,From the U.S.,From the U.S.,Bureau of,Bureau of,Bureau of,Bureau of,"Census,","Census,",1980.,1980.,,,,,,,,,,
,,,,,,,,,,,,Other corporate,Other corporate,Other corporate,,,,,,
,,,,,,,,,,,,,Total,,,,,"--1-1-,9-0-9 ,-501-","--1-1-,9-0-9 ,-501-","--1-1-,9-0-9 ,-501-"
,,,,,,,,,,,,,,,,,,-,-,-
,,,,,,,,,,,,All ownerships,All ownerships,All ownerships,,,,"15,447,550","15,447,550","15,447,550"
,,,,,,,,,,,,,,- -.,-- --,,,,,
Table 3 -Area,Table 3 -Area,Table 3 -Area,,"o f t i m b e r l a n d ,","o f t i m b e r l a n d ,","o f t i m b e r l a n d ,","o f t i m b e r l a n d ,","o f t i m b e r l a n d ,","by s t a n d - s i z e a n d o w n e r s h i p classes,","by s t a n d - s i z e a n d o w n e r s h i p classes,","by s t a n d - s i z e a n d o w n e r s h i p classes,","by s t a n d - s i z e a n d o w n e r s h i p classes,","by s t a n d - s i z e a n d o w n e r s h i p classes,",Virginia.,Virginia.,1992,,,,
--,,,,,,-,,,,- --,,--,,--,---,-,,,--,
,,,,,,,,,,,,,,,,Forest,,,,
,,,,,,,,,All,,Nattonal,Other,Forest,Forest,tndustry-,tndustry-,,Other,,
Stand-sue class,Stand-sue class,Stand-sue class,Stand-sue class,,,,ownerships,ownerships,ownerships,ownerships,forest,p u b l ~ c,lndustry,lndustry,leased-- - --,leased-- - --,,prlvate----,,
-,,,,,-,-,-,----,----,-,---,- -,-,,,,,,,
,,,,,,,,,,,,Acres,,,,,,,,
Sawtimber,,,,,,,,,,,,,,,,,,,,
Poletimber,,,,,,,,,,,,,,,,,,,,
Sapllng and seedllng,Sapllng and seedllng,Sapllng and seedllng,Sapllng and seedllng,Sapllng and seedllng,,,,"3,034,010","3,034,010","3,034,010","124,463","70,867","564,613","564,613",,,,,,
Nonstocked,Nonstocked,,,,,,,"1-04,099","1-04,099","1-04,099","-- 4,853","--3-,8-1-0-","-24,1--6-4","-24,1--6-4",,,,,,
All classes,All classes,All classes,,,,,"15,447,550","15,447,550","15,447,550","15,447,550","1,468,126","51 5,160","1,537,397","1,537,397",,"17,366","- ~ -11~,-909,501","- ~ -11~,-909,501","- ~ -11~,-909,501",
,,,,,,,,,,,,,,,,,,,-...-----.,-...-----.
