Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”,Name: “Table 1 of 1 on page 90 of 115”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,,,,,
Table 38-Average,Table 38-Average,annual,output of,"roundwood products, by product, species group, and source of","roundwood products, by product, species group, and source of","roundwood products, by product, species group, and source of","roundwood products, by product, species group, and source of","material,",
"Virginia,","Virginia,",1 9 8 6 - 1 99 1,,,,,,,
,,,,,Growing-stock,trees',,,
,,,All,,,,Cull,Salvable,Other
Product and species,Product and species,qroup,sources,Total,Sawttrnber,Polettrnber,treesT,dead trees',SOLIIC~S~
,,,,,,Thousand cubic feet,Thousand cubic feet,,
Saw,logs,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Veneer,logs and bolts,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Pulpwood,Pulpwood,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Poles and piling,Poles and piling,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Posts (round a n d split),Posts (round a n d split),Posts (round a n d split),,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Other,,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Total industrial products,Total industrial products,Total industrial products,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
Fuelwood,Fuelwood,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
All products,All products,,,,,,,,
Softwood,Softwood,,,,,,,,
Hardwood,Hardwood,,,,,,,,
,Total,,,,,,,,
' On timberland,' On timberland,,,,,,,,
' Includes trees,' Includes trees,"less than 5 0 ~nchesIn dtameter, tree tops and limbs from timberland, or rnaterial from","less than 5 0 ~nchesIn dtameter, tree tops and limbs from timberland, or rnaterial from","less than 5 0 ~nchesIn dtameter, tree tops and limbs from timberland, or rnaterial from","less than 5 0 ~nchesIn dtameter, tree tops and limbs from timberland, or rnaterial from","less than 5 0 ~nchesIn dtameter, tree tops and limbs from timberland, or rnaterial from","less than 5 0 ~nchesIn dtameter, tree tops and limbs from timberland, or rnaterial from",,
other forest,other forest,"land or nonforest land, such as fence rows or suburban areas","land or nonforest land, such as fence rows or suburban areas","land or nonforest land, such as fence rows or suburban areas","land or nonforest land, such as fence rows or suburban areas",,,,
