Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”,Name: “Table 1 of 1 on page 35 of 115”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,,,,,,,,,,,,
Table IV-Area,of Virginia's,of Virginia's,of Virginia's,"timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,","timberland treated or disturbed annually,",,,,,,
by broad management and ownership,by broad management and ownership,by broad management and ownership,by broad management and ownership,by broad management and ownership,by broad management and ownership,by broad management and ownership,"classes,","classes,",1986 to,1986 to,1986 to,1986 to,1986 to,1992,1992,,,,,,,,,
,,,,,,,,Major stand treatments,Major stand treatments,Major stand treatments,Major stand treatments,Major stand treatments,Major stand treatments,Major stand treatments,Major stand treatments,,,,,,,,,
Broad management',Broad management',,Final,Final,,,Partial,Partial,,Commercial,Commercial,Commercial,Commercial,Commercial,,,Other,Other,,,Natural,Natural,Natural,Natural
and ownership classes2,and ownership classes2,,harvest,harvest,,,harvest3,harvest3,,,thinning,thinning,thinning,,,cutting,cutting,cutting,,disturbance,disturbance,disturbance,disturbance,disturbance
,,,,,,,,,,,,Acres,Acres,Acres,,,,,,,,,,
Pine plantation,,,,,,,,,,,,,,,,,,,,,,,,
Public,,,,--,,,,--,,,,,277,277,,,,--,,,,,..,..
Forest industry,,,"6,484","6,484",,,,-.,,,,"8,794","8,794","8,794",,,"5,292","5,292",,,"1,152","1,152","1,152","1,152"
Other private,,,"3,111","3,111",,,,--,,,,"8,132","8,132","8,132",,,"3,889","3,889",,,"4,566","4,566","4,566","4,566"
Total,,.,"9,595","9,595",,..-,..-,..-. -. --..,..-. -. --..,,,"17,203","17,203","17,203",,-,"9,181","9,181",,,"- - --5,7.1 .8.. .-","- - --5,7.1 .8.. .-","- - --5,7.1 .8.. .-","- - --5,7.1 .8.. .-"
,,,,,,,,,,~-,~-,,,,,,,,.,,,,,
,,,,,,,,,,,~,,,,,,,,,,,,,
Natural pine,,,,,,,,,,,,,,,,,,,,,,,,
Public,,,"3,115","3,115",,,,.-,,,,,,--,,,"3,120","3,120",,,"3,962","3,962","3,962","3,962"
Forest ~ n d u s t r y,Forest ~ n d u s t r y,,"11,244","11,244",,,,34 1,,,,900,900,900,,,"9,003","9,003",,,"1,438","1,438","1,438","1,438"
Other private,,,"39,119","39,119",,,"3,426 --","3,426 --",,,,"1,601","1,601",,,"1-8-,022","1-8-,022","1-8-,022",,,"--1--9,08-0","--1--9,08-0","--1--9,08-0","--1--9,08-0"
Total,,.-,"53,478","53,478",,,"3,767","3,767",,,,"2,501","2,501",,,"30,145","30,145","30,145",,,"24,480","24,480","24,480",
,,,,,,,,,,,,,,,,,,,,---,,,,
Oak-pine,,,,,,,,,,,,,,,,,,,,,,,,
Public,,,,770,,,,--,,,,,,,--,,807,807,,,"2,057","2,057","2,057",
Forest industry,,,"6,552","6,552",,,,885,,,,,,,--,"4,692","4,692","4,692",,,"1,702","1,702","1,702",
Other private,,,"17,7-65","17,7-65",,,"3,416","3,416",,-,-,599,599,,,"10,102","10,102","10,102",,,"14,198","14,198","14,198",-
Total,,,,,,,,,,,,,,,,,,,,,,,,
Upland hardwood,Upland hardwood,,,,,,,,,,,,,,,,,,,,,,,
Public,,,"6,714","6,714",,,"1,803","1,803",,,,,,,--,"9,001","9,001","9,001",,,"41,603","41,603","41,603",
Forest industry,,,"12,839","12,839",,,,--,,,,,,,--,"15,792","15,792","15,792",,,"3,404","3,404","3,404",
Other prtvate,,"-7-1,864","-7-1,864","-7-1,864",-  3-4.0-1- -1-,-  3-4.0-1- -1-,-  3-4.0-1- -1-,-  3-4.0-1- -1-,,,,"-1-,35-7 -","-1-,35-7 -","-1-,35-7 -","-1-,35-7 -","76,574","76,574","76,574",-,-,"87-,7--04","87-,7--04","87-,7--04",
Total,,,"91,417","91,417",,,"35,B.l",4,,,,"1,357","1,357",,"- 101,367","- 101,367","- 101,367","- 101,367",,,"132,711","132,711","132,711",
,,--,- --,,- --,- --,,,-,,,,,,-,,-.--,-.--,,,,,,
Lowland hardwood,Lowland hardwood,,,,,,,,,,,,,,,,,,,,,,,
Public,,,,--,,,,--,,,,,--,,,,--,--,,,,,--,
Forest ~ n d u s t r y,Forest ~ n d u s t r y,,"1,369","1,369",,,,..,,,,,--,,,,430,430,,,"3,057","3,057","3,057",
Other prtvate,,,"5,212","5,212",-,-,,748,- - -,- - -,- - -,,--,,- -,"3,873","3,873","3,873",-,,"1-1-,-971","1-1-,-971","1-1-,-971",
Total,,..,"6,581","6,581",,,-,748,.- - ---,.- - ---,.- - ---,,--,,---,"4,303","4,303","4,303",,,"15,02- 8-","15,02- 8-","15,02- 8-",--
,,~,,,.,..,,,,,-....,-....,,,..~,,,,,,,~--. --,~--. --,~--. --
All classes,,,,,,,,,,,,,,,,,,,,,,,,
Public,,,"10,599","10,599",,,"1,803","1,803",,,,277,277,,,"12,928","12,928","12,928",,,"47,622","47,622","47,622",
Forest ~ n d u s t r y,Forest ~ n d u s t r y,,"38,488","38,488",,,"1,226","1,226",,,,"9,694","9,694",,,"35,209","35,209","35,209",,,"10,753","10,753","10,753",
