Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”,Name: “Table 1 of 1 on page 99 of 115”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,,
Table 47 -Area,"of timberland,","by county and broad management class, Virginia,","by county and broad management class, Virginia,","by county and broad management class, Virginia,","by county and broad management class, Virginia,",1992,,
,,All,Pine,Natural,,,Upland,Lowland
County,ownersh~ps,ownersh~ps,plantatron,PI ne,Oak-pine,Oak-pine,hardwood,hardwood
,,,,Acres,,,,
Accomack,,,,,"24,617","24,617",,
Albemarle,,,,,"37,864","37,864",,
Alleghany,,,,,"40,435","40,435",,
Amelia,,,,,"17,146","17,146",,
Amherst,,,,,"38,462","38,462",,
Appomattox,,,,,"14,793","14,793",,
Arlington,,,,,--,--,,
Augusta,,,,,"46,375","46,375",,
Bath,,,,,"49,642","49,642",,
Bedford,,,,,"14,132","14,132",,
Bland,,,,,"28,258","28,258",,
Botetourt,,,,,"27,593","27,593",,
Brunswick,,,,,"45,968","45,968",,
Buchanan,,,,,"9,892","9,892",,
Buckingham,,,,,"37,407","37,407",,
Campbell,,,,,"10,725","10,725",,
Caroline,,,,,"33,976","33,976",,
Carroll,,,,,"55,812","55,812",,
Charles City,,,,,"21,942","21,942",,
Charlotte,,,,,"39,136",,,
Chesapeake,,,,,"15,995","15,995",,
Chesterfield,,,,,"35,436","35,436",,
Clarke,,,,,--,--,,
Craig,,,,,"37,990","37,990",,
Culpeper,,,,,"9,814","9,814",,
Cumberland,,,,,"16,272","16,272",,
Dickenson,,,,,"8,969","8,969",,
Dinwiddie,,,,,"69,487","69,487",,
Essex,,,,,"17,117","17,117",,
Fairf ax,,,,,"1,974","1,974",,
Fauquier,,,,,"18,128",,,
Floyd,,,,,"20,392",,,
Fluvanna,,,,,"38,059",,,
Franklin,,,,,"15,441","15,441",,
Frederick,,,,,"24,004",,,
Giles,,,,,"10,221",,,
Gloucester,,,,,"5,081",,,
Goochland,,,,,"24,138",,,
Grayson,,,,,"5,235",,,
Greene,,,,,"3,713",,,
Greensville,,,,,"16,255",,,
Halifax,,,,,"36,918",,,
Hampton,,,,,.-,.-,,
Hanover,,,,,"34,620",,,
Henrico,,,,,"11,240",,,
Henry,,,,,"33,25 1",,,
Highland,,,,,"35,718",,,
Isle o f W i g h t,,,,,"3 1,092",,,
James City,,,,,"6,708",,,
King and Q u e e ~,,,,,"33,51 1",,,
King George,,,,,"2,596",,,
King William,,,,,"10,391",,,
,,,,,,,,Contiriued
