Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”,Name: “Table 1 of 1 on page 47 of 115”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,,,
Table,VII-Area,o f,Virginia's,idle cropland,"a n d timberland,",b y,"broad management,","ownership,",a n d t r e a t m e n t,o p p o r t u n i t y,,,1992
,,,,,,,,,,,Stands,In,
,,,,,,,,Other,,,relat~vely,relat~vely,Adverse
Broad management,Broad management,Broad management,,Total,,,Cornrnercidl,stand,Stand,,good,,sites or
and ownershio classes',and ownershio classes',and ownershio classes',and ownershio classes',area,Saivaqe,Harvest,th~nninq,~mprovement,convers~on,Reqenerat~on',cond~tion,cond~tion,cond~tions'
,,,,,,,,Acres,,,,,
Idle cropland,Idle cropland,,,,,,,,,,,,
Public,Public,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other,private,,,,,,,,,,,,
Total,Total,,,,,,,,,,,,
Pine plantation,Pine plantation,,,,,,,,,,,,
Public,,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other private,Other private,,,,,,,,,,,,
Total,Total,,,,,,,,,,,,
Natural pine stands,Natural pine stands,Natural pine stands,,,,,,,,,,,
Public,,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other private,Other private,,,,,,,,,,,,
Total,,,,,,,,,,,,,
Oak-pine stands,Oak-pine stands,,,,,,,,,,,,
Public,,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other,private,,,,,,,,,,,,
Total,,,,,,,,,,,,,
Upland hardwood,Upland hardwood,,,,,,,,,,,,
stands,stands,,,,,,,,,,,,
Public,,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other private,Other private,,,,,,,,,,,,
Total,,,,,,,,,,,,,
Lowland hardwood,Lowland hardwood,Lowland hardwood,,,,,,,,,,,
stands,stands,,,,,,,,,,,,
Public,,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other,private,,,,,,,,,,,,
Total,,,,,,,,,,,,,
All classes,All classes,,,,,,,,,,,,
Public,,,,,,,,,,,,,
Forest industry,Forest industry,,,,,,,,,,,,
Other private,Other private,,,,,,,,,,,,
Total,,,,,,,,,,,,,
' Forest industry includes lands under long-term lease.,' Forest industry includes lands under long-term lease.,' Forest industry includes lands under long-term lease.,' Forest industry includes lands under long-term lease.,' Forest industry includes lands under long-term lease.,' Forest industry includes lands under long-term lease.,,,,,,,,
"' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood","' Includes 101.529 acres where high-quality hardwood regeneratior, could be accomplished by fellirlg residual trees to release advance understory hardwood",,
reprod~lctionand promote stump sprouting.,reprod~lctionand promote stump sprouting.,reprod~lctionand promote stump sprouting.,reprod~lctionand promote stump sprouting.,reprod~lctionand promote stump sprouting.,,,,,,,,,
' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,' Areas where management opporturiities are severely l~mttedbecause of stcep slopes or poor dra~nage.,,,,,
