Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”,Name: “Table 1 of 1 on page 84 of 115”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,
Table 29-Volume,"of growing stock on timberland, by broad management class, species group, and stand-age class, Virginia, 1 9 9 2","of growing stock on timberland, by broad management class, species group, and stand-age class, Virginia, 1 9 9 2","of growing stock on timberland, by broad management class, species group, and stand-age class, Virginia, 1 9 9 2","of growing stock on timberland, by broad management class, species group, and stand-age class, Virginia, 1 9 9 2","of growing stock on timberland, by broad management class, species group, and stand-age class, Virginia, 1 9 9 2",,
-,,,,,,,
Broad management,,No,,,Stand-age class (years),,
class and,All,manageable,,,,,
specles group,classes,stand,0-10,11-20,21-303141-50-5 1-60461-700-- 7 1-80,81,+
,,,,,---,-,
,,,,,Thousand cubic feet,,
Pine plantation,,,,,,,
Softwood,,,,,,,
Hardwood,,,,,,,
Total,,,,,,,
Natural pine,,,,,,,
Softwood,,,,,,,
Hardwood,,,,,,,
Total,,,,,,,
Oak-pine,,,,,,,
Softwood,,,,,,,
Hardwood,,,,,,,
Total,,,,,,,
Upland hardwood,,,,,,,
Softwood,,,,,,,
Hardwood,,,,,,,
Total,,,,,,,
Lowland hardwood,,,,,,,
Softwood,,,,,,,
Hardwood,,,,,,,
Total,,,,,,,
All classes,,,,,,,
Softwood,,,,,,,
Hardwood,,,,,,,
Total,,,,,,,
