Name: “Table 1 of 1 on page 95 of 115”,Name: “Table 1 of 1 on page 95 of 115”,Name: “Table 1 of 1 on page 95 of 115”,Name: “Table 1 of 1 on page 95 of 115”,Name: “Table 1 of 1 on page 95 of 115”,Name: “Table 1 of 1 on page 95 of 115”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,
Table 45 -Land,Table 45 -Land,"area and total forest,","by county, Virginia,",1992,
County,,All land1,,Total,forestz
,,A cres,,Acres,Percent
Accomack,Accomack,"304,435",,"96,630",31.74
Albemarle,Albemarle,"470,829",,"293,436",62.32
Alleghany,Alleghany,"290,317",,"254,026",87.50
Amelia,,"228,410",,"169,531",74.22
Amherst,Amherst,"306,246",,"226,454",73.95
Appomattox,Appomattox,"21 5,078",,"153,357",71.30
Arlington,Arlington,"16,614",,--,..
Augusta,Augusta,"643,097",,346.27 7,53.84
Bath,,"343,65 1",,"306,266",89.12
Bedf ord,,"482,618",,"288,607",59.80
Bland,,"229,446",,"179,477",78.22
Botetourt,Botetourt,"348,550",,"253,975",72.87
Brunswick,Brunswick,"360,460",,"290,950",80.72
Buchanan,Buchanan,"322,355",,"290,585",90.14
Buckingham,Buckingham,"373,401",,"301,661",80.79
Campbell,Campbell,"355,040",,"205,236",57.81
Caroline,,"342,695",,"261,702",76.37
Carroll,,"308,777",,"184,058",59.61
Charles,City,"116,128",,"85,042",73.23
Charlotte,Charlotte,"304,960",,"209,194",68.60
Chesapeake,Chesapeake,"270,655",,"101,569",37.53
Chesterfield,Chesterfield,"304,448",,"7 89,813",62.35
Clarke,,"114,138",,"39,987",35.03
Craig,,"21 1,085",,"179,276",84.93
Culpeper,Culpeper,"244,480",,"1 14,304",46.75
Cumberland,Cumberland,"191,712",,"133,642",69.71
Dickenson,Dickenson,"21 2,077",,"175,390",82.70
Dinwiddie,Dinwiddie,"337,213",,"244,769",72.59
Essex,,"7 68,05 7",,"98,013",58.32
Fairfax,,"266,592",,"92,614",34.74
Fauquier,Fauquier,"41 6,570",,"175,188",42.05
Floyd,,"243,981",,"143,873",58.97
Fluvanna,Fluvanna,"185,510",,"137,348",74.04
Franklin,,"437,248","284,099",,64.97
Frederick,Frederick,"271,532",,"129,262",47.60
Giles,,"231,654",,"176,775",76.3'1
Gloucester,Gloucester,"144,122",,"94,613",65.65
Goochland,Goochland,"180,032","130,505",,72.49
Grayson,,"287,582","175,828",,61.14
Greene,,"100,371",,"68,858",68.60
Greensvilte,Greensvilte,"193,779","135,286",,69.81
Halifax,,"525,818","352,976",,67.13
Hampton,Hampton,"32,832",,"4,342",13.22
Hanover,,"299,155","178,376",,59.63
Henrico,,"169,210",,"59,637",35.24
Henry,,"251,712","179,127",,71.16
Highland,,"266,l 12","196,294",,73.76
Isle of Wight,Isle of Wight,"204,454","1 14,511",,56.01
James City,James City,"101,293",,"64,973",64.14
King and Queen,King and Queen,"202,982","152,722",,75.24
King George,King George,"1 1 5,245",,"72,837",63.20
King William,King William,"177,766","1 1 1,822",,62.90
,,,,,Continued
