Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”,Name: “Table 1 of 1 on page 92 of 115”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,,,,,,,,,,
Table 41 -Disposal,Table 41 -Disposal,o f,average annual v o l u m e,average annual v o l u m e,average annual v o l u m e,o f,residue at primary w o o d - u s i n g,residue at primary w o o d - u s i n g,residue at primary w o o d - u s i n g,residue at primary w o o d - u s i n g,residue at primary w o o d - u s i n g,"plants,","plants,",
"by p r o d u c t ,",species,"group,",a n d t y p e o f,"residue,","residue,","Virginia,","Virginia,",1 9 8 6 - 1 9 9 1,1 9 8 6 - 1 9 9 1,,,,,
Product and,,,,All,,,,,,,,,,
species group,,,,,,,,,,,',,,FineZ
,,,,types,,,,Bark,Bark,Coarse,,,,
,,,,,,,,--,--,,,,,
,,,,-,-,,--,,,-,--,-,-,-
,,,,,,,,Thousand c u b ~ cfeet,Thousand c u b ~ cfeet,Thousand c u b ~ cfeet,,,,
Fiber products,Fiber products,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Particleboard,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Strandlwafer board,Strandlwafer board,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Sawn products,Sawn products,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Industrial fuel,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Domestic fuel,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Miscellaneous,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
Not used,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
All products,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,
Hardwood,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
"' Material,",such as slabs and edgings.,such as slabs and edgings.,such as slabs and edgings.,,,,,,,,,,,
"Material, such as sawdust and shavings.","Material, such as sawdust and shavings.","Material, such as sawdust and shavings.","Material, such as sawdust and shavings.",,,,,,,,,,,
