Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”,Name: “Table 1 of 1 on page 63 of 115”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,,,,,,,,,
Table 4-Area,Table 4-Area,,"of timberland,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,","by stand-volume and ownership classes, Virginia,",1992,1992,1992,,
Stand volume class,Stand volume class,Stand volume class,,All,All,,National,National,Other,Other,Forest,,industry-,industry-,,Other,Other
(board feetlacre',(board feetlacre',(board feetlacre',),ownerships,ownerships,ownerships,forest,forest,public,public,industry,,leased,leased,,private,private
,,,,,,,,,,Acres,,,,,,,
"Less than 2,000","Less than 2,000","Less than 2,000",,,,,,,,,,,,,,,
"2,000","- 3,999",,,,,,,,,,,,,,,,
"4,000","- 5,999",,,,,,,,,,,,,,,,
"6,000","- 7,999",,,,,,,,,,,,,,,,
"8,000","- 9,999",,,,,,,,,,,,,,,,
"10,000",or,more,,,,,,,,,,,,,,,
All classes,All classes,,,,,,,,,,,,,,,,
' International 114-inch rule.,' International 114-inch rule.,' International 114-inch rule.,' International 114-inch rule.,,,,,,,,,,,,,,
Table,5-Area,,"of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,","of timberland, by stocking class of growing-stock trees and ownership class,",
Virginia.,1992,1992,,,,,,,,,,,,,,,
,,,-,--,--,- --,-,,-,--,,,,,,,
,,,,,,,,,,,,,Forest,Forest,,,
,,,,,All,,National,National,Other,Other,Forest,,industry-,industry-,,Other,
Stockinq class,Stockinq class,,,ownerships,ownerships,ownerships,,forest,public,public,~ n d u s t r y,,leased,leased,,private,private
,-,,,,,,,,,,,,,,,,
,,,,,,,,,,Acres,,,,,,,
Overstocked,Overstocked,,,"849,365","849,365","849,365",,"57,802","43,798","43,798","152,715",,"2,003","2,003",,"593,047","593,047"
Fully stocked,Fully stocked,,,"5,396,605","5,396,605","5,396,605","390,162","390,162","180,229","180,229","779,260",,"15,363","15,363","4,031,591","4,031,591","4,031,591"
Moderately stocked,Moderately stocked,Moderately stocked,,"6,930,673","6,930,673","6,930,673","832,250","832,250","233,685","233,685","471,118",,,--,"5,393,620","5,393,620","5,393,620"
Poorly stocked,Poorly stocked,,,"2,037,749","2,037,749","2,037,749","183,059","183,059","53,638","53,638","98,092",,,--,"1,702,960","1,702,960","1,702,960"
Nonstocked,Nonstocked,,,"233,158","233,158","233,158",,"4,853","3,810","3,810","36,212",,,.-,,"188,283","188,283"
,,,,,,,,,,,,--,--,,--,,-
,,,,-.,-,,-,-,- --,- --,,- -,-,- --,.,--,.
All classes,All classes,,,"15,447,550","15,447,550","15,447,550","1,468,126","1,468,126","51 5,160","51 5,160","1,537,397",,"17,366","17,366","11,909,501","11,909,501","11,909,501"
Table,6-Area,"of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,","of timberland, by site and ownership classes, Virginia,",1992,,,,,
,,,,,,,,,,,,,Forest,,,,
Site class,,,,All,All,,National,National,Other,Other,Forest,industry-,industry-,industry-,,Other,
(ft3/acrelyear),(ft3/acrelyear),,,ownerships,ownerships,ownerships,forest,forest,public,public,industry,,leased,,,private,
,,,,,,,,,,Acres,,,,,,,
All classes,All classes,,,,,,,,,,,,,,,,
