Name: “Table 1 of 1 on page 91 of 115”,Name: “Table 1 of 1 on page 91 of 115”,Name: “Table 1 of 1 on page 91 of 115”,Name: “Table 1 of 1 on page 91 of 115”,Name: “Table 1 of 1 on page 91 of 115”,Name: “Table 1 of 1 on page 91 of 115”,Name: “Table 1 of 1 on page 91 of 115”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,
Table,39-Average,annual timber removals from growing stock,annual timber removals from growing stock,annual timber removals from growing stock,on,
"timberland,","by item, softwood,","and hardwood, Virginia,","and hardwood, Virginia,","and hardwood, Virginia,",1986-1991,
,,,All,,,
,,,spec-ies,,Softwood,Hardwood
,,,-,-,,
,,,Thousand cubic feet,Thousand cubic feet,Thousand cubic feet,
Roundwood products,Roundwood products,,,,,
Saw logs,,,,,,
Veneer,logs and bolts,,,,,
Pulpwood,Pulpwood,,,,,
Poles and piling,Poles and piling,,,,,
Posts,,,,,,
Other,,,,,,
Fuelwood,,,,,,
,All products,,,,,
Logging residues,Logging residues,,,,,
Other removals,Other removals,,,,,
Total removals,Total removals,,,,,
Table 40-Average,Table 40-Average,annual timber,removals from live sawtimber on,removals from live sawtimber on,removals from live sawtimber on,
"timberland,","by item, softwood,","and hardwood, Virginia,","and hardwood, Virginia,","and hardwood, Virginia,",1986-1 9 9 1,
,,,All,,,
Item,,,species,,Softwood,Hardwood
,,,Thousand board feet,Thousand board feet,Thousand board feet,
Roundwood products,Roundwood products,,,,,
Saw logs,,,,,,
Veneer logs and bolts,Veneer logs and bolts,,,,,
Pulpwood,,,,,,
Poles and piling,Poles and piling,,,,,
Posts,,,,,,
Other,,,,,,
Fuelwood,,,,,,
All products,All products,,,,,
Logging residues,Logging residues,,,,,
Other removals,Other removals,,,,,
Total removals,Total removals,,,,,
