Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”,Name: “Table 1 of 1 on page 70 of 115”
Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64
,,,,,,,,,,,,,,,
Table,Table,15-Basal,area per acre of,area per acre of,live trees,live trees,"5.0 inches d.b.h. and larger, by broad management","5.0 inches d.b.h. and larger, by broad management","5.0 inches d.b.h. and larger, by broad management","5.0 inches d.b.h. and larger, by broad management","5.0 inches d.b.h. and larger, by broad management","5.0 inches d.b.h. and larger, by broad management",,,
"class, species group,","class, species group,","class, species group,","and ownership class, Virginia,","and ownership class, Virginia,","and ownership class, Virginia,","and ownership class, Virginia,","and ownership class, Virginia,",1992,,,,,,,
,,,,,,,,,,,Forest,,,,
Broad management class,Broad management class,Broad management class,,,All,,National,Other,,Forest,industry-,,Other,Other,Other
and,species group,species group,,,ownerships,,,,,,,,,vate,vate
- .,.-,.,,.,,,,,,,,,,-,
,,,,,,,,,,,,,,~,
,,,,,,,,Square feet,Square feet,,,,,,
Pine plantation,Pine plantation,Pine plantation,,,,,,,,,,,,,
,Softwood,Softwood,,,,,,,,,,,,,
,Hardwood,Hardwood,,,,,,,,,,,,,
,Total,Total,,,60.6,,75.1,60.1,,57.4,127.6,,62.8,62.8,
Natural pine,Natural pine,Natural pine,,,,,,,,,,,,,
,Softwood,Softwood,,,,,,,,,,,,,
,Hardwood,Hardwood,,,,,,,,,,,,,
,Total,Total,,,91.7,,98.1,105.2,,100.4,--,,89.0,89.0,
Oak-pine,Oak-pine,,,,,,,,,,,,,,
,Softwood,Softwood,,,25.9,,30.5,26.1,,21.5,--,,26.2,26.2,
Hardwood,Hardwood,Hardwood,,,41.7,,50.6,44.7,~,33.6,~- -----~,.,42.2,42.2,
,Total,Total,,,67.6,,81.1,70.8,,55.1,--,,68.3,68.3,
Upland hardwood,Upland hardwood,Upland hardwood,,,,,,,,,,,,,
Softwood,Softwood,Softwood,,,3.9,,3.9,4.4,,3.9,7.6,,,3.9,
Hardwood,Hardwood,Hardwood,,,79.6,,87.2,88.6,,64.2,97.6,,7,9,L
,Total,Total,,,83.5,,91.2,93.0,,68.7,105.1,,83.0,83.0,
Lowland hardwood,Lowland hardwood,Lowland hardwood,,,,,,,,,,,,,
Softwood,Softwood,Softwood,,,5.6,,--,4.7,,9.4,--,,,5.2,
Hardwood,Hardwood,Hardwood,,,81.8,,--,121.2,-.,71.7,--,,8,0,c
,Total,Total,,,87.4,,--,125.3,,81.2,--,,85.3,85.3,
All classes,All classes,All classes,,,,,,,,,,,,,
Softwood,Softwood,Softwood,,,,,,,,,,,,,
Hardwood,Hardwood,Hardwood,,,,,,,,,,,,,
,Total,Total,,,80.2,,90.6,- -,,,,,,,
Note:,Data may not add to totals because of rounding.,Data may not add to totals because of rounding.,Data may not add to totals because of rounding.,Data may not add to totals because of rounding.,Data may not add to totals because of rounding.,Data may not add to totals because of rounding.,,,,,,,,,
,,,Table,16 -Area,16 -Area,"of reserved timberland and woodland,","of reserved timberland and woodland,","of reserved timberland and woodland,","of reserved timberland and woodland,",by,,,,,
,,,forest-type,forest-type,"group,","Virginia,",1992,,,,,,,,
,,,,,,,All,Reserved,Reserved,,,,,,
,,,Forest-type group,Forest-type group,Forest-type group,,areas,timberland,timberland,Woodland,,,,,
,,,,,,,,Acres,Acres,,,,,,
,,,White pine-hemlock,White pine-hemlock,White pine-hemlock,,,,,,,,,,
,,,Spruce-fir,Spruce-fir,,,,,,,,,,,
,,,Longleaf-slash,Longleaf-slash,pine,,,,,,,,,,
,,,Loblolly-shortleaf,Loblolly-shortleaf,Loblolly-shortleaf,pine,,,,,,,,,
,,,Oak-pine,Oak-pine,,,,,,,,,,,
,,,Oak-hickory,Oak-hickory,,,,,,,,,,,
,,,Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,,,,,,,,,,
,,,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,,,,,,,,,
,,,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,,,,,,,,,,
,,,All types,All types,,,,,,,,,,,
