Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”,Name: “Table 1 of 1 on page 82 of 115”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,,,,,,,,,,,,
Table,27-Volume,o f,g r o w i n g,s t o c k,"o n timberland,","b y o w n e r s h i p class,","b y o w n e r s h i p class,","b y o w n e r s h i p class,","species group,","a n d d i a m e t e r class,","Virginia,",1992,,,
,,,,,,,--,,,,,,,,
,,,,,,,,,,Diameter class (inches at breast height),Diameter class (inches at breast height),Diameter class (inches at breast height),,,
,,,,,,,,,,,,,.,,-.
Ownership class,Ownership class,,All,,5.0-,7.0-,,9.0-,11 .O-,13.0-,15.0-,17.0-,19.0-,21 .O-,29.0 and
and s ~ e c i e s-srou.p,and s ~ e c i e s-srou.p,,classes,classes,6.9,8.9,,10.9,12.9,14.9,16.9,18.9,20.9,28.9,larger
--,--,,,,,,,,,,,,,,
,,,,,,,,,,Thousand cubic feet,,,,,
National forest,National forest,,,,,,,,,,,,,,
Softwood,Softwood,,"362,446","362,446","38,317","57,801",,"65,528","63,009","57,740","39,283","20,118","8,435","11,545",670
Hardwood,Hardwood,,"2,300,198","2,300,198","190,124","280,764",,"332,542","305,850","300,827","222,645","198,319","156,765","272,225","40,137"
,Total,,,,,,,,,,,,,,
Other public,Other public,,,,,,,,,,,,,,
Softwood,Softwood,,"358,643","358,643","37,494","61,327",,"68,192","43,583","48,087","44,603","26,448","16,902","12,007",
Hardwood,Hardwood,,941.61 1,941.61 1,"63,634","77,579",.-,"11 5,487","141,173","11 3,370","106,667","99,363","-74-,922","135,048","14,368"
,Total,,"1,300,254","1,300,254","101,128","138,906",,"183,679",,,,,"91,824","147,055","14,368"
,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,pp,
Forest industry,Forest industry,,,,,,,,,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,
Hardwood,Hardwood,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,
Forest industry-leased,Forest industry-leased,Forest industry-leased,,,,,,,,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,
Hardwood,Hardwood,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,
Other private,Other private,,,,,,,,,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,
Hardwood,Hardwood,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,
All ownerships,All ownerships,,,,,,,,,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,
Hardwood,Hardwood,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,
