Name: “Table 1 of 1 on page 6 of 10”,Name: “Table 1 of 1 on page 6 of 10”,Name: “Table 1 of 1 on page 6 of 10”,Name: “Table 1 of 1 on page 6 of 10”,Name: “Table 1 of 1 on page 6 of 10”,Name: “Table 1 of 1 on page 6 of 10”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,
Silvicultural Best Management,,,,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,,
,,,,,2012
,,Response Counts,Response Counts,,
Audit Questions by Category,,,,,% Yes
,N/A,No,Yes,Total,
Is the addition of unnatural materials in the stream to facilitate the,228,1,11,240,92
use of a ford minimized?,,,,,
Were pole bridges used only in appropriate circumstances?,226,–,14,240,100
Decks,458,101,"1,601","2,160",94
Are all decks limited in size?,–,2,238,240,99
Are all log decks located at least 50 feet from the nearest SMZ.,43,7,190,240,96
Are appropriate soil protection measures in place to prevent,14,32,194,240,86
erosion on the deck?,,,,,
Are decks reshaped where needed to ensure drainage?,119,9,112,240,93
Are fluid spills from equipment minimal?,4,2,234,240,99
Are log decks located on relatively well-drained ground with low to,–,3,237,240,99
moderate slopes?,,,,,
Are sediment trapping structures present if needed to prevent,148,3,89,240,97
pollution?,,,,,
Are water diversion structures installed to prevent water from,129,35,76,240,68
crossing the deck?,,,,,
"Is the deck free of trash, garbage and other non-slash debris",1,8,231,240,97
related to the harvest operation?,,,,,
Fires,"3,543",6,51,"3,600",89
Are command and staging areas located away from streams?,236,–,4,240,100
Are large areas of bare soil re-vegetated where slope exceeded,236,2,2,240,50
5%?,,,,,
"Are water bars installed properly on firelines, roads and cleared",236,–,4,240,100
areas?,,,,,
Did fire crew avoid plowing up and down slopes where possible?,236,–,4,240,100
Did fireline construction avoid disturbing existing gullies?,236,–,4,240,100
Did the burning crew avoid exposing large areas of mineral soil?,236,1,3,240,75
Did the burning crew avoid pushing firelines directly into streams?,236,–,4,240,100
Does fireline construction follow appropriate skid trail BMPs?,236,1,3,240,75
Does fireline construction divert water away from streams where,236,–,4,240,100
necessary?,,,,,
Is all fire-related debris removed from stream channels?,238,–,2,240,100
Is all refuse and sewage disposed of properly?,236,–,4,240,100
Is vegetation or slash on firelines and cleared areas to prevent,236,2,2,240,50
erosion as needed?,,,,,
Were high intensity site-prep burns kept out of the SMZs?,236,–,4,240,100
Page 6,,,,,
