Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,
Silvicultural Best Management,,,,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,,
,,,,,2012
Appendix A: Individual Audit Questions and Scores,Appendix A: Individual Audit Questions and Scores,Appendix A: Individual Audit Questions and Scores,,,
,,Response Counts,Response Counts,,
Audit Questions by Category,,,,,% Yes
,N/A,No,Yes,Total,
Chemicals,952,–,8,960,100
Did applicators avoid mixing chemicals or filling equipment where,238,–,2,240,100
runoff would likely enter a stream?,,,,,
Did applicators remove all refuse from the tract?,238,–,2,240,100
Did chemical applicators avoid accidental drift into sensitive areas,238,–,2,240,100
or SMZs?,,,,,
Did chemical applicators avoid applying chemical directly into,238,–,2,240,100
streams or SMZs?,,,,,
Crossings,"3,758",68,734,"4,560",92
Are approaches stable and unlikely to contribute sediment to the,144,6,90,240,94
stream?,,,,,
Are culvert pipes installed properly in the channel to avoid,213,4,23,240,85
undercutting and channel erosion?,,,,,
Are culverts and bridges of adequate length?,177,2,61,240,97
Are culverts covered with adequate and appropriate fill material?,214,1,25,240,96
Are culverts covered with gravel to reduce erosion near the stream?,218,5,17,240,77
Are culverts properly sized according to the BMP manual Tables 6,216,6,18,240,75
and 7 or Talbot’s formula?,,,,,
Are fords used only where a natural rock base (or geoweb) and,228,3,9,240,75
gentle approaches allow?,,,,,
"Are headwalls stabilized with vegetation, rock or fabric to minimize",218,3,19,240,86
cutting?,,,,,
Are permanent bridge abutments adequate and stable?,230,3,7,240,70
Are stream banks and approaches re-claimed with sufficient,147,8,85,240,91
"vegetation, rock or slash?",,,,,
Are stream crossings installed at or near to right angles where,136,2,102,240,98
possible?,,,,,
Are stream crossings minimized?,135,5,100,240,95
"Are temporary culverts, pole bridges and bridges removed?",161,5,74,240,94
Are water diversion structures present when needed on,174,5,61,240,92
approaches?,,,,,
Do all ford crossings avoid restricting the natural flow of water?,228,–,12,240,100
Do all ford crossings have a 50-foot approach of clean gravel?,229,6,5,240,45
Do all ford crossings have underlying geo-textile where needed (on,236,3,1,240,25
approaches)?,,,,,
Page 5,,,,,
