Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,
Silvicultural Best Management,,,,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,,
,,,,,2012
,,Response Counts,Response Counts,,
Audit Questions by Category,,,,,% Yes
,N/A,No,Yes,Total,
Are new roads located and constructed to allow for proper,176,3,61,240,95
drainage?,,,,,
"Are new roads located to avoid erodible, wet and sensitive ground?",176,–,64,240,100
Are riprap and/or brush dams used where needed to slow water,212,11,17,240,61
and trap sediment?,,,,,
Are roads built outside of SMZs where possible?,97,2,141,240,99
Are roads daylighted where needed and feasible?,69,10,161,240,94
Are roads in SMZs as far from the channel as possible and built to,208,–,32,240,100
prevent stream sedimentation?,,,,,
Are roads on the contour where practical?,78,3,159,240,98
Are roads outsloped where needed and conditions allow?,162,15,63,240,81
Are temporary roads retired with properly constructed water bars,200,9,31,240,78
or tank traps?,,,,,
Are turnouts directing water and/or sediment away from riparian,175,5,60,240,92
areas?,,,,,
"Are under road culverts installed, spaced and maintained properly?",208,4,28,240,88
Is access being controlled with a functional gate or barrier?,57,66,117,240,64
"Is construction of dips, bars, turnouts and traps adequate to",155,23,62,240,73
maintain function?,,,,,
Is gravel or vegetation present to protect water bars from erosion?,142,25,73,240,74
Is there rock or vegetation on slopes where needed to prevent,93,39,108,240,73
erosion?,,,,,
Is water being “turned out” into surrounding landscape with,118,33,89,240,73
appropriate structures?,,,,,
Is water diverted from the road surface at specified intervals using,111,45,84,240,65
"dips, bars or traps?",,,,,
Was road construction and use minimized?,50,–,190,240,100
Skidding,"1,347",184,"1,589","3,120",90
Are all skid trails free from channelized flow that is likely to cause,7,7,226,240,97
sedimentation?,,,,,
Are all skid trails located outside the SMZ?,53,10,177,240,95
Are appropriate cross drainages installed where springs or seeps,230,1,9,240,90
crossed the trails?,,,,,
Are bladed skid trails limited to less than 26% grade unless,177,8,55,240,87
absolutely necessary?,,,,,
Are bladed skid trails limited to sideslopes less than 60%?,177,7,56,240,89
Are un-bladed trails limited to sideslopes less than 36% in general?,59,1,180,240,99
Page 8,,,,,
