Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”,Name: “Table 1 of 1 on page 9 of 10”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,
Silvicultural Best Management,,,,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,,
,,,,,2012
,,Response Counts,Response Counts,,
Audit Questions by Category,,,,,% Yes
,N/A,No,Yes,Total,
Are water bars established on trails where erosion is likely at,135,41,64,240,61
recommended intervals?,,,,,
Are water turnouts built to ensure drainage of skid trails where,162,21,57,240,73
needed?,,,,,
Did the logger avoid skidding logs through intermittent or perennial,50,4,186,240,98
streams?,,,,,
"Do trails avoid long, continuous grades?",49,15,176,240,92
Do trails avoid rutting that will likely cause channelized erosion,41,3,196,240,98
near a stream?,,,,,
Is vegetation established where needed on trails to prevent erosion,131,39,70,240,64
and sedimentation?,,,,,
Were brush mats used to stabilize trails and prevent erosion where,76,27,137,240,84
needed?,,,,,
SMZs,"1,536",135,"1,449","3,120",91
Are all SMZs a minimum of 50 feet wide on each side of the stream,69,32,139,240,81
bank?,,,,,
Are SMZ widths modified to accommodate cold water fisheries and,238,–,2,240,100
municipal water supplies?,,,,,
Did the logger avoid exposing large sections of soil in the SMZ?,65,9,166,240,95
Did the logger avoid partial or patch clear cutting in the SMZ?,72,22,146,240,87
Did the logger avoid silvicultural debris in the stream that would,66,–,174,240,100
"warrant a law enforcement action under the ""debris in the stream",,,,,
"law?""",,,,,
Did the logger avoid silvicultural sediment in the stream that might,65,4,171,240,98
"endanger public health, beneficial uses or aquatic life as stated in",,,,,
"the ""silvicultural water quality law?""",,,,,
Do all intermittent and perennial streams have an SMZ?,70,10,160,240,94
Do all sinkholes or karst features have an SMZ?,240,,,240,N/A
Does at least 50% of the original basal area exist in the SMZ?,71,30,139,240,82
"In tidal areas, has a 50-foot SMZ been maintained from the grass",235,1,4,240,80
or marsh edge?,,,,,
Is SMZ width relatively consistent along the entire length?,67,19,154,240,89
Is the SMZ free of roads and landings where possible?,69,5,166,240,97
Was exposed soil in the SMZ revegetated or covered with organic,209,3,28,240,90
materials?,,,,,
Wetlands,"1,855",5,60,"1,920",92
Are landings located on appropriate ground?,230,–,10,240,100
Page 9,,,,,
