Name: “Table 1 of 1 on page 67 of 82”,Name: “Table 1 of 1 on page 67 of 82”,Name: “Table 1 of 1 on page 67 of 82”,Name: “Table 1 of 1 on page 67 of 82”
Table: 66,Table: 66,Table: 66,Table: 66
,,,
Table B.1 Virginia Agriculture and Forestry-related Industries by Component,Table B.1 Virginia Agriculture and Forestry-related Industries by Component,Table B.1 Virginia Agriculture and Forestry-related Industries by Component,
IMPLAN Description,IMPLAN Description,IMPLAN Description,
Sector,Sector,Sector,
Agriculture Production,Agriculture Production,Forestry Production,
1,Oilseed farming,15,"Forestry, forest products, and timber tracts"
2,Grain farming,16,Logging
3,Vegetable and melon farming,18,Hunting and trapping
4,Fruit farming,19,Support activities for agriculture and forestry
6,"Greenhouse, nursery and floriculture production",,NAICS 1153 Support activities for forestry
7,Tobacco farming,,
8,Cotton farming,,
10,All other crop farming,,
11,Cattle ranching and farming,,
12,Dairy cattle and milk production,,
13,Poultry and egg production,,
14,"Animal production, except cattle and poultry",,
19,Support activities for agriculture and forestry,,
,NAICS 1151 Support activities for crop production,,
,NAICS 1152 Support activities for animal production,,
Agriculture Core Processing,Agriculture Core Processing,Forestry Core Processing,
43,Flour milling and malt manufacturing,95,Sawmills and wood preservation
46,Fats and oils refining and blending,96,Veneer and plywood manufacturing
55,Fluid milk and butter manufacturing,97,Engineered wood member and truss manufacturing
56,Cheese manufacturing,98,Reconstituted wood product manufacturing
57,"Dry, condensed, and evaporated dairy products",99,Wood windows and doors and millwork manufacturing
58,Ice cream and frozen dessert manufacturing,100 Wood container and pallet manufacturing,
59,"Aniamnadl , perxocceepsts ipnogultry, slaughtering, rendering,",103 All other miscellaneous wood product manufacturing,
60,Poultry processing,105 Paper and paperboard mills,
65,Snack food manufacturing,106 Paperboard mills,
69,All other food manufacturing,,
72,Wineries,,
,,,57
